,0
0,1.67
1,2.07
2,2.26
3,2.25
4,2.04
5,1.63
6,1.11
7,0.57
8,-0.0
9,-0.63
10,-1.34
11,-2.04
12,-2.69
13,-3.22
14,-3.62
15,-3.94
16,-4.24
17,-4.49
18,-4.6
19,-4.56
20,-4.44
21,-4.29
22,-4.05
23,-3.71
24,-3.25
25,-2.64
26,-1.87
27,-0.93
28,0.09
29,1.17
30,2.31
31,3.42
32,4.4
33,5.29
34,6.04
35,6.52
36,6.71
37,6.69
38,6.44
39,5.94
40,5.27
41,4.43
42,3.44
43,2.32
44,1.21
45,0.08
46,-1.03
47,-2.0
48,-2.87
49,-3.66
50,-4.31
51,-4.75
52,-5.06
53,-5.29
54,-5.44
55,-5.48
56,-5.55
57,-5.56
58,-5.51
59,-5.53
60,-5.58
61,-5.68
62,-5.84
63,-6.1
64,-6.4
65,-6.74
66,-7.08
67,-7.44
68,-7.65
69,-7.76
70,-7.74
71,-7.58
72,-7.29
73,-6.84
74,-6.2
75,-5.43
76,-4.6
77,-3.77
78,-3.03
79,-2.36
80,-1.82
81,-1.37
82,-1.13
83,-1.14
84,-1.33
85,-1.63
86,-2.05
87,-2.56
88,-3.12
89,-3.61
90,-3.96
91,-4.15
92,-4.18
93,-4.04
94,-3.72
95,-3.25
96,-2.61
97,-1.84
98,-1.04
99,-0.26
100,0.57
101,1.42
102,2.24
103,2.98
104,3.63
105,4.19
106,4.65
107,5.02
108,5.35
109,5.57
110,5.76
111,5.88
112,5.95
113,6.06
114,6.18
115,6.31
116,6.46
117,6.6
118,6.76
119,6.92
120,7.1
121,7.3
122,7.41
123,7.5
124,7.59
125,7.67
126,7.71
127,7.64
128,7.47
129,7.25
130,6.91
131,6.49
132,5.92
133,5.17
134,4.33
135,3.37
136,2.34
137,1.23
138,0.05
139,-1.09
140,-2.17
141,-3.2
142,-4.1
143,-4.87
144,-5.48
145,-5.91
146,-6.17
147,-6.26
148,-6.23
149,-6.12
150,-5.84
151,-5.5
152,-5.17
153,-4.85
154,-4.6
155,-4.37
156,-4.18
157,-4.06
158,-4.05
159,-4.15
160,-4.33
161,-4.49
162,-4.69
163,-4.89
164,-5.15
165,-5.38
166,-5.46
167,-5.44
168,-5.35
169,-5.18
170,-4.94
171,-4.53
172,-3.98
173,-3.3
174,-2.54
175,-1.83
176,-1.06
177,-0.27
178,0.5
179,1.19
180,1.71
181,2.07
182,2.25
183,2.23
184,2.12
185,1.89
186,1.51
187,1.05
188,0.58
189,0.17
190,-0.14
191,-0.29
192,-0.31
193,-0.25
194,-0.11
195,0.09
196,0.37
197,0.71
198,1.01
199,1.24
200,1.38
201,1.39
202,1.33
203,1.13
204,0.86
205,0.55
206,0.2
207,-0.16
208,-0.63
209,-1.15
210,-1.71
211,-2.29
212,-2.84
213,-3.31
214,-3.76
215,-4.21
216,-4.7
217,-5.12
218,-5.52
219,-5.84
220,-6.12
221,-6.36
222,-6.53
223,-6.63
224,-6.63
225,-6.5
226,-6.23
227,-5.79
228,-5.27
229,-4.66
230,-3.94
231,-3.11
232,-2.15
233,-1.18
234,-0.18
235,0.81
236,1.74
237,2.65
238,3.51
239,4.29
240,4.99
241,5.57
242,6.11
243,6.56
244,6.9
245,7.18
246,7.37
247,7.48
248,7.54
249,7.52
250,7.45
251,7.24
252,6.91
253,6.54
254,6.07
255,5.54
256,4.97
257,4.32
258,3.59
259,2.82
260,2.08
261,1.4
262,0.75
263,0.22
264,-0.23
265,-0.61
266,-0.85
267,-0.97
268,-0.95
269,-0.81
270,-0.54
271,-0.18
272,0.19
273,0.63
274,1.11
275,1.58
276,2.07
277,2.53
278,2.94
279,3.33
280,3.68
281,4.04
282,4.34
283,4.57
284,4.71
285,4.77
286,4.75
287,4.72
288,4.65
289,4.55
290,4.39
291,4.19
292,3.97
293,3.73
294,3.48
295,3.21
296,2.93
297,2.65
298,2.44
299,2.26
300,2.12
301,2.02
302,1.94
303,1.88
304,1.88
305,1.93
306,1.99
307,2.07
308,2.2
309,2.34
310,2.48
311,2.64
312,2.79
313,2.96
314,3.14
315,3.23
316,3.23
317,3.17
318,3.09
319,3.0
320,2.94
321,2.88
322,2.79
323,2.68
324,2.61
325,2.56
326,2.54
327,2.55
328,2.63
329,2.76
330,2.92
331,3.09
332,3.27
333,3.45
334,3.62
335,3.79
336,3.93
337,4.06
338,4.15
339,4.22
340,4.27
341,4.29
342,4.31
343,4.32
344,4.31
345,4.3
346,4.27
347,4.2
348,4.1
349,4.01
350,3.9
351,3.78
352,3.66
353,3.51
354,3.32
355,3.1
356,2.89
357,2.67
358,2.47
359,2.3
360,2.17
361,2.07
362,2.02
363,1.96
364,1.9
365,1.78
366,1.57
367,1.3
368,0.95
369,0.5
370,-0.05
371,-0.7
372,-1.41
373,-2.23
374,-3.08
375,-3.95
376,-4.84
377,-5.63
378,-6.25
379,-6.74
380,-7.08
381,-7.22
382,-7.14
383,-6.83
384,-6.29
385,-5.55
386,-4.66
387,-3.72
388,-2.73
389,-1.75
390,-0.8
391,0.08
392,0.84
393,1.45
394,1.85
395,1.99
396,1.91
397,1.63
398,1.14
399,0.56
400,-0.07
401,-0.72
402,-1.41
403,-2.05
404,-2.58
405,-3.04
406,-3.38
407,-3.6
408,-3.75
409,-3.82
410,-3.76
411,-3.56
412,-3.26
413,-2.88
414,-2.43
415,-1.9
416,-1.3
417,-0.68
418,-0.09
419,0.41
420,0.83
421,1.15
422,1.34
423,1.39
424,1.29
425,1.04
426,0.72
427,0.33
428,-0.1
429,-0.53
430,-0.95
431,-1.28
432,-1.49
433,-1.57
434,-1.49
435,-1.22
436,-0.75
437,-0.13
438,0.64
439,1.52
440,2.42
441,3.36
442,4.31
443,5.18
444,5.91
445,6.51
446,6.93
447,7.2
448,7.31
449,7.26
450,7.06
451,6.73
452,6.31
453,5.84
454,5.32
455,4.81
456,4.32
457,3.88
458,3.53
459,3.26
460,3.07
461,2.95
462,2.87
463,2.82
464,2.78
465,2.71
466,2.63
467,2.52
