,0
0,3.03
1,3.28
2,3.48
3,3.63
4,3.74
5,3.8
6,3.83
7,3.82
8,3.77
9,3.69
10,3.6
11,3.49
12,3.37
13,3.25
14,3.12
15,3.02
16,2.93
17,2.85
18,2.83
19,2.84
20,2.89
21,2.95
22,3.05
23,3.21
24,3.42
25,3.67
26,3.94
27,4.21
28,4.45
29,4.66
30,4.84
31,4.99
32,5.07
33,5.13
34,5.19
35,5.21
36,5.19
37,5.11
38,4.99
39,4.83
40,4.61
41,4.34
42,4.02
43,3.59
44,3.07
45,2.43
46,1.73
47,0.98
48,0.17
49,-0.61
50,-1.4
51,-2.18
52,-2.91
53,-3.54
54,-4.07
55,-4.45
56,-4.74
57,-4.89
58,-4.97
59,-4.93
60,-4.71
61,-4.38
62,-3.98
63,-3.54
64,-3.08
65,-2.61
66,-2.12
67,-1.65
68,-1.22
69,-0.96
70,-0.83
71,-0.81
72,-0.84
73,-0.9
74,-1.0
75,-1.16
76,-1.32
77,-1.53
78,-1.76
79,-2.01
80,-2.29
81,-2.55
82,-2.82
83,-3.04
84,-3.22
85,-3.33
86,-3.4
87,-3.37
88,-3.24
89,-2.97
90,-2.59
91,-2.07
92,-1.44
93,-0.72
94,0.05
95,0.85
96,1.64
97,2.37
98,3.0
99,3.49
100,3.87
101,4.08
102,4.15
103,4.04
104,3.79
105,3.44
106,3.04
107,2.6
108,2.13
109,1.62
110,1.09
111,0.55
112,-0.01
113,-0.51
114,-0.99
115,-1.44
116,-1.84
117,-2.21
118,-2.57
119,-2.92
120,-3.25
121,-3.54
122,-3.77
123,-3.91
124,-3.97
125,-3.97
126,-3.89
127,-3.72
128,-3.48
129,-3.17
130,-2.84
131,-2.53
132,-2.28
133,-2.07
134,-1.89
135,-1.76
136,-1.7
137,-1.68
138,-1.69
139,-1.68
140,-1.65
141,-1.62
142,-1.55
143,-1.46
144,-1.31
145,-1.08
146,-0.8
147,-0.47
148,-0.12
149,0.23
150,0.6
151,0.95
152,1.24
153,1.5
154,1.65
155,1.74
156,1.75
157,1.68
158,1.56
159,1.39
160,1.18
161,0.94
162,0.65
163,0.4
164,0.15
165,-0.04
166,-0.11
167,-0.13
168,-0.11
169,-0.03
170,0.15
171,0.43
172,0.8
173,1.25
174,1.74
175,2.15
176,2.54
177,2.91
178,3.25
179,3.53
180,3.71
181,3.77
182,3.71
183,3.57
184,3.35
185,3.04
186,2.74
187,2.44
188,2.13
189,1.89
190,1.73
191,1.69
192,1.72
193,1.86
194,2.1
195,2.38
196,2.72
197,3.11
198,3.51
199,3.91
200,4.29
201,4.63
202,4.95
203,5.2
204,5.37
205,5.46
206,5.5
207,5.48
208,5.33
