,0
0,-5.1
1,-6.54
2,-8.58
3,-10.99
4,-13.53
5,-16.37
6,-19.12
7,-21.36
8,-23.14
9,-24.52
10,-25.69
11,-26.34
12,-26.37
13,-25.77
14,-24.48
15,-23.13
16,-21.98
17,-20.83
18,-19.55
19,-18.02
20,-16.49
21,-15.22
22,-14.3
23,-13.55
24,-12.71
25,-11.73
26,-10.44
27,-8.86
28,-7.2
29,-5.51
30,-3.76
31,-2.01
32,-0.45
33,1.03
34,2.65
35,4.01
36,5.01
37,5.64
38,5.8
39,5.49
40,4.82
41,3.8
42,2.37
43,0.35
44,-1.92
45,-4.45
46,-7.01
47,-9.26
48,-11.42
49,-13.43
50,-15.12
51,-16.25
52,-17.11
53,-17.87
54,-18.4
55,-18.6
56,-18.76
57,-18.54
58,-17.97
59,-17.24
60,-16.32
61,-15.29
62,-14.19
63,-13.13
64,-12.1
65,-10.94
66,-9.6
67,-8.27
68,-6.67
69,-5.13
70,-3.55
71,-1.82
72,0.05
73,2.01
74,3.99
75,5.77
76,7.43
77,8.76
78,9.7
79,10.29
80,10.22
81,9.74
82,8.6
83,6.64
84,4.08
85,1.04
86,-2.42
87,-6.09
88,-9.93
89,-13.4
90,-16.39
91,-18.82
92,-20.53
93,-21.54
94,-21.74
95,-21.24
96,-20.06
97,-18.16
98,-16.07
99,-13.92
100,-11.52
101,-8.94
102,-6.26
103,-3.75
104,-1.46
105,0.55
106,2.24
107,3.67
108,4.88
109,5.82
110,6.62
111,7.27
112,7.82
113,8.51
114,9.27
115,10.1
116,11.04
117,12.0
118,13.05
119,14.23
120,15.46
121,16.68
122,17.71
123,18.6
124,19.45
125,20.14
126,20.54
127,20.41
128,19.65
129,18.41
130,16.58
131,14.24
132,11.33
133,7.75
134,3.77
135,-0.39
136,-4.67
137,-8.89
138,-13.03
139,-16.78
140,-20.03
141,-22.75
142,-24.6
143,-25.94
144,-26.89
145,-27.48
146,-27.87
147,-28.17
148,-28.51
149,-29.14
150,-30.02
151,-31.53
152,-33.44
153,-35.51
154,-37.8
155,-39.72
156,-41.27
157,-42.4
158,-42.91
159,-42.74
160,-41.77
161,-39.93
162,-37.38
163,-33.97
164,-30.39
165,-26.55
166,-22.45
167,-18.32
168,-14.22
169,-10.36
170,-6.77
171,-3.42
172,-0.38
173,2.36
174,4.72
175,6.55
176,8.05
177,9.16
178,10.08
179,10.75
180,11.09
181,11.11
182,10.79
183,10.18
184,9.5
185,8.71
186,7.88
187,7.09
188,6.45
189,6.05
190,5.96
191,6.29
192,6.87
193,7.58
194,8.48
195,9.33
196,10.14
197,10.92
198,11.44
199,11.68
200,11.56
201,11.23
202,10.77
203,10.02
204,9.19
205,8.28
206,7.35
207,6.45
208,5.43
209,4.36
210,3.35
211,2.37
212,1.6
213,1.15
214,0.89
215,0.7
216,0.53
217,0.51
218,0.59
219,0.77
220,0.81
221,0.76
222,0.66
223,0.51
224,0.43
225,0.44
226,0.55
227,0.77
228,0.9
229,1.13
230,1.45
231,1.84
232,2.45
233,3.11
234,3.86
235,4.71
236,5.56
237,6.53
238,7.66
239,8.9
240,10.18
241,11.35
242,12.47
243,13.43
244,14.23
245,14.95
246,15.44
247,15.64
248,15.6
249,15.24
250,14.46
251,13.19
252,11.68
253,9.93
254,7.68
255,5.12
256,2.34
257,-0.67
258,-3.79
259,-6.84
260,-9.66
261,-12.25
262,-14.59
263,-16.38
264,-17.69
265,-18.57
266,-18.87
267,-18.62
268,-17.72
269,-16.22
270,-14.32
271,-12.13
272,-9.8
273,-7.27
274,-4.54
275,-1.83
276,0.92
277,3.65
278,6.27
279,8.88
280,11.23
281,13.35
282,15.15
283,16.49
284,17.49
285,18.06
286,18.11
287,17.76
288,17.01
289,16.09
290,14.93
291,13.56
292,12.18
293,10.59
294,8.95
295,7.3
296,5.62
297,4.04
298,2.65
299,1.44
300,0.44
301,-0.54
302,-1.48
303,-2.45
304,-3.43
305,-4.44
306,-5.62
307,-6.87
308,-8.11
309,-9.37
310,-10.61
311,-11.73
312,-12.72
313,-13.27
314,-13.31
315,-12.95
316,-12.28
317,-11.14
318,-9.39
319,-6.96
320,-3.83
321,-0.15
322,3.78
323,7.79
324,12.0
325,16.21
326,20.33
327,24.25
328,28.05
329,31.51
330,34.48
331,36.96
332,39.07
333,40.67
334,41.8
335,42.45
336,42.67
337,42.52
338,42.03
339,41.33
340,40.17
341,38.54
342,36.51
343,34.27
344,31.78
345,29.11
346,26.24
347,23.38
348,20.63
349,18.27
350,16.21
351,14.53
352,13.34
353,12.6
354,12.27
355,12.23
356,12.48
357,13.05
358,13.71
359,14.44
360,15.23
361,15.95
362,16.67
363,17.13
364,17.24
365,16.96
366,16.37
367,15.56
368,14.57
369,13.4
370,12.07
371,10.63
372,9.13
373,7.52
374,5.74
375,3.88
376,2.09
377,0.46
378,-0.95
379,-2.2
380,-3.29
381,-4.11
382,-4.36
383,-4.13
384,-3.54
385,-2.65
386,-1.37
387,0.32
388,2.35
389,4.56
390,6.82
391,9.07
392,11.34
393,13.51
394,15.26
395,16.48
396,16.96
397,16.82
398,15.96
399,14.53
400,12.43
401,9.68
402,6.36
403,2.92
404,-0.63
405,-4.21
406,-7.6
407,-10.62
408,-13.32
409,-15.58
410,-17.07
411,-17.75
412,-17.72
413,-16.88
414,-15.24
415,-13.0
416,-10.2
417,-7.0
418,-3.35
419,0.29
420,3.79
421,6.95
422,9.63
423,11.74
424,13.03
425,13.47
426,13.4
427,12.66
428,11.42
429,9.8
430,7.95
431,6.22
432,4.65
433,3.54
434,3.15
435,3.44
436,4.52
437,6.22
438,8.54
439,11.37
440,14.28
441,17.3
442,20.46
443,23.32
444,25.78
445,27.75
446,29.21
447,30.13
448,30.38
449,30.11
450,29.25
451,27.79
452,25.9
453,23.69
454,21.17
455,18.63
456,16.0
457,13.32
458,10.65
459,8.18
460,5.96
461,4.0
462,2.32
463,0.9
464,-0.44
465,-1.67
466,-2.75
467,-3.81
