,0
0,-3.29
1,-2.12
2,-1.19
3,-0.48
4,0.08
5,0.35
6,0.32
7,0.25
8,0.08
9,-0.21
10,-0.68
11,-1.2
12,-1.73
13,-2.26
14,-2.68
15,-3.06
16,-3.52
17,-4.0
18,-4.32
19,-4.47
20,-4.47
21,-4.4
22,-4.19
23,-3.87
24,-3.42
25,-2.83
26,-2.06
27,-1.2
28,-0.38
29,0.33
30,1.03
31,1.63
32,2.01
33,2.29
34,2.4
35,2.2
36,1.67
37,0.97
38,0.09
39,-1.0
40,-2.19
41,-3.4
42,-4.68
43,-5.95
44,-7.07
45,-8.06
46,-8.88
47,-9.47
48,-9.84
49,-10.07
50,-10.11
51,-9.89
52,-9.52
53,-9.01
54,-8.37
55,-7.64
56,-6.87
57,-6.03
58,-5.11
59,-4.22
60,-3.32
61,-2.44
62,-1.64
63,-0.94
64,-0.33
65,0.18
66,0.67
67,1.1
68,1.53
69,1.89
70,2.19
71,2.48
72,2.75
73,3.04
74,3.35
75,3.61
76,3.79
77,3.96
78,4.02
79,3.99
80,3.8
81,3.51
82,3.05
83,2.38
84,1.52
85,0.5
86,-0.69
87,-1.95
88,-3.23
89,-4.48
90,-5.58
91,-6.58
92,-7.43
93,-8.07
94,-8.47
95,-8.72
96,-8.82
97,-8.74
98,-8.53
99,-8.26
100,-7.84
101,-7.24
102,-6.54
103,-5.75
104,-4.88
105,-3.94
106,-2.99
107,-2.04
108,-1.05
109,-0.06
110,0.92
111,1.87
112,2.76
113,3.63
114,4.45
115,5.21
116,5.9
117,6.49
118,6.97
119,7.36
120,7.66
121,7.84
122,7.86
123,7.74
124,7.51
125,7.21
126,6.78
127,6.21
128,5.52
129,4.8
130,4.01
131,3.18
132,2.31
133,1.37
134,0.39
135,-0.55
136,-1.49
137,-2.41
138,-3.34
139,-4.2
140,-4.96
141,-5.68
142,-6.28
143,-6.77
144,-7.15
145,-7.37
146,-7.48
147,-7.5
148,-7.46
149,-7.41
150,-7.29
151,-7.19
152,-7.1
153,-7.01
154,-6.94
155,-6.88
156,-6.86
157,-6.88
158,-6.9
159,-6.96
160,-6.98
161,-6.94
162,-6.9
163,-6.84
164,-6.82
165,-6.76
166,-6.64
167,-6.52
168,-6.39
169,-6.25
170,-6.13
171,-5.92
172,-5.65
173,-5.29
174,-4.93
175,-4.58
176,-4.18
177,-3.72
178,-3.2
179,-2.61
180,-2.07
181,-1.56
182,-1.08
183,-0.6
184,-0.08
185,0.46
186,1.01
187,1.56
188,2.11
189,2.7
190,3.26
191,3.83
192,4.39
193,4.87
194,5.33
195,5.73
196,6.04
197,6.25
198,6.31
199,6.28
200,6.12
201,5.85
