,0
0,-0.96
1,0.35
2,1.41
3,2.23
4,2.82
5,3.14
6,3.22
7,3.16
8,2.91
9,2.47
10,1.7
11,0.82
12,-0.1
13,-0.97
14,-1.74
15,-2.5
16,-3.23
17,-3.84
18,-4.26
19,-4.4
20,-4.29
21,-3.97
22,-3.43
23,-2.7
24,-1.66
25,-0.45
26,0.88
27,2.3
28,3.7
29,5.03
30,6.27
31,7.29
32,8.02
33,8.45
34,8.64
35,8.53
36,8.08
37,7.35
38,6.36
39,5.18
40,3.92
41,2.58
42,1.14
43,-0.33
44,-1.74
45,-3.03
46,-4.17
47,-5.07
48,-5.89
49,-6.73
50,-7.52
51,-8.18
52,-8.86
53,-9.61
54,-10.41
55,-11.26
56,-12.25
57,-13.21
58,-14.09
59,-15.0
60,-15.76
61,-16.33
62,-16.74
63,-16.97
64,-17.0
65,-16.81
66,-16.37
67,-15.68
68,-14.66
69,-13.49
70,-12.16
71,-10.67
72,-9.07
73,-7.34
74,-5.57
75,-3.86
76,-2.23
77,-0.72
78,0.59
79,1.69
80,2.53
81,3.11
82,3.29
83,3.16
84,2.78
85,2.16
86,1.36
87,0.44
88,-0.54
89,-1.47
90,-2.24
91,-2.82
92,-3.2
93,-3.4
94,-3.39
95,-3.23
96,-2.9
97,-2.45
98,-1.99
99,-1.52
100,-1.0
101,-0.43
102,0.15
103,0.72
104,1.21
105,1.63
106,1.99
107,2.31
108,2.61
109,2.87
110,3.18
111,3.51
112,3.9
113,4.39
114,4.97
115,5.6
116,6.27
117,6.95
118,7.63
119,8.33
120,8.99
121,9.61
122,10.05
123,10.34
124,10.54
125,10.61
126,10.49
127,10.14
128,9.55
129,8.8
130,7.83
131,6.79
132,5.65
133,4.37
134,3.03
135,1.71
136,0.43
137,-0.79
138,-1.96
139,-2.96
140,-3.79
141,-4.48
142,-4.94
143,-5.19
144,-5.26
145,-5.17
146,-4.98
147,-4.76
148,-4.52
149,-4.36
150,-4.18
151,-4.1
152,-4.14
153,-4.25
154,-4.46
155,-4.72
156,-4.98
157,-5.27
158,-5.51
159,-5.73
160,-5.84
161,-5.8
162,-5.69
163,-5.47
164,-5.25
165,-4.98
166,-4.59
167,-4.18
168,-3.78
169,-3.39
170,-3.04
171,-2.65
172,-2.28
173,-1.88
174,-1.57
175,-1.44
176,-1.36
177,-1.38
178,-1.55
179,-1.86
180,-2.36
181,-3.08
182,-3.98
183,-4.97
184,-5.97
185,-7.0
186,-7.9
187,-8.66
188,-9.24
189,-9.59
190,-9.69
191,-9.51
192,-9.09
193,-8.5
194,-7.69
195,-6.82
196,-5.91
197,-4.99
198,-4.11
199,-3.29
200,-2.58
201,-1.99
202,-1.51
203,-1.23
204,-1.06
205,-0.96
206,-0.97
207,-1.06
208,-1.27
209,-1.52
210,-1.8
211,-2.08
212,-2.3
213,-2.47
214,-2.64
215,-2.8
216,-2.95
217,-3.06
218,-3.13
219,-3.18
220,-3.24
221,-3.29
222,-3.3
223,-3.23
224,-3.06
225,-2.78
226,-2.37
227,-1.84
228,-1.23
229,-0.56
230,0.15
231,0.9
232,1.7
233,2.46
234,3.21
235,3.9
236,4.47
237,4.97
238,5.37
239,5.74
240,5.99
241,6.13
242,6.18
243,6.12
244,5.99
245,5.82
246,5.58
247,5.29
248,4.9
249,4.45
250,3.92
251,3.26
252,2.58
253,1.88
254,1.16
255,0.44
256,-0.21
257,-0.85
258,-1.45
259,-2.0
260,-2.43
261,-2.8
262,-3.12
263,-3.35
264,-3.5
265,-3.57
266,-3.56
267,-3.45
268,-3.25
269,-2.94
270,-2.56
271,-2.14
272,-1.7
273,-1.22
274,-0.75
275,-0.27
276,0.22
277,0.7
278,1.15
279,1.58
280,1.95
281,2.28
282,2.55
283,2.75
284,2.88
285,2.94
286,2.93
287,2.89
288,2.82
289,2.75
290,2.63
291,2.46
292,2.3
293,2.13
294,1.99
295,1.86
296,1.73
297,1.63
298,1.6
299,1.6
300,1.62
301,1.66
302,1.7
303,1.7
304,1.73
305,1.74
306,1.7
307,1.67
308,1.67
309,1.65
310,1.68
311,1.78
312,1.94
313,2.15
314,2.43
315,2.74
316,3.03
317,3.35
318,3.71
319,4.07
320,4.41
321,4.73
322,5.0
323,5.25
324,5.46
325,5.58
326,5.68
327,5.74
328,5.78
329,5.8
330,5.77
331,5.68
332,5.55
333,5.4
334,5.23
335,5.03
336,4.79
337,4.56
338,4.31
339,4.09
340,3.86
341,3.62
342,3.39
343,3.18
344,3.0
345,2.87
346,2.72
347,2.53
348,2.33
349,2.2
350,2.12
351,2.05
352,2.03
353,2.01
354,1.97
355,1.91
356,1.9
357,1.88
358,1.83
359,1.75
360,1.66
361,1.55
362,1.4
363,1.21
364,1.01
365,0.8
366,0.66
367,0.58
368,0.56
369,0.62
370,0.75
371,0.98
372,1.27
373,1.58
374,1.91
375,2.23
376,2.56
377,2.79
378,2.88
379,2.87
380,2.73
381,2.52
382,2.27
383,1.93
384,1.51
385,1.01
386,0.58
387,0.23
388,-0.05
389,-0.28
390,-0.44
391,-0.46
392,-0.31
393,-0.04
394,0.3
395,0.66
396,1.01
397,1.35
398,1.66
399,1.93
400,2.07
401,2.03
402,1.78
403,1.38
404,0.82
405,0.13
406,-0.67
407,-1.52
408,-2.41
409,-3.29
410,-4.06
411,-4.66
412,-5.13
413,-5.4
414,-5.46
415,-5.34
416,-5.03
417,-4.61
418,-4.04
419,-3.44
420,-2.82
421,-2.17
422,-1.58
423,-1.09
424,-0.72
425,-0.45
426,-0.19
427,-0.05
428,0.03
429,0.09
430,0.15
431,0.31
432,0.56
433,0.9
434,1.38
435,1.98
436,2.69
437,3.42
438,4.16
439,4.86
440,5.46
441,6.0
442,6.48
443,6.79
444,6.91
445,6.92
446,6.82
447,6.64
448,6.34
449,5.94
450,5.49
451,5.0
452,4.49
453,4.0
454,3.5
455,3.03
456,2.57
457,2.19
458,1.91
459,1.69
460,1.54
461,1.48
462,1.45
463,1.5
464,1.6
465,1.75
466,1.96
467,2.17
