,0
0,2.14
1,5.47
2,7.89
3,9.4
4,10.29
5,10.25
6,9.44
7,8.36
8,7.04
9,5.54
10,3.65
11,1.76
12,0.05
13,-1.35
14,-2.16
15,-2.69
16,-3.12
17,-3.28
18,-2.94
19,-2.03
20,-0.86
21,0.21
22,1.35
23,2.65
24,4.18
25,5.87
26,7.79
27,9.8
28,11.67
29,13.37
30,15.18
31,16.75
32,17.81
33,18.54
34,18.92
35,18.6
36,17.47
37,15.82
38,13.64
39,10.94
40,7.92
41,4.64
42,1.14
43,-2.38
44,-5.63
45,-8.6
46,-11.21
47,-13.18
48,-14.83
49,-16.04
50,-16.6
51,-16.5
52,-16.12
53,-15.62
54,-14.92
55,-14.0
56,-13.11
57,-11.86
58,-10.36
59,-9.01
60,-7.53
61,-6.16
62,-5.0
63,-4.17
64,-3.76
65,-3.69
66,-3.89
67,-4.49
68,-5.02
69,-5.84
70,-6.71
71,-7.56
72,-8.48
73,-9.14
74,-9.39
75,-9.4
76,-8.96
77,-8.3
78,-7.61
79,-6.87
80,-6.37
81,-5.84
82,-5.69
83,-6.04
84,-6.84
85,-8.2
86,-10.11
87,-12.39
88,-14.94
89,-17.35
90,-19.47
91,-21.37
92,-23.13
93,-24.52
94,-25.35
95,-25.76
96,-25.7
97,-25.1
98,-24.22
99,-23.13
100,-21.61
101,-19.59
102,-17.36
103,-15.09
104,-12.74
105,-10.34
106,-8.02
107,-5.73
108,-3.28
109,-0.76
110,1.78
111,4.24
112,6.53
113,8.8
114,10.95
115,13.04
116,15.1
117,16.84
118,18.27
119,19.43
120,20.32
121,20.96
122,21.12
123,20.91
124,20.52
125,19.88
126,18.93
127,17.6
128,16.0
129,14.38
130,12.49
131,10.47
132,8.22
133,5.56
134,2.77
135,0.13
136,-2.55
137,-5.26
138,-8.04
139,-10.5
140,-12.6
141,-14.49
142,-15.84
143,-16.79
144,-17.38
145,-17.38
146,-16.85
147,-16.07
148,-15.19
149,-14.41
150,-13.43
151,-12.66
152,-12.19
153,-12.01
154,-12.25
155,-12.75
156,-13.44
157,-14.29
158,-15.1
159,-15.94
160,-16.78
161,-17.4
162,-17.91
163,-18.19
164,-18.49
165,-18.57
166,-18.35
167,-18.06
168,-17.86
169,-17.62
170,-17.35
171,-16.9
172,-16.15
173,-15.06
