,0
0,4.87
1,7.08
2,8.57
3,9.35
4,9.57
5,9.15
6,8.32
7,7.39
8,6.37
9,5.31
10,4.31
11,3.45
12,2.79
13,2.45
14,2.61
15,3.07
16,3.66
17,4.35
18,5.24
19,6.35
20,7.56
21,8.84
22,9.97
23,10.97
24,11.88
25,12.74
26,13.65
27,14.56
28,15.28
29,15.95
30,16.48
31,16.87
32,17.15
33,17.45
34,17.81
35,18.01
36,18.09
37,18.14
38,18.12
39,17.99
40,17.85
41,17.64
42,17.26
43,16.6
44,15.74
45,14.41
46,12.73
47,10.91
48,8.9
49,6.57
50,3.88
51,0.99
52,-2.22
53,-5.8
54,-9.44
55,-12.99
56,-16.68
57,-20.26
58,-23.55
59,-26.54
60,-29.2
61,-31.65
62,-33.8
63,-35.88
64,-37.75
65,-39.28
66,-40.47
67,-41.27
68,-41.6
69,-41.76
70,-41.57
71,-40.88
72,-39.57
73,-37.39
74,-34.52
75,-31.05
76,-27.21
77,-23.14
78,-18.95
79,-14.73
80,-10.67
81,-6.73
82,-3.45
83,-0.98
84,0.78
85,2.03
86,2.86
87,3.22
88,3.25
89,3.06
90,2.83
91,2.6
92,2.55
93,2.75
94,3.17
95,3.66
96,4.41
97,5.51
98,6.78
99,8.12
100,9.65
101,11.34
102,12.94
103,14.3
104,15.51
105,16.57
106,17.52
107,18.31
108,18.89
109,19.31
110,19.62
111,19.78
112,19.79
113,19.76
114,19.61
115,19.31
116,19.02
117,18.68
118,18.12
119,17.48
120,16.78
121,16.03
122,15.15
123,14.18
124,13.22
125,12.29
126,11.43
127,10.58
128,9.63
129,8.73
130,7.85
131,7.07
132,6.38
133,5.56
134,4.61
135,3.48
136,2.16
137,0.77
138,-0.72
139,-2.14
140,-3.55
141,-5.1
142,-6.47
143,-7.7
144,-8.7
145,-9.45
146,-10.16
147,-10.8
148,-11.44
149,-12.26
150,-12.95
151,-13.77
152,-14.7
153,-15.62
154,-16.53
155,-17.26
156,-17.95
157,-18.65
158,-19.13
159,-19.52
160,-19.62
161,-19.25
162,-18.78
163,-18.11
164,-17.51
165,-16.77
166,-15.72
167,-14.59
168,-13.47
169,-12.34
