,0
0,-4.45
1,-4.45
2,-4.68
3,-5.09
4,-5.56
5,-6.12
6,-6.71
7,-7.11
8,-7.32
9,-7.52
10,-7.78
11,-7.89
12,-7.78
13,-7.49
14,-6.96
15,-6.41
16,-5.94
17,-5.51
18,-4.96
19,-4.24
20,-3.49
21,-2.82
22,-2.21
23,-1.59
24,-0.87
25,-0.06
26,0.86
27,1.84
28,2.8
29,3.68
30,4.5
31,5.13
32,5.46
33,5.59
34,5.56
35,5.27
36,4.72
37,3.92
38,2.85
39,1.55
40,0.16
41,-1.36
42,-3.06
43,-4.87
44,-6.64
45,-8.33
46,-9.86
47,-11.11
48,-12.18
49,-13.1
50,-13.77
51,-14.02
52,-14.03
53,-13.91
54,-13.63
55,-13.16
56,-12.61
57,-11.92
58,-11.15
59,-10.45
60,-9.84
61,-9.29
62,-8.82
63,-8.51
64,-8.35
65,-8.3
66,-8.27
67,-8.26
68,-8.12
69,-7.96
70,-7.69
71,-7.24
72,-6.54
73,-5.62
74,-4.46
75,-3.17
76,-1.73
77,-0.15
78,1.47
79,3.05
80,4.5
81,5.82
82,6.76
83,7.24
84,7.33
85,7.07
86,6.48
87,5.64
88,4.53
89,3.3
90,2.01
91,0.83
92,-0.14
93,-0.87
94,-1.39
95,-1.8
96,-1.96
97,-1.87
98,-1.78
99,-1.76
100,-1.67
101,-1.5
102,-1.27
103,-0.99
104,-0.7
105,-0.46
106,-0.28
107,-0.08
108,0.19
109,0.5
110,0.86
111,1.24
112,1.67
113,2.23
114,2.85
115,3.49
116,4.15
117,4.77
118,5.35
119,5.9
120,6.33
121,6.61
122,6.72
123,6.7
124,6.63
125,6.47
126,6.2
127,5.73
128,5.06
129,4.31
130,3.4
131,2.36
132,1.16
133,-0.24
134,-1.7
135,-3.19
136,-4.71
137,-6.27
138,-7.86
139,-9.33
140,-10.67
141,-11.82
142,-12.62
143,-13.14
144,-13.37
145,-13.3
146,-12.93
147,-12.36
148,-11.63
149,-10.75
150,-9.79
151,-8.89
152,-8.08
153,-7.33
154,-6.7
155,-6.16
156,-5.66
157,-5.27
158,-4.93
159,-4.62
160,-4.34
161,-4.02
162,-3.72
163,-3.43
164,-3.18
165,-2.95
166,-2.63
167,-2.31
168,-2.0
169,-1.68
170,-1.35
171,-0.94
172,-0.45
173,0.17
174,0.85
175,1.49
176,2.15
177,2.81
178,3.41
179,3.9
180,4.18
181,4.25
182,4.11
183,3.74
184,3.25
185,2.61
186,1.87
187,1.05
188,0.21
189,-0.53
190,-1.19
191,-1.65
192,-1.95
193,-2.16
194,-2.2
195,-2.17
196,-2.0
197,-1.72
198,-1.52
199,-1.37
200,-1.33
201,-1.4
202,-1.53
203,-1.87
204,-2.32
205,-2.95
206,-3.68
207,-4.44
208,-5.35
209,-6.28
210,-7.21
211,-8.05
212,-8.7
213,-9.12
214,-9.31
215,-9.32
216,-9.14
217,-8.69
218,-8.11
219,-7.37
220,-6.56
221,-5.71
222,-4.72
223,-3.66
224,-2.52
225,-1.31
226,-0.03
227,1.28
228,2.5
229,3.63
230,4.68
231,5.57
232,6.39
233,7.1
234,7.7
235,8.2
236,8.62
237,9.0
238,9.34
239,9.65
240,9.96
241,10.22
242,10.47
243,10.68
244,10.89
245,11.05
246,11.11
247,11.07
248,10.94
249,10.66
250,10.19
251,9.53
252,8.77
253,7.9
254,6.88
255,5.82
256,4.69
257,3.56
258,2.53
259,1.67
260,1.01
261,0.55
262,0.29
263,0.29
264,0.51
265,0.98
266,1.64
267,2.41
268,3.31
269,4.27
270,5.11
271,5.79
272,6.31
273,6.72
274,7.0
275,7.17
276,7.27
277,7.26
278,7.14
279,7.09
280,7.05
281,7.02
282,6.98
283,6.89
284,6.8
285,6.66
286,6.44
287,6.22
288,5.97
289,5.7
290,5.38
291,4.99
292,4.62
293,4.17
294,3.68
295,3.18
296,2.67
297,2.22
298,1.87
299,1.6
300,1.41
301,1.23
302,1.05
303,0.88
304,0.76
305,0.67
306,0.61
307,0.62
308,0.7
309,0.83
310,1.01
311,1.27
312,1.62
313,2.07
314,2.6
315,3.12
316,3.61
317,4.07
318,4.52
319,5.03
320,5.6
321,6.08
322,6.45
323,6.67
324,6.77
325,6.75
326,6.61
327,6.44
328,6.16
329,5.75
330,5.23
331,4.62
332,3.93
333,3.29
334,2.65
335,2.08
336,1.48
337,0.95
338,0.49
339,0.1
340,-0.22
341,-0.39
342,-0.54
343,-0.62
344,-0.68
345,-0.72
346,-0.71
347,-0.67
348,-0.5
349,-0.17
350,0.27
351,0.76
352,1.33
353,2.02
354,2.83
355,3.62
356,4.44
357,5.26
358,6.01
359,6.65
360,7.15
361,7.47
362,7.54
363,7.4
364,7.07
365,6.48
366,5.65
367,4.61
368,3.41
369,2.16
370,0.85
371,-0.48
372,-1.83
373,-3.14
374,-4.34
375,-5.45
376,-6.37
377,-7.12
378,-7.71
379,-8.09
380,-8.22
381,-8.11
382,-7.8
383,-7.33
384,-6.69
385,-5.93
386,-5.01
387,-3.95
388,-2.81
389,-1.65
390,-0.47
391,0.73
392,1.94
393,3.04
394,3.99
395,4.73
396,5.22
397,5.5
398,5.54
399,5.33
400,4.84
401,4.08
402,3.1
403,1.98
404,0.76
405,-0.5
406,-1.77
407,-3.03
408,-4.24
409,-5.31
