,0
0,3.54
1,3.38
2,3.18
3,2.96
4,2.75
5,2.58
6,2.44
7,2.34
8,2.35
9,2.49
10,2.79
11,3.27
12,3.94
13,4.8
14,5.82
15,6.94
16,8.1
17,9.2
18,10.2
19,11.03
20,11.66
21,12.08
22,12.24
23,12.07
24,11.65
25,10.99
26,10.12
27,9.11
28,8.07
29,7.02
30,5.96
31,4.93
32,4.01
33,3.17
34,2.49
35,1.95
36,1.52
37,1.21
38,1.0
39,0.91
40,0.96
41,1.12
42,1.28
43,1.42
44,1.55
45,1.64
46,1.6
47,1.49
48,1.26
49,0.87
50,0.38
51,-0.14
52,-0.69
53,-1.22
54,-1.72
55,-2.11
56,-2.43
57,-2.61
58,-2.63
59,-2.52
60,-2.22
61,-1.79
62,-1.27
63,-0.69
64,-0.08
65,0.51
66,1.17
67,1.87
68,2.58
69,3.19
70,3.73
71,4.18
72,4.55
73,4.89
74,5.21
75,5.42
76,5.49
77,5.46
78,5.32
79,5.1
80,4.77
81,4.34
82,3.71
83,2.92
84,1.91
85,0.73
86,-0.63
87,-2.12
88,-3.72
89,-5.33
90,-6.87
91,-8.31
92,-9.65
93,-10.79
94,-11.65
95,-12.28
96,-12.62
97,-12.66
98,-12.44
99,-12.07
100,-11.55
101,-10.88
102,-10.09
103,-9.28
104,-8.38
105,-7.44
106,-6.52
107,-5.62
108,-4.72
109,-3.77
110,-2.76
111,-1.74
112,-0.71
113,0.32
114,1.27
115,2.15
116,3.0
117,3.84
118,4.58
119,5.18
120,5.68
121,6.04
122,6.17
123,6.14
124,6.0
125,5.77
126,5.45
127,5.11
128,4.76
129,4.4
130,4.03
131,3.76
132,3.56
133,3.41
134,3.29
135,3.17
136,3.07
137,2.94
138,2.79
139,2.61
140,2.39
141,2.14
142,1.86
143,1.55
144,1.22
145,0.88
146,0.56
147,0.21
148,-0.11
149,-0.42
150,-0.71
151,-1.05
152,-1.43
153,-1.83
154,-2.32
155,-2.84
156,-3.31
157,-3.72
158,-4.05
159,-4.27
160,-4.39
161,-4.29
162,-3.99
163,-3.42
164,-2.71
165,-1.9
166,-0.96
167,0.05
168,1.09
169,2.21
170,3.24
171,4.19
172,5.06
173,5.91
174,6.71
175,7.33
176,7.88
177,8.34
178,8.75
179,9.09
180,9.36
181,9.5
182,9.52
183,9.4
184,9.28
185,9.09
186,8.85
187,8.52
188,8.12
189,7.72
190,7.27
191,6.79
192,6.25
193,5.66
194,5.08
195,4.52
196,3.97
197,3.45
198,2.89
199,2.34
200,1.78
201,1.25
202,0.76
203,0.17
204,-0.48
205,-1.12
206,-1.71
207,-2.27
208,-2.85
209,-3.43
210,-3.97
211,-4.45
212,-4.74
213,-4.87
214,-4.88
215,-4.77
216,-4.54
217,-4.14
218,-3.6
219,-2.99
220,-2.33
221,-1.65
222,-0.99
223,-0.36
224,0.22
225,0.7
226,1.07
227,1.37
228,1.59
229,1.69
230,1.73
231,1.77
232,1.77
233,1.72
234,1.7
235,1.72
236,1.72
237,1.72
238,1.72
239,1.64
240,1.48
241,1.25
242,0.99
243,0.65
244,0.22
245,-0.26
246,-0.84
247,-1.42
248,-1.94
249,-2.45
250,-2.93
251,-3.37
252,-3.75
253,-4.03
254,-4.29
255,-4.4
256,-4.44
257,-4.48
258,-4.49
259,-4.48
260,-4.42
261,-4.31
262,-4.19
263,-3.98
264,-3.74
265,-3.51
266,-3.27
267,-3.05
268,-2.82
269,-2.66
270,-2.56
271,-2.51
272,-2.53
273,-2.61
274,-2.71
275,-2.81
276,-2.87
277,-2.93
278,-2.97
279,-2.91
280,-2.73
281,-2.4
282,-1.94
283,-1.43
284,-0.84
285,-0.15
286,0.63
287,1.5
288,2.37
289,3.17
290,3.88
291,4.51
292,5.05
293,5.44
294,5.65
295,5.7
296,5.59
297,5.35
298,5.0
299,4.52
300,3.9
301,3.19
302,2.43
303,1.63
304,0.82
305,-0.01
306,-0.85
307,-1.7
308,-2.48
309,-3.17
310,-3.82
311,-4.39
312,-4.86
313,-5.19
314,-5.38
315,-5.46
316,-5.44
317,-5.36
318,-5.19
319,-4.9
320,-4.52
321,-4.12
322,-3.72
323,-3.32
324,-2.9
325,-2.45
326,-1.97
327,-1.54
328,-1.16
329,-0.78
330,-0.41
331,-0.07
332,0.28
333,0.58
334,0.8
335,0.95
336,1.06
337,1.13
338,1.11
339,1.03
340,0.87
341,0.65
342,0.42
343,0.17
344,-0.1
345,-0.33
346,-0.53
347,-0.65
348,-0.68
349,-0.66
350,-0.61
351,-0.56
352,-0.47
353,-0.36
354,-0.26
355,-0.11
356,0.07
357,0.24
358,0.43
359,0.6
360,0.74
361,0.88
362,1.06
363,1.28
364,1.51
365,1.7
366,1.85
367,1.95
368,2.05
369,2.13
370,2.17
371,2.19
372,2.15
373,2.05
374,1.9
375,1.74
376,1.56
377,1.4
378,1.25
379,1.1
380,0.94
381,0.78
382,0.66
383,0.53
384,0.42
385,0.37
386,0.36
387,0.4
388,0.5
389,0.65
390,0.82
391,1.05
392,1.34
393,1.62
394,1.89
395,2.17
396,2.45
397,2.7
398,2.87
399,2.99
400,3.04
401,3.03
402,3.02
403,2.97
404,2.88
405,2.7
406,2.49
407,2.27
408,2.05
409,1.8
410,1.56
411,1.29
412,0.99
413,0.67
414,0.34
415,0.0
416,-0.31
417,-0.57
418,-0.77
419,-0.92
420,-1.07
421,-1.18
422,-1.31
423,-1.44
424,-1.59
425,-1.77
426,-2.04
427,-2.41
428,-2.89
429,-3.47
430,-4.15
431,-4.9
432,-5.64
433,-6.37
434,-7.07
435,-7.73
436,-8.19
437,-8.49
438,-8.64
439,-8.6
440,-8.39
441,-8.05
442,-7.59
443,-6.98
444,-6.22
445,-5.43
446,-4.64
447,-3.84
448,-3.07
449,-2.31
450,-1.6
451,-0.99
452,-0.49
453,-0.14
454,0.1
455,0.25
456,0.34
457,0.39
458,0.41
459,0.44
460,0.5
461,0.58
462,0.71
463,0.88
464,1.11
465,1.36
466,1.63
467,1.93
