,0
0,1.59
1,1.81
2,1.82
3,1.65
4,1.38
5,0.97
6,0.47
7,-0.07
8,-0.64
9,-1.15
10,-1.66
11,-2.11
12,-2.47
13,-2.75
14,-2.86
15,-2.9
16,-2.91
17,-2.87
18,-2.75
19,-2.5
20,-2.2
21,-1.89
22,-1.52
23,-1.13
24,-0.7
25,-0.24
26,0.28
27,0.88
28,1.48
29,2.08
30,2.68
31,3.2
32,3.6
33,3.9
34,4.11
35,4.15
36,3.95
37,3.6
38,3.1
39,2.43
40,1.67
41,0.79
42,-0.2
43,-1.28
44,-2.33
45,-3.33
46,-4.3
47,-5.15
48,-5.91
49,-6.61
50,-7.17
51,-7.54
52,-7.8
53,-7.98
54,-8.07
55,-8.02
56,-7.92
57,-7.74
58,-7.44
59,-7.1
60,-6.71
61,-6.26
62,-5.81
63,-5.39
64,-5.01
65,-4.67
66,-4.35
67,-4.11
68,-3.88
69,-3.72
70,-3.56
71,-3.38
72,-3.18
73,-2.95
74,-2.67
75,-2.36
76,-2.03
77,-1.65
78,-1.25
79,-0.85
80,-0.49
81,-0.15
82,0.11
83,0.27
84,0.34
85,0.34
86,0.24
87,0.07
88,-0.17
89,-0.4
90,-0.56
91,-0.68
92,-0.75
93,-0.76
94,-0.66
95,-0.51
96,-0.29
97,-0.02
98,0.22
99,0.4
100,0.59
101,0.79
102,0.99
103,1.15
104,1.24
105,1.22
106,1.08
107,0.86
108,0.62
109,0.34
110,0.08
111,-0.21
112,-0.48
113,-0.66
114,-0.75
115,-0.74
116,-0.62
117,-0.39
118,-0.07
119,0.33
120,0.77
121,1.23
122,1.64
123,2.06
124,2.47
125,2.86
126,3.15
127,3.3
128,3.31
129,3.24
130,3.04
131,2.73
132,2.27
133,1.65
134,0.98
135,0.28
136,-0.46
137,-1.21
138,-1.97
139,-2.66
140,-3.26
141,-3.79
142,-4.17
143,-4.46
144,-4.65
145,-4.74
146,-4.77
147,-4.76
148,-4.72
149,-4.69
150,-4.61
151,-4.57
152,-4.56
153,-4.57
154,-4.6
155,-4.61
156,-4.6
157,-4.61
158,-4.58
159,-4.5
160,-4.36
161,-4.15
162,-3.92
163,-3.61
164,-3.32
165,-2.99
166,-2.59
167,-2.19
168,-1.83
169,-1.49
170,-1.16
171,-0.83
172,-0.55
173,-0.31
174,-0.13
175,-0.07
176,-0.06
177,-0.13
178,-0.29
179,-0.54
180,-0.92
181,-1.36
182,-1.87
183,-2.45
184,-2.97
185,-3.42
186,-3.78
187,-4.02
188,-4.11
189,-4.02
190,-3.75
191,-3.28
192,-2.65
193,-1.96
194,-1.23
195,-0.47
196,0.31
197,1.08
198,1.73
199,2.25
200,2.64
201,2.91
202,3.05
203,3.04
204,2.89
205,2.65
206,2.3
207,1.9
208,1.43
209,0.87
210,0.27
211,-0.37
212,-0.99
213,-1.53
214,-2.02
215,-2.49
216,-2.93
217,-3.28
218,-3.56
219,-3.75
220,-3.87
221,-3.92
222,-3.92
223,-3.87
224,-3.72
225,-3.51
226,-3.2
227,-2.81
228,-2.41
229,-1.96
230,-1.47
231,-0.94
232,-0.36
233,0.21
234,0.77
235,1.33
236,1.84
237,2.35
238,2.83
239,3.33
240,3.79
241,4.17
242,4.5
243,4.72
244,4.85
245,4.92
246,4.89
247,4.77
248,4.54
249,4.19
250,3.76
251,3.17
252,2.51
253,1.79
254,0.94
255,0.08
256,-0.71
257,-1.47
258,-2.17
259,-2.8
260,-3.29
261,-3.64
262,-3.88
263,-3.92
264,-3.86
265,-3.71
266,-3.47
267,-3.14
268,-2.69
269,-2.13
270,-1.53
271,-0.87
272,-0.21
273,0.48
274,1.17
275,1.83
276,2.47
277,3.04
278,3.54
279,3.99
280,4.36
281,4.65
282,4.85
283,4.94
284,4.93
285,4.8
286,4.57
287,4.3
288,4.02
289,3.76
290,3.51
291,3.23
292,2.97
293,2.7
294,2.47
295,2.24
296,1.98
297,1.73
298,1.5
299,1.28
300,1.09
301,0.91
302,0.76
303,0.61
304,0.51
305,0.44
306,0.39
307,0.4
308,0.49
309,0.66
310,0.9
311,1.22
312,1.62
313,2.13
314,2.76
315,3.45
316,4.12
317,4.79
318,5.45
319,6.03
320,6.54
321,6.94
322,7.21
323,7.32
324,7.31
325,7.17
326,6.87
327,6.46
328,6.01
329,5.5
330,4.94
331,4.35
332,3.75
333,3.16
334,2.59
335,2.06
336,1.55
337,1.06
338,0.64
339,0.28
340,-0.03
341,-0.32
342,-0.61
343,-0.87
344,-1.09
345,-1.26
346,-1.42
347,-1.59
348,-1.76
349,-1.85
350,-1.84
351,-1.77
352,-1.64
353,-1.47
354,-1.27
355,-1.07
356,-0.81
357,-0.51
358,-0.18
359,0.16
360,0.55
361,0.94
362,1.32
363,1.68
364,2.03
365,2.39
366,2.78
367,3.12
368,3.41
369,3.66
370,3.84
371,3.97
372,4.03
373,3.99
374,3.88
375,3.68
376,3.41
377,3.1
378,2.73
379,2.34
380,1.95
381,1.6
382,1.33
383,1.1
384,0.93
385,0.8
386,0.73
387,0.74
388,0.85
389,1.04
390,1.26
391,1.52
392,1.83
393,2.16
394,2.43
395,2.66
396,2.8
397,2.87
398,2.86
399,2.79
400,2.66
401,2.41
402,2.05
403,1.66
404,1.24
405,0.78
406,0.29
407,-0.19
408,-0.66
409,-1.05
410,-1.31
411,-1.43
412,-1.44
413,-1.33
414,-1.11
415,-0.78
416,-0.34
417,0.16
418,0.67
419,1.14
420,1.56
421,1.92
422,2.14
423,2.21
424,2.09
425,1.79
426,1.37
427,0.81
428,0.12
429,-0.64
430,-1.49
431,-2.29
432,-3.05
433,-3.72
434,-4.21
435,-4.49
436,-4.54
437,-4.37
438,-4.01
439,-3.48
440,-2.84
441,-2.07
442,-1.16
443,-0.27
444,0.55
445,1.31
446,1.98
447,2.55
448,2.98
449,3.25
450,3.34
451,3.27
452,3.1
453,2.83
454,2.42
455,1.93
456,1.37
457,0.8
458,0.28
459,-0.14
460,-0.46
461,-0.67
462,-0.77
463,-0.73
464,-0.6
465,-0.4
466,-0.1
467,0.27
