,0
0,1.47
1,1.69
2,1.7
3,1.53
4,1.27
5,0.87
6,0.38
7,-0.15
8,-0.7
9,-1.18
10,-1.68
11,-2.1
12,-2.45
13,-2.7
14,-2.78
15,-2.79
16,-2.78
17,-2.71
18,-2.57
19,-2.3
20,-1.97
21,-1.64
22,-1.26
23,-0.88
24,-0.45
25,0.0
26,0.51
27,1.09
28,1.67
29,2.25
30,2.82
31,3.31
32,3.69
33,3.97
34,4.16
35,4.2
36,4.01
37,3.66
38,3.16
39,2.5
40,1.75
41,0.88
42,-0.11
43,-1.19
44,-2.25
45,-3.27
46,-4.25
47,-5.12
48,-5.9
49,-6.61
50,-7.18
51,-7.57
52,-7.83
53,-8.01
54,-8.11
55,-8.06
56,-7.96
57,-7.77
58,-7.47
59,-7.13
60,-6.73
61,-6.29
62,-5.84
63,-5.43
64,-5.06
65,-4.73
66,-4.42
67,-4.19
68,-3.97
69,-3.8
70,-3.65
71,-3.46
72,-3.27
73,-3.04
74,-2.76
75,-2.45
76,-2.12
77,-1.74
78,-1.33
79,-0.92
80,-0.55
81,-0.2
82,0.06
83,0.23
84,0.32
85,0.34
86,0.26
87,0.1
88,-0.11
89,-0.31
90,-0.45
91,-0.55
92,-0.6
93,-0.6
94,-0.5
95,-0.34
96,-0.13
97,0.14
98,0.37
99,0.54
100,0.72
101,0.92
102,1.12
103,1.28
104,1.37
105,1.35
106,1.21
107,0.99
108,0.74
109,0.45
110,0.18
111,-0.12
112,-0.41
113,-0.61
114,-0.73
115,-0.74
116,-0.64
117,-0.43
118,-0.13
119,0.27
120,0.71
121,1.18
122,1.6
123,2.03
124,2.47
125,2.87
126,3.19
127,3.36
128,3.39
129,3.34
130,3.15
131,2.84
132,2.38
133,1.77
134,1.1
135,0.39
136,-0.36
137,-1.11
138,-1.89
139,-2.59
140,-3.19
141,-3.73
142,-4.12
143,-4.41
144,-4.61
145,-4.7
146,-4.74
147,-4.73
148,-4.7
149,-4.68
150,-4.61
151,-4.58
152,-4.59
153,-4.62
154,-4.67
155,-4.69
156,-4.71
157,-4.73
158,-4.71
159,-4.64
160,-4.5
161,-4.28
162,-4.03
