,0
0,-5.87
1,-5.32
2,-5.15
3,-5.34
4,-5.92
5,-6.98
6,-8.26
7,-9.61
8,-11.02
9,-12.5
10,-13.93
11,-15.25
12,-16.45
13,-17.19
14,-17.34
15,-17.05
16,-16.47
17,-15.54
18,-14.23
19,-12.6
20,-10.75
21,-8.7
22,-6.78
23,-5.02
24,-3.41
25,-1.95
26,-0.61
27,0.41
28,0.98
29,1.17
30,0.98
31,0.42
32,-0.49
33,-1.63
34,-2.88
35,-4.27
36,-5.57
37,-6.66
38,-7.6
39,-8.3
40,-8.61
41,-8.6
42,-8.32
43,-7.96
44,-7.39
45,-6.71
46,-5.97
47,-5.06
48,-4.13
49,-3.3
50,-2.58
51,-1.84
52,-1.19
53,-0.86
54,-0.77
55,-0.74
56,-0.94
57,-1.18
58,-1.46
59,-1.88
60,-2.39
61,-3.0
62,-3.56
63,-4.17
64,-4.78
65,-5.29
66,-5.75
67,-6.02
68,-5.94
69,-5.8
70,-5.51
71,-5.07
72,-4.44
73,-3.57
74,-2.56
75,-1.44
76,-0.32
77,0.69
78,1.58
79,2.27
80,2.72
81,2.96
82,2.8
83,2.26
84,1.37
85,0.15
86,-1.31
87,-2.87
88,-4.49
89,-6.02
90,-7.41
91,-8.58
92,-9.43
93,-9.9
94,-9.97
95,-9.73
96,-9.16
97,-8.22
98,-7.08
99,-5.78
100,-4.28
101,-2.66
102,-0.97
103,0.65
104,2.16
105,3.56
106,4.85
107,6.03
108,7.09
109,7.92
110,8.54
111,8.97
112,9.24
113,9.43
114,9.44
115,9.31
116,9.08
117,8.74
118,8.33
119,7.92
120,7.53
121,7.15
122,6.81
123,6.57
124,6.48
125,6.48
126,6.56
127,6.63
128,6.63
129,6.61
130,6.48
131,6.2
132,5.77
133,5.1
134,4.15
135,2.98
136,1.63
137,0.17
138,-1.39
139,-2.88
140,-4.33
141,-5.79
142,-7.11
143,-8.22
144,-9.08
145,-9.62
146,-10.02
147,-10.32
148,-10.55
149,-10.76
150,-10.88
151,-11.04
152,-11.14
153,-11.13
154,-11.05
155,-10.74
156,-10.28
157,-9.76
158,-9.07
159,-8.19
160,-7.07
161,-5.78
162,-4.45
163,-3.05
164,-1.82
165,-0.63
166,0.59
167,1.6
168,2.32
169,2.74
170,2.91
171,2.94
172,2.78
173,2.57
174,2.3
175,1.91
176,1.64
177,1.5
178,1.48
179,1.6
180,1.84
181,2.19
182,2.58
183,3.04
184,3.61
185,4.16
186,4.74
187,5.37
188,5.96
189,6.52
190,7.12
191,7.86
192,8.63
193,9.39
194,10.17
195,10.84
196,11.39
197,11.96
198,12.45
199,12.71
200,12.78
201,12.69
202,12.46
203,11.98
204,11.5
205,10.97
206,10.36
207,9.71
208,8.97
209,8.12
210,7.17
211,6.2
212,5.36
213,4.6
214,3.89
215,3.16
216,2.38
217,1.63
218,0.86
219,0.17
220,-0.52
221,-1.19
222,-1.76
223,-2.22
224,-2.5
