,0
0,0.89
1,0.81
2,0.6
3,0.29
4,-0.08
5,-0.47
6,-0.9
7,-1.32
8,-1.7
9,-2.01
10,-2.21
11,-2.3
12,-2.27
13,-2.12
14,-1.83
15,-1.39
16,-0.86
17,-0.28
18,0.36
19,1.02
20,1.67
21,2.28
22,2.79
23,3.24
24,3.59
25,3.9
26,4.15
27,4.32
28,4.36
29,4.32
30,4.23
31,4.12
32,3.98
33,3.81
34,3.63
35,3.43
36,3.24
37,3.08
38,2.94
39,2.8
40,2.68
41,2.58
42,2.52
43,2.45
44,2.38
45,2.29
46,2.21
47,2.15
48,2.11
49,2.05
50,1.97
51,1.88
52,1.72
53,1.51
54,1.27
55,1.01
56,0.68
57,0.3
58,-0.07
59,-0.46
60,-0.85
61,-1.21
62,-1.53
63,-1.8
64,-2.01
65,-2.1
66,-2.1
67,-2.02
68,-1.85
69,-1.65
70,-1.39
71,-1.09
72,-0.78
73,-0.45
74,-0.1
75,0.22
76,0.46
77,0.59
78,0.63
79,0.56
80,0.38
81,0.14
82,-0.19
83,-0.6
84,-1.03
85,-1.4
86,-1.71
87,-1.95
88,-2.1
89,-2.15
90,-2.07
91,-1.83
92,-1.49
93,-1.06
94,-0.57
95,-0.04
96,0.5
97,1.0
98,1.41
99,1.7
100,1.89
101,2.0
102,1.98
103,1.79
104,1.5
105,1.11
106,0.69
107,0.27
108,-0.16
109,-0.62
110,-1.07
111,-1.47
112,-1.8
113,-2.04
114,-2.19
115,-2.25
116,-2.23
117,-2.13
118,-1.99
119,-1.87
120,-1.77
121,-1.68
122,-1.64
123,-1.65
124,-1.7
125,-1.79
126,-1.9
127,-2.02
128,-2.14
129,-2.26
130,-2.37
131,-2.46
132,-2.51
133,-2.52
134,-2.5
135,-2.48
136,-2.43
137,-2.38
138,-2.31
139,-2.19
140,-2.05
141,-1.95
142,-1.85
143,-1.72
144,-1.55
145,-1.36
146,-1.17
147,-0.98
148,-0.79
149,-0.59
150,-0.38
151,-0.18
152,-0.01
153,0.14
154,0.25
155,0.37
156,0.45
157,0.48
158,0.46
159,0.42
160,0.35
161,0.22
162,0.03
163,-0.15
164,-0.35
165,-0.51
166,-0.63
167,-0.72
168,-0.8
169,-0.83
170,-0.75
171,-0.58
172,-0.32
173,-0.01
174,0.36
175,0.76
176,1.21
177,1.67
178,2.14
179,2.58
180,2.97
181,3.28
182,3.54
183,3.71
184,3.78
185,3.75
186,3.64
187,3.46
188,3.21
189,2.93
190,2.66
191,2.41
192,2.17
193,1.96
194,1.81
195,1.72
196,1.73
197,1.81
198,1.92
199,2.05
200,2.18
201,2.31
202,2.46
203,2.56
204,2.65
205,2.66
206,2.63
207,2.56
208,2.43
209,2.24
210,1.99
211,1.72
212,1.46
213,1.22
214,0.98
215,0.75
216,0.52
217,0.31
218,0.11
219,-0.01
220,-0.07
221,-0.09
222,-0.09
223,-0.07
224,-0.07
225,-0.06
226,-0.06
227,-0.05
228,-0.1
229,-0.21
230,-0.39
231,-0.64
232,-0.93
233,-1.28
234,-1.66
235,-2.04
236,-2.46
237,-2.87
238,-3.28
239,-3.64
240,-3.94
241,-4.2
242,-4.38
243,-4.51
244,-4.61
245,-4.64
246,-4.62
247,-4.55
248,-4.43
249,-4.3
250,-4.14
251,-3.98
252,-3.83
253,-3.67
254,-3.52
255,-3.39
256,-3.29
257,-3.24
258,-3.24
259,-3.27
260,-3.27
261,-3.26
262,-3.3
263,-3.34
264,-3.39
265,-3.42
266,-3.42
267,-3.38
268,-3.29
269,-3.19
270,-3.08
271,-2.9
272,-2.71
273,-2.49
274,-2.26
275,-2.02
276,-1.76
277,-1.52
278,-1.31
279,-1.12
280,-0.93
281,-0.71
282,-0.44
283,-0.15
284,0.18
285,0.55
286,0.96
287,1.43
288,1.95
289,2.5
290,3.04
291,3.55
292,4.03
293,4.45
294,4.73
295,4.89
296,4.93
297,4.85
298,4.67
299,4.38
300,4.0
301,3.54
302,3.04
303,2.56
304,2.08
305,1.62
306,1.17
307,0.72
308,0.36
309,0.04
310,-0.23
311,-0.48
312,-0.74
313,-0.95
314,-1.12
315,-1.27
316,-1.4
317,-1.55
318,-1.71
319,-1.88
320,-2.04
321,-2.15
322,-2.25
323,-2.33
324,-2.37
325,-2.36
326,-2.28
327,-2.15
328,-1.96
329,-1.71
330,-1.39
331,-1.01
332,-0.58
333,-0.11
334,0.38
335,0.86
336,1.34
337,1.81
338,2.22
339,2.57
340,2.86
341,3.09
342,3.24
343,3.3
344,3.27
345,3.14
346,2.93
347,2.63
348,2.26
349,1.83
350,1.36
351,0.87
352,0.37
353,-0.13
354,-0.55
355,-0.88
356,-1.09
357,-1.14
358,-1.06
359,-0.85
360,-0.49
361,-0.02
362,0.57
363,1.23
364,1.93
365,2.66
366,3.3
367,3.86
368,4.3
369,4.59
370,4.77
371,4.82
372,4.72
373,4.54
374,4.27
375,3.95
376,3.59
377,3.19
378,2.72
379,2.2
380,1.7
381,1.22
382,0.71
383,0.16
384,-0.39
385,-0.94
386,-1.48
387,-2.01
388,-2.46
389,-2.87
390,-3.22
391,-3.5
392,-3.72
393,-3.86
394,-3.93
395,-3.93
396,-3.79
397,-3.56
398,-3.28
399,-2.95
400,-2.58
401,-2.18
402,-1.83
403,-1.52
404,-1.28
405,-1.14
406,-1.06
407,-1.06
408,-1.15
409,-1.31
410,-1.53
411,-1.74
412,-1.94
413,-2.12
414,-2.25
415,-2.35
416,-2.39
417,-2.39
418,-2.34
419,-2.26
420,-2.18
421,-2.09
422,-2.0
423,-1.95
424,-1.95
425,-2.01
426,-2.11
427,-2.28
428,-2.5
429,-2.69
430,-2.86
431,-3.01
432,-3.13
433,-3.21
434,-3.27
435,-3.27
436,-3.16
437,-2.98
438,-2.76
439,-2.52
440,-2.24
441,-1.94
442,-1.63
443,-1.29
444,-0.96
445,-0.65
446,-0.35
447,-0.03
448,0.32
449,0.7
450,1.08
451,1.46
452,1.84
453,2.2
454,2.53
455,2.8
456,3.05
457,3.23
458,3.36
