,0
0,-1.7
1,-0.77
2,0.03
3,0.67
4,1.14
5,1.4
6,1.4
7,1.19
8,0.82
9,0.25
10,-0.58
11,-1.54
12,-2.55
13,-3.6
14,-4.63
15,-5.57
16,-6.46
17,-7.24
18,-7.79
19,-8.11
20,-8.23
21,-8.12
22,-7.78
23,-7.18
24,-6.41
25,-5.46
26,-4.39
27,-3.28
28,-2.16
29,-1.11
30,-0.16
31,0.62
32,1.2
33,1.58
34,1.81
35,1.83
36,1.63
37,1.22
38,0.72
39,0.11
40,-0.53
41,-1.15
42,-1.75
43,-2.32
44,-2.84
45,-3.26
46,-3.61
47,-3.87
48,-4.08
49,-4.22
50,-4.27
51,-4.26
52,-4.23
53,-4.21
54,-4.21
55,-4.17
56,-4.14
57,-4.06
58,-3.97
59,-3.91
60,-3.82
61,-3.69
62,-3.54
63,-3.41
64,-3.27
65,-3.08
66,-2.85
67,-2.55
68,-2.14
69,-1.7
70,-1.23
71,-0.68
72,-0.06
73,0.61
74,1.31
75,2.01
76,2.61
77,3.06
78,3.34
79,3.45
80,3.36
81,3.09
82,2.63
83,1.98
84,1.16
85,0.21
86,-0.8
87,-1.83
88,-2.83
89,-3.75
90,-4.52
91,-5.1
92,-5.51
93,-5.74
94,-5.76
95,-5.63
96,-5.36
97,-4.94
98,-4.46
99,-3.98
100,-3.5
101,-3.02
102,-2.54
103,-2.12
104,-1.73
105,-1.39
106,-1.11
107,-0.88
108,-0.66
109,-0.47
110,-0.3
111,-0.14
112,0.0
113,0.15
114,0.26
115,0.38
116,0.49
117,0.59
118,0.67
119,0.76
120,0.82
121,0.91
122,1.01
123,1.15
124,1.33
125,1.53
126,1.75
127,1.96
128,2.14
129,2.31
130,2.41
131,2.44
132,2.36
133,2.16
134,1.88
135,1.51
136,1.09
137,0.63
138,0.16
139,-0.28
140,-0.66
141,-1.0
142,-1.25
143,-1.4
144,-1.45
145,-1.39
146,-1.27
147,-1.1
148,-0.92
149,-0.74
150,-0.59
151,-0.52
152,-0.53
153,-0.63
154,-0.84
155,-1.13
156,-1.47
157,-1.9
158,-2.35
159,-2.79
160,-3.17
161,-3.48
162,-3.73
163,-3.85
164,-3.87
165,-3.75
166,-3.44
167,-3.02
168,-2.54
169,-1.96
170,-1.27
171,-0.48
172,0.39
173,1.34
174,2.33
175,3.24
176,4.14
177,5.01
178,5.79
179,6.49
180,7.08
181,7.52
182,7.8
183,7.96
184,8.03
185,8.01
186,7.93
187,7.79
188,7.55
189,7.25
190,6.93
191,6.58
192,6.2
193,5.79
194,5.38
195,4.97
196,4.59
197,4.26
198,3.93
199,3.61
200,3.29
201,2.95
202,2.63
203,2.3
204,1.96
205,1.63
206,1.31
207,0.97
208,0.59
209,0.21
210,-0.15
211,-0.47
212,-0.74
213,-0.96
214,-1.15
215,-1.31
216,-1.43
217,-1.47
218,-1.45
219,-1.36
220,-1.22
221,-1.02
222,-0.75
223,-0.42
224,-0.04
225,0.4
226,0.9
227,1.41
228,1.89
229,2.31
230,2.66
231,2.94
232,3.18
233,3.32
234,3.38
235,3.36
236,3.25
237,3.09
238,2.86
239,2.58
240,2.29
241,2.02
242,1.81
243,1.64
244,1.49
245,1.38
246,1.29
247,1.28
248,1.33
249,1.39
250,1.45
251,1.48
252,1.49
253,1.5
254,1.47
255,1.42
256,1.35
257,1.26
258,1.14
259,0.99
260,0.82
261,0.63
262,0.42
263,0.21
264,0.01
265,-0.22
266,-0.47
267,-0.77
268,-1.11
269,-1.52
270,-1.97
271,-2.46
272,-2.98
273,-3.52
274,-4.06
275,-4.53
276,-4.91
277,-5.22
278,-5.45
279,-5.55
280,-5.55
281,-5.38
282,-5.1
283,-4.75
284,-4.37
285,-3.91
286,-3.39
287,-2.8
288,-2.18
289,-1.54
290,-0.89
291,-0.25
292,0.42
293,1.09
294,1.75
295,2.35
296,2.93
