,0
0,-2.93
1,-2.37
2,-1.96
3,-1.65
4,-1.34
5,-1.09
6,-0.83
7,-0.52
8,-0.1
9,0.4
10,0.94
11,1.6
12,2.37
13,3.22
14,4.22
15,5.28
16,6.31
17,7.3
18,8.36
19,9.5
20,10.6
21,11.56
22,12.36
23,13.03
24,13.64
25,14.18
26,14.63
27,14.92
28,14.99
29,14.94
30,14.77
31,14.48
32,14.03
33,13.51
34,13.0
35,12.48
36,11.97
37,11.48
38,11.01
39,10.6
40,10.3
41,9.98
42,9.6
43,9.07
44,8.34
45,7.42
46,6.36
47,5.19
48,3.89
49,2.5
50,1.08
51,-0.3
52,-1.62
53,-2.74
54,-3.66
55,-4.27
56,-4.68
57,-4.84
58,-4.74
59,-4.46
60,-4.0
61,-3.37
62,-2.66
63,-1.88
64,-1.1
65,-0.3
66,0.55
67,1.44
68,2.47
69,3.42
70,4.32
71,5.09
72,5.72
73,6.31
74,6.99
75,7.57
76,7.91
77,7.97
78,7.82
79,7.43
80,6.8
81,5.99
82,4.93
83,3.65
84,2.33
85,1.09
86,-0.02
87,-1.01
88,-1.81
89,-2.18
90,-2.09
91,-1.57
92,-0.74
93,0.41
94,1.86
95,3.51
96,5.32
97,7.13
98,8.69
99,9.94
100,11.0
101,11.79
102,12.19
103,12.15
104,11.71
105,10.97
106,10.09
107,9.15
108,8.14
109,7.0
110,5.88
111,4.76
112,3.7
113,2.77
114,1.87
115,1.01
116,0.19
117,-0.59
118,-1.45
119,-2.44
120,-3.45
121,-4.46
122,-5.54
123,-6.51
124,-7.39
125,-8.04
126,-8.34
127,-8.34
128,-7.99
129,-7.36
130,-6.5
131,-5.39
132,-4.15
133,-2.91
134,-1.7
135,-0.71
136,0.12
137,0.71
138,1.07
139,1.27
140,1.24
141,0.93
142,0.53
143,0.02
144,-0.47
145,-0.94
146,-1.41
147,-1.79
148,-2.14
149,-2.39
150,-2.5
151,-2.53
152,-2.39
153,-2.1
154,-1.71
155,-1.17
156,-0.52
157,0.24
158,1.16
159,2.28
160,3.47
161,4.57
162,5.6
163,6.63
164,7.44
165,8.09
166,8.6
167,8.92
168,8.97
169,8.92
170,8.8
171,8.64
172,8.44
173,8.35
174,8.41
175,8.5
176,8.63
177,8.86
178,9.28
179,9.86
180,10.56
181,11.24
182,11.91
183,12.46
184,12.82
185,13.06
186,13.08
187,12.79
188,12.28
189,11.56
190,10.67
191,9.7
192,8.59
193,7.45
194,6.31
195,5.22
196,4.4
197,3.7
198,3.21
199,2.93
200,2.77
201,2.79
202,2.98
203,3.28
204,3.73
205,4.03
206,4.27
207,4.35
208,4.24
209,4.03
210,3.59
211,3.09
212,2.51
213,1.81
214,1.11
215,0.44
216,-0.24
217,-0.79
218,-1.26
219,-1.51
220,-1.69
221,-1.72
222,-1.65
223,-1.57
224,-1.49
225,-1.42
226,-1.4
227,-1.39
228,-1.47
229,-1.66
230,-1.99
231,-2.44
232,-2.86
233,-3.38
234,-3.83
235,-4.31
236,-4.88
237,-5.44
238,-5.98
239,-6.53
240,-6.96
241,-7.36
242,-7.62
243,-7.82
244,-7.94
245,-7.92
246,-7.81
247,-7.5
248,-7.08
249,-6.69
250,-6.29
251,-5.84
252,-5.43
253,-5.04
254,-4.71
255,-4.51
256,-4.56
257,-4.78
258,-5.15
259,-5.66
260,-6.32
261,-7.03
262,-7.82
263,-8.57
264,-9.26
265,-9.83
266,-10.15
267,-10.12
268,-9.76
269,-9.18
270,-8.39
271,-7.39
272,-6.22
273,-4.76
274,-3.09
275,-1.39
276,0.33
277,1.92
278,3.4
279,4.74
280,5.98
281,7.1
282,8.0
283,8.81
284,9.6
285,10.32
286,11.05
287,11.81
288,12.59
289,13.39
290,14.16
291,14.93
292,15.61
293,16.23
294,16.71
295,17.02
296,17.14
297,17.17
298,17.07
299,16.91
300,16.67
301,16.55
302,16.53
303,16.69
304,17.07
305,17.59
306,18.23
307,19.03
308,20.09
309,21.3
310,22.46
311,23.45
312,24.34
313,24.9
314,25.23
315,25.19
316,24.73
317,23.78
318,22.41
319,20.7
320,18.76
321,16.58
322,14.36
323,12.15
324,10.04
325,8.04
326,6.21
327,4.83
328,3.8
329,3.1
330,2.74
331,2.75
332,3.05
333,3.57
334,4.3
335,5.12
336,5.86
337,6.58
338,7.27
339,7.87
340,8.39
341,8.81
342,9.14
343,9.4
344,9.61
345,9.67
346,9.55
347,9.18
348,8.6
349,7.85
350,6.92
351,5.86
352,4.71
353,3.4
354,2.13
355,0.87
356,-0.3
357,-1.28
358,-2.15
359,-2.72
360,-3.0
361,-2.94
362,-2.64
363,-2.23
364,-1.66
365,-1.02
366,-0.45
367,0.47
368,1.59
369,2.93
370,4.48
371,6.38
372,8.64
373,11.25
374,14.23
375,17.63
376,21.22
377,24.98
378,28.87
379,32.2
380,35.0
381,37.29
382,39.03
383,40.1
384,40.42
385,39.9
386,38.63
387,36.54
388,34.3
389,31.92
390,29.38
391,26.84
392,24.39
393,22.35
394,20.63
395,19.16
396,17.99
397,17.11
398,16.41
399,15.84
400,15.18
401,14.37
402,13.1
403,11.37
404,9.15
405,6.49
406,3.49
407,0.32
408,-3.0
409,-6.19
410,-8.89
411,-11.0
412,-12.36
413,-12.87
414,-12.53
415,-11.31
416,-9.22
417,-6.26
418,-2.55
419,1.55
420,5.81
421,9.94
422,13.81
423,17.19
424,19.57
425,20.87
426,21.05
427,19.99
428,18.03
429,15.27
430,12.15
431,8.83
432,5.59
433,2.54
434,-0.16
435,-2.14
436,-3.21
437,-3.72
438,-3.37
439,-2.38
440,-1.05
441,0.62
442,2.62
443,4.79
444,6.51
445,7.89
446,8.99
447,9.5
448,9.33
449,8.85
450,7.9
451,6.76
452,5.34
453,4.03
454,2.62
455,1.1
456,-0.2
457,-1.31
458,-2.3
459,-3.22
460,-3.98
461,-4.47
462,-4.8
463,-5.11
464,-5.27
465,-5.59
466,-5.81
467,-6.01
