,0
0,7.94
1,8.14
2,7.94
3,7.34
4,6.42
5,5.12
6,3.65
7,2.08
8,0.4
9,-1.44
10,-3.56
11,-5.79
12,-8.08
13,-10.4
14,-12.58
15,-14.64
16,-16.6
17,-18.27
18,-19.39
19,-19.84
20,-19.88
21,-19.52
22,-18.64
23,-17.28
24,-15.47
25,-13.22
26,-10.54
27,-7.67
28,-4.77
29,-1.83
30,1.05
31,3.64
32,5.8
33,7.61
34,9.13
35,10.17
36,10.71
37,10.89
38,10.67
39,10.07
40,9.25
41,8.26
42,7.15
43,5.85
44,4.61
45,3.52
46,2.57
47,1.99
48,1.66
49,1.43
50,1.3
51,1.35
52,1.49
53,1.55
54,1.43
55,1.21
56,0.74
57,0.17
58,-0.58
59,-1.65
60,-2.92
61,-4.31
62,-5.77
63,-7.24
64,-8.64
65,-9.94
66,-10.97
67,-11.53
68,-11.41
69,-10.81
70,-9.83
71,-8.46
72,-6.68
73,-4.59
74,-2.22
75,0.14
76,2.25
77,4.13
78,5.62
79,6.75
80,7.36
81,7.4
82,6.79
83,5.48
84,3.63
85,1.41
86,-1.18
87,-3.96
88,-6.82
89,-9.44
90,-11.58
91,-13.3
92,-14.57
93,-15.3
94,-15.41
95,-15.05
96,-14.21
97,-12.91
98,-11.47
99,-10.02
100,-8.36
101,-6.54
102,-4.68
103,-2.9
104,-1.19
105,0.44
106,1.94
107,3.39
108,4.75
109,5.97
110,7.1
111,8.05
112,8.88
113,9.67
114,10.32
115,10.87
116,11.27
117,11.55
118,11.64
119,11.57
120,11.38
121,11.04
122,10.49
123,9.87
124,9.18
125,8.48
126,7.72
127,6.84
128,5.88
129,4.92
130,3.92
131,2.88
132,1.76
133,0.46
134,-0.96
135,-2.41
136,-3.83
137,-5.29
138,-6.78
139,-8.1
140,-9.23
141,-10.22
142,-10.91
143,-11.34
144,-11.56
145,-11.54
146,-11.31
147,-10.95
148,-10.6
149,-10.38
150,-10.19
151,-10.23
152,-10.48
153,-10.91
154,-11.54
155,-12.25
156,-13.03
157,-13.81
158,-14.54
159,-15.15
160,-15.51
161,-15.57
162,-15.39
163,-14.85
164,-14.13
165,-13.16
166,-11.9
167,-10.44
168,-8.95
169,-7.49
170,-6.02
171,-4.51
172,-2.98
173,-1.38
174,0.26
175,1.75
176,3.29
177,4.82
178,6.31
179,7.75
180,9.12
181,10.33
182,11.33
183,12.14
184,12.79
185,13.21
186,13.45
187,13.6
188,13.51
189,13.35
190,13.18
191,13.01
192,12.76
193,12.5
194,12.31
195,12.09
196,11.92
197,11.91
198,11.87
199,11.74
200,11.56
201,11.32
202,11.11
203,10.76
204,10.4
205,9.99
206,9.58
207,9.13
208,8.49
209,7.66
210,6.72
211,5.6
212,4.53
213,3.54
214,2.6
215,1.62
216,0.56
217,-0.38
218,-1.2
219,-1.79
220,-2.23
221,-2.48
222,-2.5
223,-2.25
224,-1.69
225,-0.76
226,0.42
227,1.88
228,3.4
229,4.99
230,6.65
231,8.23
232,9.79
233,11.06
234,12.03
235,12.72
236,13.05
237,13.06
238,12.8
239,12.22
240,11.43
241,10.39
242,9.24
243,8.0
244,6.68
245,5.34
246,4.06
247,2.88
248,1.84
249,0.85
250,-0.1
251,-0.99
252,-1.8
253,-2.49
254,-3.12
255,-3.7
256,-4.27
257,-4.86
258,-5.47
259,-6.02
260,-6.47
