,0
0,-34.45
1,-36.9
2,-38.88
3,-40.35
4,-41.19
5,-41.55
6,-41.44
7,-40.58
8,-38.96
9,-36.59
10,-34.23
11,-31.77
12,-29.2
13,-26.55
14,-23.67
15,-20.96
16,-18.56
17,-16.42
18,-14.39
19,-12.4
20,-10.59
21,-9.02
22,-7.66
23,-6.51
24,-5.18
25,-3.68
26,-1.92
27,0.03
28,2.01
29,3.96
30,5.89
31,7.61
32,9.08
33,10.35
34,11.43
35,12.12
36,12.35
37,12.22
38,11.73
39,10.87
40,9.79
41,8.4
42,6.61
43,4.46
44,2.16
45,-0.19
46,-2.64
47,-4.91
48,-7.02
49,-8.96
50,-10.56
51,-11.63
52,-12.34
53,-12.66
54,-12.56
55,-11.94
56,-11.05
57,-9.82
58,-8.27
59,-6.74
60,-5.21
61,-3.77
62,-2.55
63,-1.71
64,-1.16
65,-0.9
66,-0.88
67,-1.21
68,-1.55
69,-2.02
70,-2.51
71,-2.99
72,-3.47
73,-3.83
74,-4.04
75,-4.2
76,-4.33
77,-4.33
78,-4.31
79,-4.28
80,-4.28
81,-4.26
82,-4.42
83,-4.89
84,-5.58
85,-6.44
86,-7.55
87,-8.81
88,-10.08
89,-11.2
90,-12.05
91,-12.72
92,-13.1
93,-13.16
94,-12.89
95,-12.3
96,-11.38
97,-10.18
98,-8.94
99,-7.78
100,-6.5
101,-5.13
102,-3.76
103,-2.38
104,-1.18
105,-0.17
106,0.6
107,1.21
108,1.81
109,2.21
110,2.39
111,2.42
112,2.26
113,2.06
114,1.81
115,1.43
116,0.99
117,0.47
118,0.06
119,-0.16
120,-0.33
121,-0.35
122,-0.28
123,-0.02
124,0.48
125,1.09
126,1.68
127,2.18
128,2.53
129,2.88
130,3.02
131,2.91
132,2.55
133,1.91
134,1.21
135,0.44
136,-0.44
137,-1.39
138,-2.42
139,-3.31
140,-4.02
141,-4.64
142,-5.08
143,-5.43
144,-5.6
145,-5.65
146,-5.65
147,-5.63
148,-5.68
149,-5.82
150,-5.96
151,-6.26
152,-6.71
153,-7.24
154,-7.8
155,-8.29
156,-8.74
157,-9.21
158,-9.62
159,-9.91
160,-9.98
161,-9.85
162,-9.63
163,-9.29
164,-8.96
165,-8.54
166,-7.99
167,-7.42
168,-6.9
169,-6.42
170,-5.99
171,-5.52
172,-5.11
173,-4.81
174,-4.71
175,-4.89
176,-5.21
177,-5.75
178,-6.48
179,-7.39
180,-8.53
181,-9.84
182,-11.15
183,-12.51
184,-13.77
185,-14.67
186,-15.13
187,-15.16
188,-14.76
189,-13.94
190,-12.72
191,-11.11
192,-9.15
193,-6.92
194,-4.75
195,-2.76
196,-0.92
197,0.84
198,2.4
199,3.67
200,4.62
201,5.26
202,5.64
203,5.79
204,5.78
205,5.64
206,5.37
207,5.0
208,4.58
209,4.13
210,3.68
211,3.22
212,2.85
213,2.58
214,2.35
215,2.09
216,1.86
217,1.66
218,1.5
219,1.45
220,1.45
221,1.47
222,1.53
223,1.68
224,1.95
225,2.33
226,2.83
227,3.45
228,4.07
229,4.76
230,5.42
231,6.07
232,6.71
233,7.24
234,7.7
235,8.09
236,8.39
237,8.63
238,8.81
239,9.16
240,9.65
241,10.25
242,11.03
243,11.86
244,12.77
245,13.79
246,14.88
247,16.03
248,17.06
249,17.95
250,18.68
251,18.93
252,18.78
253,18.26
254,17.28
255,15.95
256,14.4
257,12.63
258,10.64
259,8.51
260,6.59
261,4.93
