,0
0,-1.0
1,-1.18
2,-1.34
3,-1.48
4,-1.59
5,-1.66
6,-1.69
7,-1.7
8,-1.67
9,-1.61
10,-1.52
11,-1.42
12,-1.28
13,-1.12
14,-0.95
15,-0.74
16,-0.52
17,-0.29
18,-0.06
19,0.18
20,0.4
21,0.6
22,0.77
23,0.93
24,1.07
25,1.19
26,1.31
27,1.42
28,1.53
29,1.62
30,1.72
31,1.82
32,1.91
33,2.01
34,2.11
35,2.23
36,2.33
37,2.43
38,2.54
39,2.64
40,2.73
41,2.79
42,2.82
43,2.81
44,2.77
45,2.67
46,2.53
47,2.35
48,2.17
49,1.97
50,1.77
51,1.55
52,1.36
53,1.17
54,1.02
55,0.93
56,0.87
57,0.85
58,0.88
59,0.93
60,1.02
61,1.12
62,1.25
63,1.4
64,1.57
65,1.75
66,1.92
67,2.07
68,2.23
69,2.34
70,2.43
71,2.45
72,2.41
73,2.32
74,2.18
75,1.99
76,1.72
77,1.39
78,1.01
79,0.59
80,0.17
81,-0.26
82,-0.7
83,-1.11
84,-1.49
85,-1.78
86,-1.99
87,-2.09
88,-2.11
89,-2.01
90,-1.8
91,-1.47
92,-1.07
93,-0.6
94,-0.09
95,0.44
96,0.95
97,1.43
98,1.83
99,2.14
100,2.38
101,2.53
102,2.61
103,2.58
104,2.46
105,2.26
106,2.03
107,1.76
108,1.47
109,1.13
110,0.76
111,0.38
112,-0.01
113,-0.37
114,-0.71
115,-1.0
116,-1.26
117,-1.45
118,-1.61
119,-1.72
120,-1.8
121,-1.82
122,-1.8
123,-1.71
124,-1.59
125,-1.41
126,-1.19
127,-0.93
128,-0.65
129,-0.37
130,-0.11
131,0.14
132,0.32
133,0.44
134,0.5
135,0.48
136,0.39
137,0.24
138,0.05
139,-0.16
140,-0.4
141,-0.64
142,-0.87
143,-1.09
144,-1.26
145,-1.37
146,-1.43
147,-1.44
148,-1.4
149,-1.32
150,-1.2
151,-1.05
152,-0.9
153,-0.74
154,-0.6
155,-0.47
156,-0.33
157,-0.22
158,-0.11
159,-0.01
160,0.09
161,0.2
162,0.31
163,0.44
164,0.58
165,0.75
166,0.96
167,1.18
168,1.4
169,1.64
170,1.91
171,2.21
172,2.5
173,2.77
174,3.05
175,3.3
176,3.54
177,3.75
178,3.93
179,4.06
180,4.14
181,4.21
182,4.24
183,4.22
184,4.13
185,3.98
186,3.79
187,3.57
188,3.32
189,3.05
190,2.8
191,2.58
192,2.39
193,2.24
194,2.14
195,2.09
196,2.15
197,2.27
198,2.44
199,2.65
200,2.87
201,3.09
202,3.32
203,3.54
204,3.72
205,3.82
206,3.88
207,3.87
208,3.77
209,3.62
210,3.41
211,3.16
212,2.91
213,2.65
214,2.39
215,2.13
216,1.9
217,1.69
218,1.49
219,1.34
220,1.23
221,1.17
222,1.14
223,1.12
224,1.11
225,1.08
226,1.05
227,1.03
228,1.0
229,0.93
230,0.83
231,0.71
232,0.57
233,0.38
234,0.18
235,-0.04
236,-0.27
237,-0.52
238,-0.78
239,-1.05
240,-1.31
241,-1.57
242,-1.79
243,-2.0
244,-2.18
245,-2.31
246,-2.38
247,-2.36
248,-2.29
249,-2.19
250,-2.04
251,-1.81
252,-1.5
253,-1.14
254,-0.75
255,-0.38
256,-0.06
257,0.24
258,0.51
259,0.74
260,0.92
261,1.05
262,1.1
263,1.11
264,1.07
265,0.97
266,0.83
267,0.68
268,0.55
269,0.39
270,0.22
271,0.07
272,-0.1
273,-0.3
274,-0.46
275,-0.59
276,-0.68
277,-0.77
278,-0.85
279,-0.93
280,-0.99
281,-0.98
282,-0.89
283,-0.76
284,-0.57
285,-0.34
286,-0.05
287,0.29
288,0.69
289,1.13
290,1.57
291,2.02
292,2.45
293,2.86
294,3.23
295,3.51
296,3.71
297,3.84
298,3.88
299,3.82
300,3.71
301,3.56
302,3.35
303,3.13
304,2.9
305,2.67
306,2.44
307,2.21
308,2.03
309,1.88
310,1.74
311,1.61
312,1.45
313,1.29
314,1.13
315,0.96
316,0.78
317,0.55
318,0.28
319,-0.04
320,-0.37
321,-0.69
322,-1.01
323,-1.32
324,-1.61
325,-1.89
326,-2.14
327,-2.33
328,-2.47
329,-2.56
330,-2.61
331,-2.58
332,-2.53
333,-2.43
334,-2.28
335,-2.11
336,-1.89
337,-1.62
338,-1.33
339,-1.03
340,-0.72
341,-0.41
342,-0.07
343,0.28
344,0.63
345,0.91
346,1.12
347,1.27
348,1.33
349,1.32
350,1.22
351,1.02
352,0.73
353,0.36
354,-0.05
355,-0.48
356,-0.9
357,-1.28
358,-1.63
359,-1.96
360,-2.22
361,-2.39
362,-2.47
363,-2.47
364,-2.4
365,-2.29
366,-2.16
367,-2.01
368,-1.84
369,-1.66
370,-1.5
371,-1.32
372,-1.15
373,-0.99
374,-0.83
375,-0.65
376,-0.45
377,-0.25
378,-0.04
379,0.17
380,0.37
381,0.58
382,0.78
383,0.97
384,1.13
385,1.25
386,1.34
387,1.38
388,1.39
389,1.36
390,1.27
391,1.13
392,0.96
393,0.79
394,0.6
395,0.4
396,0.22
397,0.05
398,-0.12
399,-0.24
400,-0.34
401,-0.43
402,-0.52
403,-0.61
404,-0.68
405,-0.77
406,-0.86
407,-0.99
408,-1.14
409,-1.29
410,-1.43
411,-1.56
412,-1.67
413,-1.79
414,-1.86
415,-1.9
416,-1.88
417,-1.83
418,-1.76
419,-1.65
420,-1.53
421,-1.38
422,-1.23
423,-1.06
424,-0.89
425,-0.75
426,-0.62
427,-0.52
428,-0.44
429,-0.37
430,-0.28
431,-0.19
432,-0.13
433,-0.09
434,-0.06
435,-0.06
436,-0.05
437,-0.04
438,-0.04
439,-0.08
440,-0.12
441,-0.16
442,-0.2
443,-0.26
444,-0.32
445,-0.4
446,-0.47
447,-0.54
448,-0.59
449,-0.61
450,-0.6
451,-0.55
452,-0.48
453,-0.37
454,-0.23
455,-0.07
456,0.12
457,0.34
458,0.57
459,0.79
460,1.0
461,1.2
462,1.38
463,1.53
464,1.68
465,1.8
466,1.9
467,1.97
