,0
0,-1.25
1,-0.93
2,-0.95
3,-1.23
4,-1.62
5,-2.14
6,-2.71
7,-3.21
8,-3.67
9,-4.09
10,-4.57
11,-4.94
12,-5.19
13,-5.33
14,-5.24
15,-5.15
16,-5.11
17,-5.06
18,-4.92
19,-4.62
20,-4.28
21,-3.95
22,-3.53
23,-3.01
24,-2.3
25,-1.43
26,-0.34
27,0.94
28,2.25
29,3.6
30,4.96
31,6.21
32,7.19
33,8.03
34,8.69
35,9.0
36,8.86
37,8.39
38,7.56
39,6.34
40,4.84
41,3.11
42,1.12
43,-1.09
44,-3.26
45,-5.38
46,-7.29
47,-8.81
48,-10.01
49,-10.91
50,-11.46
51,-11.54
52,-11.29
53,-10.87
54,-10.26
55,-9.46
56,-8.72
57,-7.93
58,-7.24
59,-6.74
60,-6.39
61,-6.27
62,-6.34
63,-6.64
64,-7.13
65,-7.72
66,-8.33
67,-8.83
68,-9.1
69,-9.24
70,-9.09
71,-8.7
72,-8.03
73,-7.08
74,-5.88
75,-4.54
76,-3.16
77,-1.83
78,-0.7
79,0.21
80,0.88
81,1.31
82,1.35
83,1.01
84,0.32
85,-0.55
86,-1.57
87,-2.64
88,-3.73
89,-4.64
90,-5.26
91,-5.57
92,-5.59
93,-5.29
94,-4.7
95,-3.92
96,-2.91
97,-1.76
98,-0.71
99,0.15
100,0.94
101,1.65
102,2.21
103,2.55
104,2.66
105,2.52
106,2.22
107,1.81
108,1.38
109,1.0
110,0.75
111,0.59
112,0.57
113,0.82
114,1.3
115,1.98
116,2.88
117,3.93
118,5.04
119,6.24
120,7.42
121,8.51
122,9.4
123,10.16
124,10.81
125,11.31
126,11.57
127,11.52
128,11.13
129,10.52
130,9.67
131,8.6
132,7.3
133,5.67
134,3.89
135,2.01
136,0.06
137,-1.97
138,-4.0
139,-5.87
140,-7.53
141,-9.03
142,-10.24
143,-11.21
144,-11.93
145,-12.4
146,-12.65
147,-12.72
148,-12.66
149,-12.54
150,-12.26
151,-12.01
152,-11.81
153,-11.6
154,-11.4
155,-11.12
156,-10.8
157,-10.47
158,-10.07
159,-9.64
160,-9.13
161,-8.52
162,-7.94
163,-7.28
164,-6.73
165,-6.19
166,-5.58
167,-5.06
168,-4.66
169,-4.33
170,-4.02
171,-3.6
172,-3.19
173,-2.74
174,-2.28
175,-1.98
176,-1.68
177,-1.42
178,-1.21
179,-1.07
180,-1.11
181,-1.29
182,-1.63
183,-2.14
184,-2.5
185,-2.8
186,-3.0
187,-3.08
188,-3.02
189,-2.74
190,-2.19
191,-1.34
192,-0.31
193,0.71
194,1.76
195,2.79
196,3.85
197,4.95
198,5.91
199,6.65
200,7.18
201,7.55
202,7.75
203,7.71
204,7.56
205,7.3
206,6.95
207,6.57
208,6.02
209,5.37
210,4.64
211,3.88
212,3.17
213,2.55
214,1.91
215,1.19
216,0.37
217,-0.39
218,-1.16
219,-1.93
220,-2.76
221,-3.62
222,-4.45
223,-5.24
224,-5.9
225,-6.41
226,-6.74
227,-6.87
228,-6.9
229,-6.81
230,-6.6
231,-6.18
232,-5.48
233,-4.66
234,-3.72
235,-2.67
236,-1.64
237,-0.53
238,0.65
239,1.89
240,3.06
241,4.12
242,5.13
243,6.08
244,6.98
245,7.88
246,8.72
247,9.51
248,10.26
249,10.89
250,11.34
251,11.49
252,11.41
253,11.17
254,10.64
255,9.88
256,8.93
257,7.74
258,6.34
259,4.77
260,3.21
261,1.67
262,0.1
263,-1.26
264,-2.41
265,-3.36
266,-4.05
267,-4.42
268,-4.37
269,-3.91
270,-3.2
271,-2.27
272,-1.19
273,0.1
274,1.55
275,3.07
276,4.66
277,6.16
278,7.5
279,8.75
280,9.82
281,10.67
282,11.29
283,11.68
284,11.91
285,11.89
286,11.66
287,11.33
288,10.89
289,10.44
290,9.94
291,9.33
292,8.63
293,7.84
294,7.07
295,6.26
296,5.43
297,4.71
298,4.13
299,3.72
300,3.52
301,3.46
302,3.53
303,3.72
304,4.15
305,4.74
306,5.43
307,6.27
308,7.11
309,7.84
310,8.49
311,9.07
312,9.54
313,9.92
314,10.18
315,10.21
316,9.95
317,9.69
318,9.46
319,9.29
320,9.16
321,9.02
322,8.92
323,8.89
324,8.95
325,9.04
326,9.06
327,9.09
328,9.17
329,9.24
330,9.24
331,9.18
332,9.05
333,8.82
334,8.5
335,8.13
336,7.67
337,7.13
338,6.65
339,6.25
340,5.85
341,5.4
342,4.92
343,4.43
344,3.99
345,3.6
346,3.2
347,2.71
348,2.23
349,1.88
350,1.63
351,1.47
352,1.53
353,1.65
354,1.82
355,2.04
356,2.32
357,2.71
358,3.07
359,3.39
360,3.71
361,3.9
362,4.0
363,3.91
364,3.54
365,2.95
366,2.11
367,1.1
368,-0.08
369,-1.43
370,-2.81
371,-4.11
372,-5.35
373,-6.41
374,-7.35
375,-8.13
376,-8.76
377,-9.19
378,-9.32
379,-9.27
380,-9.11
381,-8.75
382,-8.15
383,-7.33
384,-6.41
385,-5.47
386,-4.42
387,-3.31
388,-2.21
389,-1.14
390,-0.11
391,0.86
392,1.78
393,2.69
394,3.49
395,4.09
396,4.51
397,4.76
398,4.82
399,4.69
400,4.36
401,3.75
402,2.86
403,1.86
404,0.75
405,-0.49
406,-1.79
407,-3.04
408,-4.21
409,-5.19
410,-5.9
411,-6.31
412,-6.45
413,-6.26
414,-5.77
415,-4.97
416,-3.93
417,-2.75
418,-1.46
419,-0.13
420,1.19
421,2.39
422,3.46
423,4.34
424,4.98
425,5.4
426,5.76
427,5.9
428,5.93
429,5.9
430,5.9
431,6.0
432,6.24
433,6.65
434,7.14
435,7.81
436,8.71
437,9.73
438,10.88
439,12.03
440,13.09
441,14.07
442,14.95
443,15.74
444,16.28
445,16.59
446,16.65
447,16.46
448,16.1
449,15.5
450,14.66
451,13.66
452,12.51
453,11.3
454,9.96
455,8.61
456,7.24
457,5.79
458,4.41
459,3.14
460,1.99
461,1.03
462,0.18
463,-0.48
464,-0.98
465,-1.37
466,-1.54
467,-1.59
