,0
0,-4.14
1,-1.72
2,0.26
3,1.77
4,2.96
5,3.55
6,3.55
7,3.32
8,2.84
9,1.99
10,0.6
11,-1.02
12,-2.64
13,-4.19
14,-5.41
15,-6.52
16,-7.68
17,-8.7
18,-9.25
19,-9.13
20,-8.55
21,-7.76
22,-6.64
23,-5.09
24,-3.05
25,-0.6
26,2.23
27,5.32
28,8.39
29,11.29
30,14.08
31,16.41
32,17.94
33,18.88
34,19.26
35,18.71
36,17.18
37,14.88
38,11.88
39,8.28
40,4.31
41,0.11
42,-4.42
43,-9.13
44,-13.51
45,-17.49
46,-20.96
47,-23.73
48,-25.97
49,-27.61
50,-28.56
51,-28.77
52,-28.49
53,-27.88
54,-26.95
55,-25.72
56,-24.43
57,-23.0
58,-21.47
59,-20.06
60,-18.68
61,-17.44
62,-16.37
63,-15.53
64,-14.91
65,-14.43
66,-13.9
67,-13.42
68,-12.73
69,-11.96
70,-11.03
71,-9.89
72,-8.6
73,-7.11
74,-5.47
75,-3.84
76,-2.21
77,-0.63
78,0.7
79,1.84
80,2.61
81,3.14
82,3.26
83,2.94
84,2.24
85,1.18
86,-0.23
87,-1.81
88,-3.47
89,-5.02
90,-6.34
91,-7.52
92,-8.47
93,-9.18
94,-9.57
95,-9.79
96,-9.83
97,-9.63
98,-9.39
99,-9.16
100,-8.77
101,-8.16
102,-7.4
103,-6.5
104,-5.48
105,-4.33
106,-3.19
107,-1.99
108,-0.64
109,0.81
110,2.3
111,3.76
112,5.14
113,6.52
114,7.83
115,9.01
116,10.03
117,10.76
118,11.25
119,11.54
120,11.61
121,11.45
122,11.02
123,10.37
124,9.63
125,8.82
126,7.89
127,6.78
128,5.6
129,4.52
130,3.39
131,2.22
132,0.97
133,-0.45
134,-1.97
135,-3.48
136,-5.06
137,-6.77
138,-8.63
139,-10.46
140,-12.22
141,-13.93
142,-15.42
143,-16.72
144,-17.76
145,-18.48
146,-18.85
147,-18.93
148,-18.75
149,-18.38
150,-17.71
151,-16.89
152,-15.97
153,-14.92
154,-13.78
155,-12.62
156,-11.54
157,-10.55
158,-9.6
159,-8.75
160,-7.93
161,-7.13
162,-6.44
163,-5.85
164,-5.46
165,-5.14
166,-4.81
167,-4.57
168,-4.41
169,-4.31
170,-4.23
171,-4.06
172,-3.79
173,-3.35
174,-2.82
175,-2.29
176,-1.6
177,-0.77
178,0.21
179,1.32
180,2.43
181,3.52
182,4.54
183,5.52
184,6.58
185,7.59
186,8.56
187,9.47
188,10.28
189,11.04
190,11.7
191,12.27
192,12.73
193,12.98
194,13.16
195,13.14
196,12.96
197,12.67
198,12.18
199,11.6
200,10.96
201,10.26
202,9.61
203,8.85
204,8.16
205,7.59
206,7.14
207,6.86
208,6.51
209,6.12
210,5.72
211,5.27
212,4.9
213,4.55
214,3.99
215,3.18
216,2.11
217,0.93
218,-0.36
219,-1.72
220,-3.21
221,-4.8
222,-6.31
223,-7.62
224,-8.61
225,-9.23
226,-9.38
227,-9.04
228,-8.31
229,-7.22
230,-5.73
231,-3.88
232,-1.64
233,0.81
234,3.39
235,5.99
236,8.48
237,10.86
238,13.18
239,15.27
240,17.05
241,18.53
242,19.78
