,0
0,0.02
1,-0.09
2,-0.24
3,-0.44
4,-0.66
5,-0.89
6,-1.1
7,-1.29
8,-1.47
9,-1.63
10,-1.74
11,-1.88
12,-2.02
13,-2.2
14,-2.4
15,-2.6
16,-2.82
17,-3.06
18,-3.28
19,-3.48
20,-3.62
21,-3.72
22,-3.76
23,-3.71
24,-3.62
25,-3.4
26,-3.05
27,-2.61
28,-2.14
29,-1.64
30,-1.07
31,-0.46
32,0.13
33,0.69
34,1.22
35,1.68
36,2.06
37,2.42
38,2.72
39,2.95
40,3.13
41,3.26
42,3.39
43,3.47
44,3.5
45,3.48
46,3.42
47,3.36
48,3.31
49,3.23
50,3.12
51,2.97
52,2.78
53,2.51
54,2.18
55,1.84
56,1.42
57,0.96
58,0.49
59,-0.01
60,-0.54
61,-1.09
62,-1.63
63,-2.17
64,-2.68
65,-3.14
66,-3.58
67,-3.98
68,-4.3
69,-4.57
70,-4.78
71,-4.94
72,-5.06
73,-5.07
74,-4.94
75,-4.69
76,-4.39
77,-4.11
78,-3.84
79,-3.59
80,-3.37
81,-3.17
82,-3.08
83,-3.13
84,-3.26
85,-3.4
86,-3.53
87,-3.68
88,-3.81
89,-3.9
90,-3.89
91,-3.73
92,-3.43
93,-3.01
94,-2.49
95,-1.89
96,-1.22
97,-0.51
98,0.21
99,0.9
100,1.52
101,2.04
102,2.45
103,2.68
104,2.79
105,2.77
106,2.66
107,2.49
108,2.24
109,1.94
110,1.57
111,1.18
112,0.81
113,0.5
114,0.24
115,0.06
116,-0.03
117,-0.06
118,-0.06
119,-0.0
120,0.08
121,0.17
122,0.32
123,0.51
124,0.72
125,0.93
126,1.14
127,1.34
128,1.52
129,1.69
130,1.83
131,1.87
132,1.82
133,1.67
134,1.42
135,1.09
136,0.64
137,0.12
138,-0.47
139,-1.06
140,-1.65
141,-2.23
142,-2.76
143,-3.22
144,-3.61
145,-3.85
146,-3.99
147,-4.0
148,-3.92
149,-3.77
150,-3.54
151,-3.3
152,-3.06
153,-2.86
154,-2.71
155,-2.59
156,-2.53
157,-2.56
158,-2.67
159,-2.87
160,-3.11
161,-3.39
162,-3.71
163,-4.01
164,-4.31
165,-4.54
166,-4.68
167,-4.73
168,-4.71
169,-4.61
170,-4.4
171,-4.04
172,-3.57
173,-3.01
174,-2.38
175,-1.74
176,-1.05
177,-0.34
178,0.38
179,1.06
180,1.68
181,2.24
182,2.74
183,3.18
184,3.55
185,3.84
186,4.05
187,4.21
188,4.33
189,4.43
190,4.51
191,4.59
192,4.63
193,4.67
194,4.71
195,4.75
196,4.79
197,4.84
198,4.9
199,4.92
200,4.94
201,4.95
202,4.94
203,4.89
204,4.85
205,4.79
206,4.72
207,4.63
208,4.49
209,4.32
210,4.09
211,3.86
212,3.62
213,3.4
214,3.16
215,2.92
216,2.64
217,2.38
218,2.12
219,1.88
220,1.65
221,1.44
222,1.25
223,1.09
224,0.94
225,0.79
226,0.64
227,0.51
228,0.36
229,0.18
230,-0.03
231,-0.29
232,-0.57
233,-0.9
234,-1.26
235,-1.64
236,-2.05
237,-2.45
238,-2.83
239,-3.2
240,-3.51
241,-3.76
242,-3.92
243,-4.0
244,-4.01
245,-3.95
246,-3.84
247,-3.66
248,-3.42
249,-3.19
250,-2.97
251,-2.76
252,-2.56
253,-2.35
254,-2.13
255,-1.93
256,-1.75
257,-1.59
258,-1.43
259,-1.27
260,-1.1
261,-0.95
262,-0.82
263,-0.72
264,-0.65
265,-0.6
266,-0.55
267,-0.48
268,-0.39
269,-0.29
270,-0.19
271,-0.08
272,0.06
273,0.23
274,0.46
275,0.72
276,1.01
277,1.31
278,1.63
279,1.95
280,2.29
281,2.64
282,2.94
283,3.21
284,3.44
285,3.65
286,3.79
287,3.89
288,3.95
289,3.97
290,3.95
291,3.9
292,3.8
293,3.69
294,3.55
295,3.4
296,3.26
297,3.13
298,3.03
299,2.95
300,2.91
301,2.92
302,2.92
303,2.95
304,2.99
305,2.98
306,2.93
307,2.83
308,2.73
309,2.6
310,2.42
311,2.2
312,1.93
313,1.61
314,1.29
315,0.95
316,0.58
317,0.17
318,-0.28
319,-0.74
320,-1.23
321,-1.74
322,-2.25
323,-2.75
324,-3.21
325,-3.63
326,-3.97
327,-4.23
328,-4.41
329,-4.48
330,-4.45
331,-4.29
332,-4.02
333,-3.65
334,-3.21
335,-2.72
336,-2.2
337,-1.65
338,-1.1
339,-0.55
340,-0.04
341,0.44
342,0.88
343,1.27
344,1.59
345,1.83
346,1.98
347,2.04
348,2.06
349,2.03
350,1.94
