,0
0,-16.88
1,-14.76
2,-13.12
3,-11.79
4,-10.62
5,-9.87
6,-9.53
7,-9.2
8,-8.96
9,-9.05
10,-9.56
11,-10.11
12,-10.54
13,-10.71
14,-10.61
15,-10.44
16,-10.24
17,-10.04
18,-9.63
19,-8.77
20,-7.56
21,-6.17
22,-4.54
23,-2.71
24,-0.6
25,1.83
26,4.85
27,8.4
28,12.24
29,16.2
30,20.24
31,24.11
32,27.65
33,30.79
34,33.27
35,34.85
36,35.46
37,35.18
38,34.02
39,31.97
40,29.18
41,25.64
42,21.43
43,16.91
44,12.37
45,7.65
46,3.04
47,-1.18
48,-5.05
49,-8.66
50,-11.72
51,-14.03
52,-15.99
53,-17.65
54,-19.05
55,-20.3
56,-21.64
57,-22.74
58,-23.59
59,-24.34
60,-25.09
61,-25.91
62,-26.93
63,-28.05
64,-29.12
65,-30.16
66,-31.13
67,-32.05
68,-32.53
69,-32.61
70,-32.19
71,-31.26
72,-29.86
73,-28.05
74,-25.8
75,-23.24
76,-20.37
77,-17.36
78,-14.5
79,-11.78
80,-9.41
81,-7.26
82,-5.52
83,-4.19
84,-3.2
85,-2.62
86,-2.51
87,-2.71
88,-3.1
89,-3.49
90,-3.66
91,-3.69
92,-3.61
93,-3.44
94,-2.97
95,-2.46
96,-1.91
97,-1.22
98,-0.55
99,-0.04
100,0.57
101,1.34
102,2.1
103,2.68
104,3.24
105,3.93
106,4.59
107,5.23
108,6.05
109,7.07
110,8.26
111,9.57
112,11.07
113,12.81
114,14.66
115,16.55
116,18.46
117,20.11
118,21.47
119,22.57
120,23.38
121,23.87
122,23.8
123,23.22
124,22.27
125,21.07
126,19.62
127,18.03
128,16.26
129,14.41
130,12.41
131,10.57
132,8.72
133,6.74
134,4.84
135,3.05
136,1.25
137,-0.44
138,-2.01
139,-3.38
140,-4.6
141,-5.62
142,-6.18
143,-6.37
144,-6.09
145,-5.43
146,-4.45
147,-3.2
148,-1.8
149,-0.44
150,0.96
151,2.18
152,3.18
153,3.87
154,4.14
155,3.81
156,2.83
157,1.2
158,-0.96
159,-3.61
160,-6.54
161,-9.64
162,-12.93
163,-16.32
164,-19.78
165,-23.01
166,-25.86
167,-28.11
168,-29.85
169,-31.07
170,-31.83
171,-31.93
172,-31.36
173,-29.97
174,-28.12
175,-25.95
176,-23.47
177,-20.76
178,-17.92
179,-15.1
180,-12.45
181,-10.17
182,-8.3
183,-6.87
184,-5.78
185,-5.28
186,-5.24
187,-5.7
188,-6.56
189,-7.76
190,-9.25
191,-10.86
192,-12.37
193,-13.7
194,-14.7
195,-15.46
196,-15.91
197,-15.93
198,-15.68
199,-15.01
200,-14.02
201,-12.9
202,-11.57
203,-10.17
204,-8.75
205,-7.4
206,-6.27
207,-5.34
208,-4.85
209,-4.77
210,-5.15
211,-6.0
212,-7.29
213,-8.85
214,-10.68
215,-12.76
216,-15.01
217,-17.11
218,-19.1
219,-20.92
220,-22.61
221,-24.15
222,-25.33
223,-26.08
224,-26.22
225,-25.88
226,-25.02
227,-23.67
228,-21.95
229,-19.92
230,-17.46
231,-14.79
232,-11.91
233,-8.97
234,-5.95
235,-2.88
236,0.12
237,3.17
238,6.27
239,9.23
240,12.07
241,14.81
242,17.47
243,20.0
244,22.27
245,24.38
246,26.15
247,27.49
248,28.62
249,29.44
250,29.87
251,29.8
252,29.3
253,28.4
254,27.08
255,25.52
256,23.75
257,21.75
258,19.61
259,17.24
260,14.77
261,12.36
262,9.88
263,7.46
264,5.11
265,2.88
266,0.76
267,-1.32
268,-3.21
269,-4.89
270,-6.36
271,-7.53
272,-8.48
273,-9.1
274,-9.34
275,-9.27
276,-8.77
277,-7.94
278,-6.85
279,-5.57
280,-4.17
281,-2.59
282,-1.01
283,0.35
284,1.45
285,2.32
286,2.97
287,3.43
288,3.62
289,3.57
290,3.19
291,2.43
292,1.51
293,0.43
294,-0.77
295,-2.07
296,-3.49
297,-4.94
298,-6.31
299,-7.61
300,-8.75
301,-9.78
302,-10.72
303,-11.54
304,-12.04
305,-12.17
306,-12.05
307,-11.7
308,-11.05
309,-10.17
310,-9.07
311,-7.71
312,-6.19
313,-4.65
314,-3.07
315,-1.5
316,-0.02
317,1.38
318,2.75
319,4.13
320,5.49
321,6.88
322,8.23
323,9.51
324,10.8
325,12.13
326,13.44
327,14.84
328,16.36
329,18.04
330,19.76
331,21.43
332,23.08
333,24.74
334,26.29
335,27.74
336,28.96
337,29.79
338,30.15
339,30.06
340,29.62
341,28.75
342,27.5
343,26.04
344,24.36
345,22.42
346,20.44
347,18.4
348,16.48
349,14.86
350,13.57
351,12.52
352,11.72
353,11.2
354,10.78
355,10.34
356,9.99
357,9.62
358,9.1
359,8.51
360,7.79
361,6.89
362,5.7
363,4.34
364,2.83
365,1.12
366,-0.56
367,-2.21
368,-3.9
369,-5.54
370,-7.12
371,-8.5
372,-9.63
373,-10.62
374,-11.42
375,-12.24
376,-13.06
377,-13.74
378,-14.29
379,-14.7
380,-15.04
381,-15.2
382,-14.97
383,-14.39
384,-13.46
385,-12.25
386,-10.71
387,-8.88
