,0
0,7.31
1,8.0
2,8.17
3,7.84
4,7.06
5,5.93
6,4.62
7,3.28
8,1.9
9,0.63
10,-0.47
11,-1.4
12,-1.99
13,-2.2
14,-1.96
15,-1.26
16,-0.39
17,0.65
18,1.9
19,3.35
20,4.92
21,6.33
22,7.62
23,8.92
24,10.04
25,11.04
26,11.96
27,12.7
28,13.17
29,13.42
30,13.59
31,13.66
32,13.48
33,13.25
34,13.12
35,12.98
36,12.78
37,12.62
38,12.59
39,12.61
40,12.73
41,12.93
42,13.15
43,13.17
44,13.0
45,12.6
46,11.95
47,11.09
48,10.04
49,8.71
50,7.05
51,5.09
52,2.87
53,0.46
54,-2.06
55,-4.47
56,-6.92
57,-9.28
58,-11.43
59,-13.44
60,-15.15
61,-16.54
62,-17.55
63,-18.19
64,-18.47
65,-18.38
66,-17.87
67,-16.98
68,-15.65
69,-14.14
70,-12.44
71,-10.66
72,-8.84
73,-6.87
74,-4.81
75,-2.92
76,-1.32
77,-0.07
78,0.78
79,1.22
80,1.25
81,0.99
82,0.21
83,-0.89
84,-2.07
85,-3.21
86,-4.35
87,-5.36
88,-6.11
89,-6.4
90,-6.15
91,-5.25
92,-3.9
93,-2.11
94,0.17
95,2.71
96,5.41
97,8.09
98,10.58
99,12.66
100,14.37
101,15.65
102,16.44
103,16.57
104,16.38
105,15.85
106,15.15
107,14.27
108,13.29
109,12.25
110,11.45
111,10.81
112,10.19
113,9.68
114,9.28
115,9.07
116,9.1
117,9.37
118,9.6
119,9.6
120,9.42
121,9.27
122,8.99
123,8.77
124,8.4
125,7.87
126,7.31
127,6.76
128,6.25
129,5.73
130,5.19
131,4.67
132,4.03
133,3.3
134,2.55
135,1.6
136,0.57
137,-0.64
138,-1.91
139,-3.1
140,-4.26
141,-5.41
142,-6.44
143,-7.31
144,-7.96
145,-8.38
146,-8.53
147,-8.45
148,-8.22
149,-7.9
150,-7.43
151,-6.9
152,-6.4
153,-5.91
154,-5.42
155,-4.97
156,-4.6
157,-4.32
158,-4.12
