,0
0,6.94
1,7.21
2,7.14
3,6.77
4,6.16
5,5.24
6,4.21
7,3.05
8,1.81
9,0.48
10,-1.01
11,-2.53
12,-4.06
13,-5.56
14,-6.94
15,-8.17
16,-9.26
17,-10.13
18,-10.68
19,-10.79
20,-10.63
21,-10.18
22,-9.4
23,-8.33
24,-7.01
25,-5.45
26,-3.64
27,-1.73
28,0.15
29,2.0
30,3.75
31,5.26
32,6.47
33,7.41
34,8.11
35,8.46
36,8.46
37,8.18
38,7.61
39,6.78
40,5.79
41,4.68
42,3.48
43,2.15
44,0.83
45,-0.4
46,-1.48
47,-2.32
48,-2.98
49,-3.49
50,-3.85
51,-4.02
52,-4.05
53,-4.05
54,-4.09
55,-4.1
56,-4.16
57,-4.16
58,-4.22
59,-4.42
60,-4.68
61,-4.98
62,-5.27
63,-5.55
64,-5.79
65,-6.0
66,-6.13
67,-6.03
68,-5.63
69,-5.07
70,-4.36
71,-3.52
72,-2.51
73,-1.4
74,-0.19
75,1.0
76,2.01
77,2.88
78,3.55
79,4.03
80,4.24
81,4.17
82,3.8
83,3.09
84,2.11
85,0.99
86,-0.25
87,-1.54
88,-2.81
89,-3.92
90,-4.74
91,-5.34
92,-5.7
93,-5.77
94,-5.53
95,-5.09
96,-4.42
97,-3.55
98,-2.65
99,-1.8
100,-0.88
101,0.08
102,1.03
103,1.88
104,2.65
105,3.33
106,3.92
107,4.48
108,4.94
109,5.26
110,5.48
111,5.57
112,5.55
113,5.48
114,5.31
115,5.07
116,4.75
117,4.39
118,3.97
119,3.5
120,3.02
121,2.57
122,2.13
123,1.74
124,1.44
125,1.24
126,1.09
127,0.93
128,0.79
129,0.68
130,0.56
131,0.41
132,0.23
133,-0.1
134,-0.55
135,-1.06
136,-1.58
137,-2.15
138,-2.78
139,-3.39
140,-3.93
141,-4.47
142,-4.87
143,-5.16
144,-5.35
145,-5.42
146,-5.42
147,-5.33
148,-5.23
149,-5.18
150,-5.14
151,-5.23
152,-5.44
153,-5.72
154,-6.11
155,-6.5
156,-6.92
157,-7.35
158,-7.74
159,-8.06
160,-8.24
161,-8.26
162,-8.14
163,-7.82
164,-7.39
165,-6.83
166,-6.1
167,-5.29
168,-4.45
169,-3.6
170,-2.73
171,-1.83
172,-0.92
173,0.05
174,1.07
175,2.02
176,2.99
177,3.94
178,4.84
179,5.72
180,6.52
181,7.2
182,7.72
183,8.08
184,8.27
185,8.28
186,8.13
187,7.88
188,7.5
189,7.08
190,6.65
191,6.25
192,5.81
193,5.44
194,5.2
195,5.02
196,4.93
197,4.94
198,4.98
199,4.99
200,4.97
201,4.92
202,4.88
203,4.74
204,4.58
205,4.35
206,4.09
207,3.78
208,3.34
209,2.8
210,2.18
211,1.48
212,0.82
213,0.22
214,-0.32
215,-0.82
216,-1.35
217,-1.77
218,-2.12
219,-2.31
220,-2.39
221,-2.38
222,-2.25
223,-2.0
224,-1.61
225,-1.03
226,-0.31
227,0.54
228,1.4
229,2.3
230,3.22
231,4.09
232,4.91
233,5.59
234,6.14
235,6.57
236,6.86
237,7.05
238,7.14
239,7.08
240,6.95
241,6.73
242,6.48
243,6.21
244,5.92
245,5.63
246,5.34
247,5.02
248,4.7
249,4.33
250,3.9
251,3.44
252,2.95
253,2.42
254,1.83
255,1.19
256,0.54
257,-0.12
258,-0.8
259,-1.45
260,-2.07
261,-2.6
262,-3.05
263,-3.35
264,-3.55
265,-3.67
266,-3.7
267,-3.64
268,-3.49
269,-3.27
270,-3.02
271,-2.78
272,-2.6
273,-2.43
274,-2.23
275,-2.03
276,-1.8
277,-1.54
278,-1.29
279,-1.02
280,-0.68
281,-0.26
282,0.19
283,0.62
284,1.05
285,1.47
286,1.87
287,2.3
288,2.75
289,3.16
290,3.54
291,3.86
292,4.15
293,4.4
