,0
0,3.58
1,3.39
2,3.15
3,2.86
4,2.54
5,2.19
6,1.83
7,1.45
8,1.1
9,0.82
10,0.6
11,0.47
12,0.42
13,0.47
14,0.59
15,0.78
16,1.0
17,1.24
18,1.48
19,1.67
20,1.82
21,1.94
22,1.94
23,1.84
24,1.69
25,1.49
26,1.24
27,0.98
28,0.75
29,0.56
30,0.41
31,0.33
32,0.3
33,0.29
34,0.33
35,0.41
36,0.52
37,0.65
38,0.78
39,0.92
40,1.07
41,1.25
42,1.42
43,1.56
44,1.67
45,1.74
46,1.73
47,1.71
48,1.65
49,1.54
50,1.4
51,1.25
52,1.11
53,1.0
54,0.9
55,0.81
56,0.75
57,0.72
58,0.72
59,0.75
60,0.83
61,0.93
62,1.04
63,1.16
64,1.31
65,1.43
66,1.6
67,1.83
68,2.09
69,2.35
70,2.61
71,2.86
72,3.12
73,3.39
74,3.68
75,3.94
76,4.13
77,4.29
78,4.38
79,4.43
80,4.42
81,4.33
82,4.13
83,3.81
84,3.37
85,2.82
86,2.13
87,1.34
88,0.47
89,-0.41
90,-1.28
91,-2.09
92,-2.88
93,-3.58
94,-4.14
95,-4.58
96,-4.87
97,-5.01
98,-5.02
99,-4.96
100,-4.83
101,-4.61
102,-4.29
103,-3.96
104,-3.55
105,-3.11
106,-2.66
107,-2.22
108,-1.75
109,-1.23
110,-0.7
111,-0.19
112,0.31
113,0.79
114,1.21
115,1.57
116,1.89
117,2.19
118,2.41
119,2.56
120,2.64
121,2.64
122,2.54
123,2.39
124,2.2
125,2.01
126,1.83
127,1.7
128,1.62
129,1.59
130,1.61
131,1.69
132,1.82
133,1.97
134,2.15
135,2.32
136,2.45
137,2.54
138,2.59
139,2.58
140,2.5
141,2.38
142,2.21
143,1.96
144,1.67
145,1.34
146,1.0
147,0.63
148,0.27
149,-0.09
150,-0.44
151,-0.81
152,-1.16
153,-1.51
154,-1.87
155,-2.22
156,-2.51
157,-2.71
158,-2.8
159,-2.77
160,-2.62
161,-2.31
162,-1.88
163,-1.28
164,-0.61
165,0.11
166,0.89
167,1.68
168,2.45
169,3.18
170,3.8
171,4.29
172,4.69
173,5.03
174,5.3
175,5.45
176,5.52
177,5.53
178,5.52
179,5.5
180,5.47
181,5.41
182,5.3
183,5.15
184,5.05
185,4.94
186,4.83
187,4.68
188,4.5
189,4.34
190,4.14
191,3.94
192,3.71
193,3.42
194,3.11
195,2.81
196,2.52
197,2.22
