,0
0,-5
1,3
2,4
3,1
4,-1
5,-3
6,-3
7,-1
8,-4
9,1
10,-3
11,-2
12,-1
13,0
14,6
15,7
16,8
17,-1
18,-4
19,-5
20,-4
21,2
22,-4
23,-7
24,-7
25,-8
26,-3
27,-3
28,-7
29,-9
30,-10
31,1
32,5
33,7
34,9
35,2
36,-1
37,-3
38,-6
39,-8
40,-2
41,-3
42,-5
43,-5
44,-6
45,1
46,7
47,10
48,8
49,5
50,-5
51,-5
52,-5
53,-4
54,10
55,6
56,6
57,2
58,1
59,0
60,-2
61,-1
62,-5
63,-5
64,-4
65,-5
66,-6
67,-2
68,2
69,-1
70,-1
71,-4
72,-5
73,-7
74,-5
75,0
76,-4
77,2
78,2
79,3
80,1
81,-4
82,-8
83,-7
84,-5
85,-1
86,8
87,3
88,8
89,2
90,-3
91,-1
92,-1
93,0
94,2
95,2
96,5
97,5
98,4
99,8
100,0
101,3
102,4
103,-3
104,-1
105,-8
106,-14
107,-14
108,-12
109,-7
110,-3
111,-2
112,-3
113,3
114,7
115,5
116,0
117,-2
118,-6
119,-3
120,3
121,4
122,7
123,6
124,2
125,-2
126,-5
127,-4
128,-1
129,0
130,4
131,8
132,8
133,7
134,1
135,-6
136,-4
137,0
138,5
139,8
140,4
141,5
142,5
143,5
144,6
145,0
146,2
147,0
148,3
149,6
150,2
151,1
152,-1
153,-6
154,-8
155,-6
156,-8
157,-5
158,-7
159,-9
160,-8
161,-8
162,-3
163,-2
164,-2
165,2
166,4
167,7
168,8
169,-3
170,-3
171,-22
172,-24
173,-20
174,-22
175,-7
176,-4
177,-4
178,-5
179,-3
180,-2
181,-2
182,-1
183,3
184,5
185,7
186,8
187,1
188,-3
189,-4
190,-4
191,2
192,1
193,3
194,2
195,2
196,5
197,4
198,8
199,8
200,6
201,4
202,3
203,-2
204,-1
205,-5
206,-12
207,-10
208,-5
209,0
210,5
211,15
212,14
213,13
214,16
215,3
216,-1
217,-3
218,-7
219,-2
220,-1
221,1
222,2
223,-1
224,3
225,3
226,4
227,2
228,-4
229,-5
230,-3
231,-1
232,2
233,5
234,2
235,-1
236,0
237,-4
238,-1
239,4
240,-1
241,3
242,-1
243,-4
244,0
245,-1
246,1
247,4
248,-3
249,-1
250,2
251,-1
252,4
253,4
254,1
255,2
256,0
257,-1
258,3
259,6
260,6
261,5
262,3
263,2
264,1
265,3
266,5
267,6
268,4
269,1
270,0
271,-4
272,-1
273,-1
274,-2
275,0
276,0
277,-2
278,-5
279,-8
280,-7
281,-5
282,-10
283,-7
284,-7
285,-7
286,4
287,7
288,7
289,7
290,4
291,-2
292,-5
293,-6
294,-4
295,-1
296,7
297,10
298,9
299,12
300,2
301,3
302,3
303,0
304,3
305,3
306,2
307,3
308,2
309,2
310,0
311,-1
312,-1
313,-4
314,-3
315,0
316,1
317,2
318,2
319,0
320,0
321,0
322,0
323,-3
324,-5
325,-2
326,0
327,1
328,2
329,-7
330,-11
331,-7
332,-7
333,-1
334,2
335,-2
336,-3
337,1
338,0
339,4
340,7
341,7
342,8
343,4
344,1
345,6
346,12
347,13
348,14
349,9
350,5
351,4
352,4
353,-2
354,1
355,5
356,10
357,15
358,9
359,8
360,4
361,1
362,0
363,-3
364,-2
365,-1
366,2
367,1
368,0
369,2
370,-1
371,1
372,-1
373,-1
374,2
375,4
376,5
377,7
378,4
379,3
380,5
381,2
382,0
383,0
384,-2
385,0
386,0
387,-1
388,1
389,4
390,7
391,3
392,-1
393,-4
394,-4
395,-2
396,-2
397,-2
398,-4
399,0
400,1
401,0
402,1
403,-3
404,0
405,1
406,4
407,1
408,1
409,2
410,2
411,6
412,7
413,6
414,4
415,3
416,0
417,-1
418,0
419,-4
420,-1
421,-1
422,-6
423,-2
424,-2
425,-3
426,-3
427,-4
428,-6
429,-6
430,-2
431,-2
432,0
433,3
434,1
435,3
436,1
437,1
438,4
439,3
440,6
441,6
442,4
443,3
444,2
445,0
446,1
447,-2
448,-4
449,-3
450,-6
451,-5
452,-6
453,-2
454,2
455,6
456,10
457,7
458,6
459,7
460,5
461,2
462,6
463,1
464,3
465,3
466,1
467,2
468,1
469,3
470,3
471,3
472,1
473,2
474,0
475,-1
476,-1
477,-3
478,-2
479,-3
480,-1
481,1
482,4
483,6
484,3
485,-4
486,-6
487,-5
488,-3
489,2
490,3
491,0
492,-1
493,0
494,-1
495,0
