,0
0,-4
1,1
2,1
3,-1
4,0
5,-4
6,-5
7,-6
8,-12
9,-9
10,-10
11,-8
12,-2
13,0
14,7
15,9
16,8
17,-4
18,5
19,4
20,7
21,16
22,1
23,-3
24,-4
25,-3
26,-1
27,1
28,-2
29,-4
30,-8
31,-2
32,1
33,2
34,4
35,0
36,-4
37,-5
38,-9
39,-11
40,-6
41,1
42,6
43,4
44,6
45,4
46,8
47,14
48,10
49,8
50,4
51,1
52,2
53,2
54,4
55,2
56,-1
57,-3
58,-1
59,-1
60,-3
61,-4
62,-8
63,-8
64,-5
65,-1
66,-2
67,1
68,5
69,-1
70,-2
71,-6
72,-8
73,-9
74,-7
75,0
76,-15
77,-11
78,-10
79,-13
80,-6
81,-8
82,-12
83,-14
84,-9
85,-7
86,4
87,2
88,9
89,0
90,-5
91,-3
92,-7
93,-3
94,-1
95,3
96,7
97,15
98,14
99,13
100,6
101,4
102,1
103,-3
104,-5
105,-12
106,-16
107,-16
108,-7
109,-5
110,2
111,6
112,1
113,8
114,10
115,4
116,-1
117,-3
118,-9
119,-3
120,6
121,5
122,10
123,5
124,-2
125,-4
126,-5
127,-4
128,2
129,4
130,7
131,11
132,10
133,8
134,2
135,-6
136,-3
137,0
138,11
139,18
140,11
141,14
142,6
143,4
144,4
145,-1
146,0
147,0
148,3
149,4
150,1
151,1
152,-1
153,-3
154,-8
155,-6
156,-6
157,-1
158,-2
159,-3
160,-4
161,-8
162,-2
163,-2
164,-2
165,2
166,2
167,5
168,8
169,-2
170,-1
171,-5
172,-9
173,-2
174,-5
175,-6
176,-5
177,-9
178,-6
179,-3
180,1
181,1
182,-2
183,1
184,3
185,5
186,6
187,-1
188,-6
189,-7
190,-6
191,-2
192,-6
193,1
194,3
195,2
196,8
197,5
198,3
199,5
200,0
201,-7
202,-14
203,-15
204,-16
205,-17
206,-14
207,-11
208,-6
209,-2
210,-4
211,6
212,11
213,9
214,15
215,1
216,-6
217,-4
218,-7
219,-4
220,-1
221,-1
222,2
223,-1
224,3
225,2
226,0
227,-2
228,-9
229,-7
230,-4
231,-2
232,3
233,5
234,1
235,-1
236,-3
237,-8
238,-7
239,-2
240,-5
241,0
242,-3
243,-6
244,0
245,-1
246,3
247,4
248,-1
249,2
250,2
251,6
252,14
253,11
254,12
255,7
256,0
257,-2
258,-1
259,2
260,1
261,4
262,2
263,5
264,4
265,6
266,6
267,10
268,3
269,-1
270,-3
271,-11
272,-5
273,-4
274,-3
275,0
276,3
277,1
278,-2
279,-5
280,-5
281,-2
282,-4
283,-1
284,-2
285,-4
286,-1
287,1
288,-1
289,1
290,2
291,-3
292,-3
293,-1
294,1
295,4
296,10
297,7
298,3
299,5
300,-1
301,0
302,0
303,-3
304,-1
305,2
306,4
307,5
308,5
309,4
310,-1
311,-1
312,0
313,-4
314,-3
315,0
316,0
317,3
318,5
319,2
320,1
321,4
322,4
323,-2
324,1
325,3
326,-1
327,-1
328,-1
329,-6
330,-1
331,4
332,2
333,3
334,6
335,6
336,4
337,4
338,3
339,3
340,7
341,5
342,1
343,0
344,-1
345,-1
346,4
347,6
348,3
349,7
350,3
351,3
352,5
353,-1
354,0
355,-1
356,0
357,4
358,2
359,3
360,-1
361,-1
362,-1
363,2
364,3
365,1
366,3
367,-1
368,-1
369,2
370,1
371,1
372,0
373,0
374,-2
375,-1
376,2
377,3
378,6
379,4
380,2
381,1
382,-4
383,-3
384,-3
385,-5
386,-1
387,-1
388,3
389,4
390,3
391,0
392,-2
393,4
394,8
395,9
396,7
397,-1
398,-3
399,0
400,0
401,-3
402,-3
403,-5
404,-2
405,-1
406,1
407,-1
408,-1
409,-1
410,0
411,2
412,4
413,4
414,2
415,0
416,0
417,0
418,4
419,4
420,5
421,5
422,-2
423,-1
424,-5
425,-7
426,-8
427,-8
428,-5
429,-7
430,-3
431,-2
432,-3
433,3
434,-1
435,1
436,-1
437,-1
438,3
439,2
440,5
441,3
442,1
443,2
444,0
445,-3
446,-1
447,-6
448,-4
449,0
450,-5
451,-4
452,1
453,3
454,10
455,15
456,8
457,4
458,5
459,4
460,3
461,1
462,3
463,0
464,3
465,2
466,-1
467,2
468,0
469,0
470,3
471,1
472,1
473,2
474,0
475,0
476,0
477,-1
478,0
479,-1
480,0
481,2
482,-1
483,2
484,1
485,0
486,3
487,4
488,3
489,3
490,3
491,0
492,0
493,1
494,0
495,-1
