,0
0,-7
1,3
2,4
3,0
4,1
5,-4
6,-5
7,-2
8,-5
9,-1
10,-5
11,-5
12,-3
13,0
14,8
15,10
16,6
17,-4
18,-6
19,-7
20,-3
21,4
22,-1
23,-4
24,-5
25,-4
26,-3
27,-4
28,-5
29,-9
30,-10
31,2
32,6
33,8
34,10
35,3
36,-2
37,-4
38,-6
39,-9
40,-1
41,-1
42,1
43,1
44,-3
45,3
46,6
47,13
48,9
49,6
50,0
51,-2
52,-1
53,-1
54,5
55,0
56,1
57,-1
58,-1
59,-2
60,-5
61,-6
62,-10
63,-7
64,-3
65,-2
66,-4
67,-4
68,-2
69,-5
70,-6
71,-8
72,-9
73,-9
74,-1
75,8
76,1
77,4
78,2
79,0
80,-2
81,-4
82,-8
83,-10
84,-6
85,-5
86,2
87,-2
88,2
89,-2
90,-7
91,-3
92,-2
93,0
94,3
95,2
96,3
97,2
98,10
99,16
100,12
101,14
102,6
103,0
104,1
105,-2
106,-11
107,-13
108,-10
109,-10
110,-2
111,1
112,-1
113,8
114,14
115,9
116,2
117,-1
118,-11
119,-7
120,0
121,1
122,7
123,4
124,1
125,-4
126,-7
127,-8
128,-4
129,1
130,6
131,13
132,11
133,9
134,2
135,-7
136,-3
137,-1
138,4
139,7
140,2
141,5
142,4
143,4
144,3
145,-4
146,-1
147,-2
148,0
149,5
150,1
151,1
152,-1
153,-4
154,-7
155,-6
156,-4
157,-5
158,-7
159,-9
160,-11
161,-10
162,-7
163,-4
164,-5
165,-2
166,2
167,6
168,9
169,3
170,2
171,-5
172,-9
173,-3
174,-7
175,-5
176,-1
177,-4
178,-2
179,1
180,0
181,0
182,-2
183,-1
184,4
185,6
186,8
187,2
188,-6
189,-9
190,-8
191,-3
192,-2
193,3
194,8
195,6
196,11
197,9
198,5
199,8
200,2
201,0
202,1
203,-2
204,0
205,-6
206,-10
207,-14
208,-10
209,-2
210,-3
211,12
212,9
213,8
214,14
215,-1
216,-5
217,-7
218,-11
219,-4
220,2
221,4
222,6
223,2
224,5
225,-4
226,-6
227,-12
228,-17
229,-11
230,-10
231,-2
232,0
233,4
234,4
235,-1
236,-4
237,-5
238,-5
239,0
240,1
241,0
242,2
243,-1
244,3
245,2
246,3
247,9
248,3
249,6
250,9
251,6
252,6
253,6
254,2
255,1
256,0
257,-2
258,1
259,5
260,6
261,7
262,9
263,6
264,6
265,8
266,4
267,6
268,4
269,1
270,0
271,-3
272,2
273,-1
274,0
275,0
276,-1
277,1
278,-3
279,-5
280,-5
281,-2
282,-2
283,1
284,0
285,2
286,15
287,14
288,12
289,10
290,-2
291,-4
292,-6
293,-4
294,0
295,2
296,8
297,5
298,1
299,3
300,0
301,1
302,3
303,1
304,3
305,5
306,3
307,4
308,2
309,0
310,-1
311,-4
312,-3
313,-4
314,-3
315,1
316,2
317,4
318,4
319,3
320,1
321,1
322,-2
323,-4
324,-3
325,-2
326,2
327,4
328,1
329,-2
330,-3
331,0
332,2
333,4
334,6
335,3
336,2
337,1
338,0
339,3
340,6
341,3
342,3
343,-1
344,-2
345,0
346,2
347,6
348,7
349,1
350,-1
351,-4
352,-5
353,-3
354,-2
355,3
356,0
357,2
358,0
359,-2
360,-1
361,4
362,0
363,1
364,-1
365,-4
366,0
367,-1
368,0
369,2
370,1
371,1
372,0
373,-1
374,1
375,3
376,8
377,10
378,8
379,3
380,0
381,2
382,-1
383,0
384,-1
385,-4
386,-1
387,-1
388,0
389,0
390,-1
391,-2
392,-4
393,-5
394,-4
395,-4
396,-4
397,-3
398,-3
399,0
400,1
401,-1
402,-2
403,-3
404,0
405,0
406,3
407,0
408,0
409,2
410,1
411,5
412,6
413,5
414,3
415,3
416,0
417,1
418,3
419,0
420,-2
421,-3
422,-5
423,-3
424,-1
425,-3
426,-3
427,-4
428,-4
429,-5
430,-3
431,-2
432,-2
433,1
434,-1
435,-1
436,0
437,2
438,4
439,2
440,2
441,-1
442,-1
443,1
444,1
445,0
446,2
447,-2
448,-4
449,0
450,-5
451,-4
452,-3
453,-2
454,2
455,4
456,6
457,4
458,3
459,4
460,2
461,1
462,3
463,2
464,5
465,4
466,4
467,3
468,2
469,2
470,1
471,1
472,0
473,0
474,3
475,12
476,16
477,11
478,9
479,-1
480,-4
481,0
482,0
483,3
484,3
485,3
486,4
487,3
488,3
489,1
490,2
491,1
492,1
493,2
494,-1
495,-1
