,0
0,3
1,5
2,3
3,1
4,3
5,1
6,1
7,1
8,-2
9,-2
10,3
11,3
12,7
13,3
14,-1
15,2
16,0
17,3
18,3
19,3
20,1
21,3
22,0
23,0
24,0
25,-2
26,0
27,-3
28,-1
29,-1
30,1
31,1
32,5
33,9
34,10
35,14
36,11
37,10
38,8
39,11
40,6
41,8
42,5
43,-2
44,-5
45,-8
46,-6
47,-3
48,4
49,4
50,3
51,3
52,3
53,1
54,-1
55,0
56,-4
57,-1
58,0
59,-1
60,1
61,2
62,3
63,1
64,3
65,3
66,1
67,5
68,2
69,1
70,-4
71,-7
72,-8
73,-9
74,-5
75,1
76,-1
77,2
78,4
79,4
80,6
81,7
82,-2
83,-4
84,-2
85,-4
86,5
87,8
88,7
89,3
90,0
91,-2
92,-1
93,3
94,5
95,5
96,4
97,1
98,1
99,0
100,0
101,1
102,2
103,3
104,0
105,-1
106,-7
107,-7
108,-7
109,-11
110,-11
111,-8
112,-10
113,-8
114,-2
115,-5
116,1
117,3
118,0
119,-1
120,-5
121,-4
122,-1
123,-3
124,-1
125,-1
126,-4
127,-5
128,-3
129,0
130,5
131,8
132,6
133,3
134,3
135,1
136,3
137,4
138,10
139,9
140,7
141,3
142,-8
143,-4
144,-4
145,0
146,3
147,4
148,4
149,1
150,0
151,-1
152,0
153,1
154,1
155,4
156,3
157,4
158,4
159,2
160,-2
161,-4
162,-5
163,-4
164,-2
165,-2
166,0
167,1
168,3
169,3
170,5
171,0
172,-4
173,-2
174,-4
175,-3
176,-1
177,-8
178,-10
179,-9
180,-6
181,0
182,2
183,8
184,8
185,10
186,12
187,5
188,0
189,-1
190,-2
191,3
192,2
193,3
194,3
195,2
196,6
197,7
198,6
199,4
200,5
201,3
202,4
203,3
204,3
205,0
206,1
207,1
208,2
209,4
210,-2
211,-1
212,0
213,1
214,6
215,2
216,-1
217,-1
218,-3
219,1
220,0
221,0
222,-2
223,-3
224,-1
225,-1
226,1
227,-2
228,-6
229,-5
230,-4
231,-5
232,-1
233,1
234,-1
235,2
236,-1
237,-2
238,0
239,2
240,2
241,4
242,4
243,1
244,4
245,1
246,-3
247,-3
248,-2
249,-2
250,1
251,2
252,0
253,0
254,1
255,3
256,1
257,1
258,2
259,0
260,2
261,0
262,4
263,-1
264,-4
265,-3
266,-9
267,-6
268,-3
269,-3
270,2
271,1
272,-1
273,1
274,-2
275,1
276,1
277,-2
278,-4
279,-6
280,-5
281,-3
282,0
283,1
284,0
285,0
286,0
287,1
288,3
289,1
290,0
291,-3
292,-4
293,-3
294,-1
295,-4
296,-3
297,-4
298,-4
299,4
300,1
301,1
302,1
303,-1
304,2
305,4
306,4
307,3
308,7
309,5
310,5
311,3
312,-1
313,0
314,0
315,3
316,2
317,1
318,0
319,-1
320,-2
321,-1
322,1
323,-1
324,-2
325,-1
326,-2
327,-1
328,-4
329,-6
330,-7
331,-4
332,0
333,1
334,1
335,-2
336,-2
337,-1
338,-2
339,0
340,-1
341,0
342,0
343,2
344,2
345,0
346,1
347,-2
348,-4
349,-2
350,1
351,2
352,3
353,5
354,2
355,2
356,1
357,-1
358,-1
359,0
360,0
361,-3
362,-1
363,-4
364,-4
365,0
366,-1
367,1
368,3
369,2
370,2
371,1
372,-2
373,-2
374,-1
375,1
376,4
377,2
378,-1
379,-3
380,-4
381,-2
382,2
383,3
384,5
385,5
386,3
387,1
388,-2
389,1
390,1
391,0
392,1
393,-3
394,-1
395,0
396,0
397,1
398,3
399,3
400,0
401,-1
402,-2
403,-1
404,2
405,1
406,0
407,-2
408,-1
409,1
410,0
411,1
412,1
413,3
414,4
415,4
416,3
417,2
418,-2
419,0
420,0
421,0
422,2
423,0
424,1
425,0
426,-1
427,-1
428,1
429,1
430,4
431,3
432,0
433,-1
434,-2
435,-4
436,-3
437,-3
438,0
439,2
440,-2
441,-1
442,-2
443,-1
444,4
445,5
446,3
447,1
448,-4
449,-7
450,-8
451,-7
452,-10
453,-7
454,-7
455,-7
456,3
457,1
458,1
459,0
460,-4
461,-4
462,-3
463,0
464,2
465,3
466,0
467,1
468,1
469,0
470,2
471,0
472,0
473,1
474,0
475,-1
476,0
477,0
478,-1
479,-1
480,-2
481,0
482,1
483,0
484,2
485,4
486,3
487,5
488,5
489,0
490,1
491,1
492,1
493,1
494,-1
495,-1
