,0
0,-6
1,-5
2,-4
3,-2
4,-4
5,-5
6,-8
7,-10
8,-6
9,-1
10,0
11,2
12,2
13,1
14,2
15,3
16,5
17,0
18,-2
19,-3
20,-3
21,0
22,-1
23,-2
24,-3
25,-3
26,-1
27,-1
28,-1
29,-10
30,-12
31,-10
32,-9
33,0
34,4
35,5
36,2
37,3
38,1
39,-3
40,-2
41,-1
42,-1
43,1
44,4
45,4
46,6
47,7
48,0
49,0
50,-6
51,-7
52,-6
53,-5
54,0
55,-2
56,-4
57,-4
58,-4
59,-1
60,0
61,0
62,2
63,1
64,3
65,3
66,-2
67,-2
68,0
69,2
70,2
71,0
72,-1
73,-5
74,-3
75,4
76,-1
77,2
78,1
79,1
80,0
81,-4
82,-3
83,-8
84,-5
85,-2
86,0
87,2
88,6
89,-2
90,-3
91,-3
92,-5
93,1
94,2
95,5
96,8
97,5
98,2
99,2
100,0
101,1
102,2
103,-3
104,-2
105,-5
106,-6
107,-6
108,-7
109,-5
110,-4
111,-3
112,-4
113,1
114,5
115,5
116,0
117,-1
118,-3
119,-1
120,5
121,4
122,5
123,3
124,1
125,1
126,0
127,1
128,2
129,3
130,4
131,4
132,4
133,5
134,2
135,-1
136,-2
137,-2
138,-2
139,3
140,1
141,2
142,2
143,1
144,4
145,0
146,1
147,0
148,1
149,3
150,5
151,5
152,3
153,2
154,-5
155,-6
156,-5
157,-4
158,-5
159,-3
160,-5
161,-6
162,-1
163,-1
164,-1
165,3
166,2
167,3
168,3
169,-7
170,-8
171,-9
172,-7
173,1
174,-1
175,0
176,-2
177,-3
178,-3
179,-1
180,5
181,3
182,4
183,6
184,3
185,4
186,5
187,0
188,-2
189,-2
190,-3
191,-1
192,-2
193,-1
194,2
195,-3
196,-3
197,-2
198,-1
199,5
200,8
201,6
202,5
203,2
204,2
205,-1
206,-6
207,-4
208,-2
209,1
210,2
211,10
212,8
213,5
214,9
215,1
216,-1
217,2
218,2
219,3
220,3
221,4
222,1
223,-3
224,1
225,1
226,3
227,2
228,-2
229,-2
230,-1
231,0
232,3
233,4
234,3
235,2
236,-1
237,-5
238,-6
239,-3
240,-2
241,0
242,1
243,-1
244,1
245,-1
246,-1
247,1
248,-2
249,1
250,1
251,0
252,4
253,4
254,4
255,2
256,-2
257,-6
258,-5
259,-4
260,-2
261,2
262,0
263,0
264,-1
265,2
266,5
267,7
268,5
269,2
270,-1
271,-6
272,-5
273,-4
274,-1
275,-1
276,2
277,1
278,-2
279,-7
280,-8
281,-7
282,-7
283,0
284,0
285,-3
286,-1
287,1
288,1
289,0
290,0
291,-3
292,-3
293,-1
294,-2
295,0
296,0
297,1
298,1
299,1
300,-1
301,-2
302,-2
303,-3
304,-1
305,0
306,1
307,5
308,6
309,4
310,1
311,-2
312,-2
313,0
314,1
315,1
316,0
317,1
318,3
319,2
320,2
321,2
322,1
323,0
324,-4
325,-2
326,0
327,0
328,2
329,0
330,-5
331,-3
332,-2
333,-1
334,1
335,-1
336,1
337,-1
338,-2
339,2
340,2
341,1
342,3
343,1
344,-1
345,-1
346,1
347,-1
348,-2
349,1
350,2
351,1
352,4
353,5
354,2
355,1
356,2
357,-1
358,0
359,2
360,0
361,0
362,0
363,0
364,0
365,2
366,4
367,2
368,2
369,1
370,-1
371,1
372,-2
373,-3
374,0
375,1
376,5
377,4
378,2
379,1
380,0
381,2
382,1
383,1
384,3
385,2
386,3
387,3
388,2
389,3
390,1
391,0
392,0
393,-2
394,-1
395,0
396,0
397,1
398,1
399,1
400,1
401,1
402,-1
403,-1
404,-2
405,-3
406,0
407,-1
408,0
409,0
410,1
411,3
412,3
413,3
414,0
415,-1
416,-1
417,-1
418,0
419,0
420,-1
421,0
422,-2
423,-3
424,-3
425,-6
426,-5
427,-4
428,-3
429,-3
430,-2
431,-1
432,-1
433,-1
434,-3
435,-4
436,-3
437,-2
438,1
439,2
440,2
441,0
442,-1
443,-1
444,-1
445,-1
446,-2
447,-4
448,-4
449,-2
450,-2
451,-3
452,-3
453,-1
454,1
455,3
456,7
457,5
458,3
459,3
460,0
461,-3
462,-1
463,-2
464,3
465,7
466,5
467,7
468,2
469,-1
470,1
471,1
472,1
473,3
474,1
475,2
476,3
477,4
478,4
479,4
480,2
481,1
482,2
483,2
484,5
485,8
486,7
487,5
488,3
489,-1
490,-1
491,-1
492,-1
493,0
494,0
495,-1
