,0
0,0
1,2
2,2
3,1
4,-6
5,-10
6,-12
7,-12
8,-8
9,-4
10,-2
11,0
12,0
13,1
14,1
15,2
16,3
17,1
18,3
19,1
20,4
21,5
22,2
23,1
24,-2
25,-1
26,-1
27,-2
28,0
29,-2
30,-4
31,-5
32,-3
33,-7
34,-8
35,-4
36,-7
37,-5
38,-5
39,-8
40,-4
41,-2
42,0
43,1
44,-1
45,5
46,9
47,8
48,5
49,3
50,0
51,0
52,2
53,-1
54,1
55,0
56,-4
57,-4
58,-4
59,-4
60,-3
61,-2
62,-1
63,0
64,0
65,-3
66,-6
67,-3
68,0
69,3
70,4
71,-1
72,-3
73,-7
74,-7
75,-3
76,-6
77,-2
78,1
79,3
80,4
81,3
82,-1
83,-6
84,-5
85,-5
86,-2
87,-1
88,3
89,2
90,-1
91,-1
92,2
93,5
94,8
95,10
96,5
97,5
98,2
99,2
100,-1
101,-2
102,0
103,-3
104,-4
105,-8
106,-11
107,-11
108,-8
109,-5
110,-3
111,2
112,0
113,0
114,4
115,0
116,1
117,1
118,-4
119,-2
120,-2
121,-2
122,3
123,1
124,0
125,1
126,-2
127,-6
128,0
129,-1
130,2
131,6
132,2
133,3
134,1
135,-1
136,0
137,0
138,0
139,1
140,-2
141,-1
142,-3
143,1
144,2
145,2
146,5
147,4
148,7
149,6
150,4
151,2
152,0
153,-3
154,-6
155,-6
156,-5
157,0
158,-2
159,-1
160,-1
161,-4
162,0
163,-1
164,-1
165,2
166,4
167,5
168,6
169,0
170,-2
171,-1
172,-3
173,2
174,0
175,-5
176,-5
177,-8
178,-8
179,-6
180,-3
181,-3
182,-2
183,2
184,4
185,5
186,4
187,-1
188,-6
189,-8
190,-4
191,3
192,6
193,14
194,15
195,7
196,4
197,5
198,3
199,5
200,7
201,2
202,3
203,3
204,3
205,2
206,1
207,4
208,3
209,4
210,2
211,3
212,3
213,2
214,2
215,-1
216,-2
217,0
218,0
219,1
220,3
221,2
222,1
223,1
224,1
225,0
226,1
227,-4
228,-5
229,-3
230,-2
231,1
232,2
233,2
234,0
235,-2
236,-4
237,-3
238,-2
239,2
240,1
241,1
242,1
243,0
244,2
245,2
246,3
247,3
248,2
249,4
250,2
251,2
252,3
253,1
254,4
255,2
256,-2
257,-3
258,-6
259,-3
260,1
261,3
262,4
263,2
264,0
265,1
266,0
267,-1
268,1
269,1
270,3
271,3
272,0
273,-1
274,-1
275,0
276,2
277,1
278,0
279,-2
280,-4
281,-2
282,-1
283,2
284,3
285,2
286,0
287,1
288,0
289,-3
290,-2
291,-9
292,-6
293,-5
294,-2
295,-2
296,-2
297,-4
298,-6
299,2
300,-3
301,1
302,-2
303,-2
304,1
305,2
306,3
307,1
308,1
309,-1
310,0
311,-1
312,-1
313,1
314,1
315,1
316,8
317,9
318,10
319,9
320,1
321,1
322,0
323,-3
324,-4
325,-2
326,-2
327,3
328,3
329,-1
330,-3
331,-3
332,-1
333,0
334,2
335,-1
336,-2
337,-1
338,-2
339,2
340,4
341,3
342,3
343,-1
344,-3
345,-3
346,-1
347,1
348,0
349,1
350,3
351,1
352,3
353,2
354,0
355,1
356,1
357,1
358,1
359,1
360,2
361,0
362,1
363,-2
364,-3
365,-2
366,-2
367,-1
368,3
369,4
370,5
371,5
372,1
373,0
374,0
375,2
376,3
377,3
378,3
379,4
380,4
381,4
382,4
383,1
384,3
385,2
386,1
387,1
388,-1
389,1
390,0
391,0
392,0
393,-1
394,0
395,0
396,-2
397,-2
398,-1
399,-1
400,-2
401,-2
402,-4
403,-4
404,-1
405,-3
406,-1
407,-1
408,-2
409,1
410,1
411,1
412,0
413,-1
414,-2
415,-2
416,-2
417,-2
418,-1
419,1
420,2
421,4
422,3
423,2
424,2
425,-1
426,-1
427,-2
428,-2
429,-2
430,-1
431,1
432,-1
433,-1
434,-2
435,-3
436,-1
437,2
438,2
439,2
440,2
441,0
442,2
443,2
444,1
445,0
446,-2
447,-3
448,-4
449,-3
450,-3
451,-2
452,-4
453,-3
454,-1
455,-1
456,4
457,4
458,4
459,4
460,2
461,1
462,2
463,1
464,3
465,4
466,3
467,5
468,3
469,2
470,1
471,0
472,0
473,0
474,1
475,2
476,2
477,3
478,2
479,0
480,0
481,0
482,1
483,3
484,3
485,3
486,4
487,4
488,5
489,2
490,1
491,1
492,0
493,2
494,2
495,2
