,0
0,-3
1,3
2,0
3,-2
4,1
5,-5
6,-4
7,-3
8,-9
9,-3
10,-6
11,-7
12,-3
13,-2
14,4
15,8
16,10
17,-21
18,-24
19,-29
20,-32
21,-2
22,-4
23,-2
24,-1
25,-5
26,-5
27,-5
28,-5
29,-9
30,-8
31,0
32,2
33,4
34,3
35,0
36,-4
37,-5
38,-8
39,-9
40,-2
41,-2
42,0
43,-2
44,-3
45,4
46,11
47,16
48,10
49,6
50,3
51,1
52,5
53,3
54,8
55,4
56,0
57,1
58,2
59,2
60,0
61,-1
62,-5
63,-7
64,-4
65,-4
66,-5
67,-3
68,1
69,-7
70,-11
71,-13
72,-14
73,-10
74,-7
75,12
76,7
77,17
78,21
79,9
80,4
81,-3
82,-7
83,-12
84,-9
85,-6
86,1
87,1
88,7
89,1
90,-4
91,-3
92,-3
93,-6
94,-4
95,-1
96,-1
97,7
98,3
99,4
100,-2
101,0
102,4
103,-1
104,-4
105,-10
106,-16
107,-17
108,-8
109,-8
110,0
111,-4
112,-8
113,-1
114,4
115,8
116,3
117,3
118,-5
119,-6
120,5
121,4
122,7
123,7
124,-3
125,-4
126,-5
127,-8
128,1
129,2
130,8
131,16
132,11
133,1
134,-5
135,-13
136,-7
137,-5
138,-5
139,0
140,-6
141,5
142,7
143,4
144,6
145,0
146,5
147,6
148,6
149,7
150,1
151,-1
152,-3
153,-7
154,-9
155,-8
156,-7
157,0
158,-1
159,-1
160,-4
161,-3
162,2
163,1
164,1
165,-2
166,-2
167,6
168,7
169,-5
170,-7
171,-12
172,-13
173,-3
174,-4
175,-5
176,-2
177,-5
178,-7
179,-5
180,-1
181,-3
182,-1
183,3
184,-1
185,2
186,2
187,-4
188,-5
189,-8
190,-8
191,-2
192,-5
193,4
194,4
195,2
196,4
197,-3
198,-2
199,3
200,-1
201,-25
202,-24
203,-32
204,-27
205,-8
206,-10
207,-3
208,2
209,7
210,14
211,23
212,17
213,18
214,15
215,1
216,-1
217,-2
218,-6
219,-2
220,1
221,-1
222,-1
223,-2
224,5
225,8
226,14
227,12
228,-3
229,-5
230,-7
231,-5
232,1
233,5
234,5
235,0
236,4
237,-5
238,-4
239,3
240,-2
241,3
242,0
243,-3
244,3
245,2
246,7
247,10
248,6
249,8
250,4
251,4
252,5
253,5
254,6
255,2
256,0
257,0
258,2
259,6
260,8
261,4
262,6
263,6
264,3
265,5
266,4
267,24
268,27
269,25
270,25
271,-3
272,-5
273,-6
274,-6
275,-2
276,0
277,-1
278,-4
279,-4
280,-3
281,0
282,-1
283,-1
284,2
285,1
286,2
287,9
288,6
289,6
290,6
291,-2
292,-3
293,-2
294,5
295,9
296,14
297,8
298,2
299,2
300,-2
301,4
302,4
303,0
304,0
305,1
306,1
307,4
308,6
309,5
310,2
311,2
312,1
313,0
314,1
315,2
316,3
317,2
318,2
319,-2
320,-4
321,-3
322,-2
323,-4
324,-2
325,12
326,13
327,17
328,14
329,-1
330,-3
331,-4
332,-2
333,-2
334,0
335,1
336,0
337,2
338,2
339,3
340,6
341,3
342,4
343,2
344,1
345,3
346,6
347,6
348,6
349,8
350,4
351,3
352,2
353,-3
354,-3
355,-2
356,0
357,3
358,3
359,6
360,4
361,5
362,3
363,1
364,3
365,-2
366,2
367,0
368,-2
369,3
370,0
371,3
372,4
373,1
374,3
375,1
376,6
377,8
378,5
379,4
380,1
381,1
382,-2
383,-5
384,-7
385,-7
386,-1
387,6
388,12
389,8
390,8
391,1
392,-4
393,-2
394,-2
395,-1
396,-3
397,-2
398,-5
399,-2
400,-1
401,-4
402,-5
403,-7
404,-4
405,-2
406,3
407,1
408,-2
409,1
410,1
411,3
412,4
413,2
414,1
415,1
416,1
417,1
418,2
419,1
420,2
421,5
422,-2
423,0
424,0
425,-4
426,-2
427,-1
428,-1
429,0
430,1
431,2
432,0
433,3
434,1
435,1
436,2
437,3
438,6
439,5
440,8
441,3
442,-1
443,0
444,-1
445,-2
446,-1
447,-4
448,-3
449,-1
450,-4
451,-7
452,-6
453,-3
454,1
455,8
456,5
457,4
458,5
459,2
460,3
461,2
462,4
463,3
464,5
465,4
466,2
467,2
468,1
469,1
470,2
471,1
472,-2
473,1
474,-3
475,-3
476,-3
477,-6
478,-4
479,-3
480,1
481,4
482,2
483,5
484,2
485,0
486,3
487,3
488,5
489,5
490,6
491,3
492,1
493,2
494,1
495,0
