,0
0,-4
1,0
2,1
3,-3
4,-1
5,-4
6,-5
7,-1
8,-5
9,-2
10,-5
11,-2
12,1
13,4
14,8
15,4
16,5
17,-2
18,-2
19,-3
20,-3
21,3
22,-1
23,-2
24,-3
25,-3
26,-1
27,-1
28,-2
29,-4
30,-6
31,1
32,3
33,4
34,5
35,2
36,0
37,-3
38,-5
39,-8
40,-3
41,-1
42,0
43,0
44,0
45,3
46,5
47,9
48,4
49,3
50,1
51,1
52,2
53,2
54,5
55,3
56,2
57,0
58,0
59,-1
60,-3
61,-3
62,-6
63,-8
64,-6
65,-5
66,-6
67,-2
68,1
69,0
70,0
71,-2
72,-2
73,-6
74,1
75,6
76,-1
77,5
78,-1
79,0
80,0
81,-3
82,-6
83,-7
84,-6
85,-7
86,-1
87,-3
88,2
89,0
90,-3
91,-3
92,-2
93,2
94,4
95,5
96,5
97,5
98,4
99,3
100,-1
101,-1
102,0
103,-2
104,-2
105,-6
106,-11
107,-10
108,-5
109,-3
110,2
111,4
112,1
113,6
114,8
115,4
116,1
117,1
118,-4
119,-2
120,2
121,2
122,5
123,3
124,1
125,-5
126,-6
127,-5
128,-3
129,0
130,3
131,3
132,3
133,2
134,0
135,-4
136,1
137,6
138,8
139,10
140,2
141,2
142,1
143,2
144,2
145,0
146,2
147,1
148,4
149,4
150,1
151,2
152,0
153,-2
154,-5
155,-5
156,-5
157,-3
158,-3
159,-4
160,-5
161,-6
162,-3
163,-3
164,-4
165,-1
166,-1
167,3
168,5
169,-2
170,-2
171,-7
172,-8
173,-3
174,-4
175,-3
176,-2
177,-3
178,-2
179,-1
180,0
181,0
182,-2
183,2
184,3
185,5
186,6
187,-3
188,-8
189,-10
190,-9
191,0
192,0
193,5
194,6
195,1
196,3
197,2
198,4
199,6
200,-2
201,-6
202,-5
203,-7
204,-1
205,-3
206,-9
207,-5
208,0
209,4
210,5
211,10
212,8
213,6
214,8
215,0
216,-2
217,0
218,0
219,1
220,2
221,3
222,0
223,-2
224,3
225,3
226,5
227,4
228,-4
229,-4
230,-3
231,-2
232,3
233,5
234,4
235,1
236,-3
237,-6
238,-6
239,-2
240,-3
241,-1
242,-2
243,-4
244,1
245,0
246,1
247,-2
248,-8
249,-6
250,-5
251,0
252,6
253,6
254,5
255,5
256,0
257,-3
258,0
259,1
260,3
261,4
262,3
263,2
264,0
265,3
266,2
267,7
268,6
269,4
270,6
271,1
272,2
273,2
274,1
275,2
276,2
277,0
278,-5
279,-7
280,-7
281,-3
282,-3
283,-1
284,-1
285,-3
286,1
287,2
288,3
289,3
290,1
291,-1
292,-3
293,0
294,3
295,5
296,11
297,10
298,4
299,3
300,-1
301,-1
302,3
303,1
304,1
305,1
306,1
307,4
308,4
309,2
310,0
311,1
312,1
313,-2
314,0
315,-1
316,-1
317,2
318,2
319,0
320,0
321,-1
322,-2
323,-5
324,3
325,7
326,9
327,11
328,3
329,0
330,-1
331,2
332,1
333,1
334,2
335,0
336,0
337,1
338,0
339,1
340,3
341,3
342,3
343,0
344,-1
345,2
346,4
347,5
348,5
349,2
350,1
351,1
352,2
353,-3
354,-3
355,-3
356,-1
357,3
358,4
359,7
360,3
361,1
362,-1
363,-2
364,-2
365,-3
366,0
367,-1
368,0
369,4
370,1
371,1
372,2
373,-1
374,-2
375,-2
376,-1
377,2
378,4
379,4
380,7
381,4
382,0
383,-1
384,-4
385,-1
386,-3
387,-4
388,-2
389,-4
390,0
391,-1
392,-3
393,-2
394,-2
395,0
396,-1
397,-1
398,-3
399,-1
400,0
401,-1
402,-1
403,-2
404,0
405,1
406,3
407,1
408,0
409,0
410,0
411,3
412,1
413,2
414,2
415,1
416,1
417,2
418,1
419,0
420,2
421,1
422,-2
423,-1
424,-2
425,-5
426,-3
427,-4
428,-3
429,-3
430,-2
431,-1
432,-1
433,3
434,0
435,2
436,1
437,2
438,5
439,3
440,4
441,1
442,-1
443,1
444,0
445,0
446,1
447,-2
448,-1
449,0
450,3
451,0
452,0
453,2
454,-1
455,6
456,6
457,5
458,5
459,4
460,4
461,2
462,4
463,2
464,2
465,3
466,2
467,1
468,2
469,1
470,0
471,2
472,0
473,3
474,0
475,0
476,-1
477,-4
478,-2
479,-3
480,-1
481,1
482,0
483,2
484,1
485,-2
486,0
487,0
488,0
489,1
490,1
491,1
492,0
493,1
494,0
495,0
