,0
0,-6
1,1
2,-1
3,-2
4,-2
5,-7
6,-10
7,-9
8,-13
9,-10
10,-11
11,-6
12,-6
13,-2
14,10
15,8
16,15
17,5
18,-1
19,0
20,-1
21,12
22,6
23,-3
24,-3
25,-1
26,3
27,2
28,-3
29,-12
30,-16
31,-3
32,2
33,4
34,5
35,2
36,-2
37,-6
38,-9
39,-11
40,-3
41,-1
42,4
43,-1
44,0
45,8
46,12
47,24
48,16
49,8
50,4
51,6
52,4
53,6
54,12
55,-2
56,-1
57,-5
58,-5
59,-6
60,-11
61,-9
62,-16
63,-15
64,-12
65,-8
66,-8
67,-1
68,3
69,-3
70,-5
71,-10
72,-10
73,-13
74,-9
75,1
76,-7
77,4
78,6
79,3
80,2
81,-4
82,-14
83,-13
84,-12
85,-13
86,4
87,-2
88,9
89,5
90,-3
91,-3
92,-7
93,-5
94,-1
95,7
96,11
97,16
98,8
99,10
100,0
101,1
102,3
103,-5
104,-4
105,-10
106,-17
107,-15
108,-8
109,-8
110,1
111,5
112,-1
113,4
114,8
115,2
116,-2
117,-4
118,-11
119,-14
120,-6
121,-3
122,5
123,9
124,1
125,0
126,-4
127,-3
128,4
129,7
130,12
131,16
132,15
133,8
134,0
135,-7
136,-1
137,4
138,7
139,12
140,4
141,5
142,6
143,3
144,-4
145,-10
146,-6
147,-6
148,5
149,11
150,4
151,2
152,0
153,-6
154,-10
155,-6
156,-8
157,0
158,-5
159,-8
160,-10
161,-16
162,-14
163,-14
164,-13
165,-9
166,0
167,5
168,8
169,-4
170,-6
171,-10
172,-9
173,2
174,0
175,3
176,-5
177,-6
178,-7
179,-6
180,1
181,-2
182,-1
183,1
184,3
185,8
186,8
187,-3
188,-11
189,-12
190,-12
191,-1
192,-4
193,3
194,4
195,1
196,9
197,5
198,5
199,10
200,6
201,6
202,10
203,2
204,5
205,0
206,-3
207,5
208,6
209,10
210,3
211,11
212,14
213,12
214,21
215,1
216,-4
217,-5
218,-8
219,1
220,5
221,6
222,3
223,-2
224,2
225,5
226,7
227,6
228,-6
229,-6
230,2
231,2
232,10
233,12
234,3
235,0
236,-5
237,-10
238,-9
239,-3
240,-7
241,-6
242,-12
243,-15
244,-5
245,-4
246,1
247,5
248,-2
249,2
250,9
251,8
252,12
253,11
254,8
255,11
256,9
257,2
258,6
259,8
260,11
261,15
262,11
263,6
264,-1
265,1
266,6
267,7
268,10
269,8
270,6
271,2
272,6
273,1
274,-2
275,3
276,2
277,3
278,-2
279,-10
280,-9
281,8
282,9
283,14
284,12
285,-4
286,0
287,2
288,1
289,3
290,4
291,-2
292,-2
293,-1
294,0
295,3
296,11
297,12
298,8
299,8
300,4
301,6
302,3
303,1
304,0
305,-1
306,2
307,5
308,6
309,2
310,-2
311,-3
312,-1
313,-1
314,-1
315,-2
316,-3
317,-1
318,4
319,6
320,1
321,0
322,-2
323,-6
324,-1
325,0
326,3
327,10
328,5
329,2
330,-1
331,-1
332,3
333,3
334,5
335,0
336,-3
337,1
338,1
339,6
340,12
341,8
342,7
343,2
344,-4
345,21
346,25
347,31
348,24
349,5
350,1
351,-2
352,2
353,-6
354,-2
355,-1
356,2
357,9
358,12
359,10
360,8
361,7
362,0
363,1
364,-1
365,-7
366,-3
367,-4
368,-3
369,4
370,1
371,3
372,3
373,0
374,-1
375,0
376,4
377,8
378,8
379,10
380,8
381,2
382,0
383,-5
384,-6
385,-3
386,0
387,4
388,5
389,2
390,2
391,-4
392,-5
393,-4
394,-2
395,1
396,-4
397,-5
398,-10
399,-2
400,3
401,3
402,6
403,-1
404,7
405,5
406,9
407,9
408,-2
409,3
410,4
411,4
412,7
413,4
414,0
415,-4
416,-6
417,-6
418,-7
419,-5
420,-2
421,0
422,-3
423,-2
424,-4
425,-7
426,-7
427,-5
428,-3
429,-1
430,4
431,4
432,3
433,7
434,2
435,2
436,3
437,2
438,4
439,4
440,5
441,3
442,0
443,1
444,-6
445,-10
446,-7
447,-10
448,-2
449,3
450,-1
451,-3
452,-6
453,-6
454,-2
455,5
456,7
457,9
458,12
459,9
460,7
461,4
462,6
463,6
464,7
465,4
466,2
467,1
468,2
469,2
470,-2
471,-3
472,-4
473,-4
474,-1
475,-2
476,-3
477,-5
478,-3
479,-3
480,0
481,4
482,0
483,5
484,3
485,2
486,5
487,5
488,3
489,0
490,0
491,-2
492,-1
493,3
494,1
495,1
