,0
0,-5
1,-4
2,1
3,2
4,1
5,-2
6,-2
7,-1
8,-2
9,0
10,-1
11,-1
12,0
13,1
14,3
15,2
16,4
17,5
18,2
19,3
20,3
21,2
22,1
23,-1
24,-4
25,-4
26,-1
27,-2
28,-1
29,-3
30,-4
31,-3
32,2
33,3
34,4
35,6
36,2
37,5
38,2
39,-2
40,0
41,-1
42,-1
43,3
44,3
45,2
46,5
47,4
48,2
49,1
50,-1
51,1
52,1
53,2
54,1
55,1
56,-1
57,0
58,0
59,-1
60,4
61,5
62,7
63,4
64,0
65,0
66,-2
67,-1
68,1
69,2
70,0
71,-2
72,-2
73,-6
74,-4
75,1
76,-3
77,-2
78,-3
79,-3
80,-3
81,0
82,-3
83,-4
84,-2
85,-4
86,0
87,0
88,1
89,-2
90,-1
91,-1
92,0
93,6
94,4
95,3
96,3
97,0
98,-1
99,-2
100,-4
101,-1
102,1
103,0
104,1
105,-1
106,-6
107,-6
108,-5
109,-6
110,-3
111,4
112,6
113,10
114,10
115,5
116,4
117,3
118,4
119,2
120,-1
121,0
122,0
123,0
124,2
125,0
126,-3
127,-3
128,2
129,1
130,6
131,3
132,-1
133,0
134,-1
135,2
136,2
137,4
138,2
139,1
140,0
141,0
142,-2
143,0
144,0
145,-1
146,1
147,0
148,1
149,1
150,2
151,2
152,0
153,1
154,0
155,-2
156,-2
157,-1
158,-3
159,-1
160,-3
161,-4
162,-1
163,-3
164,-1
165,0
166,1
167,2
168,3
169,-1
170,-3
171,0
172,-2
173,2
174,3
175,-2
176,-1
177,-2
178,-3
179,-1
180,-1
181,-1
182,-1
183,1
184,2
185,4
186,3
187,-2
188,-5
189,-5
190,-4
191,1
192,3
193,4
194,4
195,2
196,2
197,2
198,4
199,4
200,4
201,2
202,2
203,3
204,1
205,0
206,-1
207,-3
208,0
209,2
210,-1
211,1
212,-4
213,-7
214,-7
215,-6
216,-1
217,3
218,3
219,2
220,3
221,1
222,3
223,1
224,3
225,0
226,1
227,2
228,-1
229,1
230,2
231,1
232,1
233,-1
234,-2
235,-2
236,-4
237,-3
238,-3
239,0
240,1
241,1
242,2
243,0
244,1
245,0
246,-3
247,-5
248,-8
249,-8
250,-6
251,-4
252,1
253,1
254,0
255,0
256,-3
257,-2
258,-1
259,0
260,3
261,2
262,1
263,0
264,-1
265,1
266,1
267,-3
268,-3
269,-5
270,-4
271,3
272,3
273,4
274,4
275,2
276,1
277,-1
278,1
279,0
280,0
281,1
282,-3
283,-2
284,-3
285,-3
286,-1
287,-1
288,1
289,0
290,-1
291,-3
292,-4
293,-2
294,-1
295,0
296,3
297,1
298,3
299,3
300,1
301,0
302,0
303,0
304,-1
305,-1
306,-1
307,-2
308,5
309,6
310,8
311,9
312,4
313,6
314,2
315,3
316,-1
317,-3
318,-3
319,-8
320,-5
321,-4
322,-3
323,1
324,-1
325,1
326,1
327,1
328,2
329,0
330,-1
331,0
332,0
333,0
334,1
335,-1
336,0
337,-1
338,-2
339,-1
340,-2
341,-2
342,0
343,-1
344,0
345,0
346,0
347,0
348,1
349,3
350,4
351,4
352,0
353,-2
354,-2
355,-1
356,1
357,2
358,-6
359,-5
360,-7
361,-4
362,4
363,3
364,4
365,2
366,1
367,-1
368,0
369,0
370,-1
371,-1
372,-1
373,-4
374,-3
375,-2
376,-4
377,-3
378,4
379,5
380,11
381,12
382,5
383,5
384,2
385,1
386,1
387,0
388,-1
389,-1
390,-1
391,0
392,0
393,-1
394,1
395,0
396,-1
397,0
398,-1
399,1
400,1
401,0
402,-3
403,-2
404,-2
405,-2
406,-1
407,-2
408,-2
409,0
410,1
411,1
412,-3
413,-3
414,-2
415,-3
416,2
417,1
418,0
419,1
420,-1
421,1
422,2
423,1
424,0
425,2
426,3
427,4
428,6
429,3
430,1
431,1
432,-1
433,2
434,1
435,0
436,2
437,2
438,3
439,3
440,2
441,0
442,2
443,3
444,2
445,2
446,-1
447,-2
448,-3
449,-2
450,0
451,0
452,1
453,1
454,1
455,1
456,2
457,0
458,0
459,1
460,0
461,2
462,1
463,1
464,1
465,0
466,0
467,-1
468,-1
469,0
470,1
471,2
472,2
473,0
474,-2
475,1
476,1
477,2
478,3
479,0
480,0
481,0
482,-1
483,-1
484,0
485,-3
486,-2
487,-4
488,-5
489,-3
490,-2
491,-1
492,-1
493,1
494,1
495,1
