,0
0,-5
1,-3
2,-2
3,-1
4,1
5,1
6,0
7,0
8,-4
9,-6
10,-6
11,-4
12,0
13,13
14,12
15,13
16,14
17,2
18,1
19,-2
20,-3
21,0
22,-1
23,-1
24,-1
25,-1
26,1
27,0
28,-1
29,-3
30,-6
31,-3
32,-2
33,-2
34,-3
35,-4
36,-5
37,-7
38,-9
39,-8
40,-4
41,-1
42,3
43,4
44,3
45,7
46,9
47,9
48,5
49,3
50,1
51,-1
52,1
53,1
54,6
55,3
56,2
57,3
58,0
59,1
60,-1
61,-5
62,-5
63,-5
64,-3
65,-1
66,-2
67,-1
68,2
69,2
70,2
71,-2
72,-3
73,-8
74,-1
75,6
76,2
77,5
78,-3
79,-3
80,-4
81,-4
82,-7
83,-10
84,-4
85,-4
86,3
87,2
88,4
89,3
90,-1
91,1
92,2
93,1
94,3
95,5
96,3
97,5
98,3
99,3
100,0
101,0
102,2
103,-1
104,-3
105,-6
106,-10
107,-9
108,-5
109,-5
110,-1
111,0
112,-1
113,4
114,8
115,5
116,2
117,1
118,-4
119,-2
120,1
121,1
122,3
123,2
124,2
125,2
126,1
127,1
128,2
129,1
130,5
131,4
132,3
133,3
134,0
135,0
136,-3
137,-1
138,-1
139,-1
140,-2
141,-1
142,1
143,2
144,3
145,1
146,-1
147,-2
148,-1
149,3
150,3
151,2
152,2
153,-2
154,-4
155,-4
156,-4
157,-1
158,-3
159,-2
160,-3
161,-5
162,-1
163,-2
164,-1
165,1
166,0
167,4
168,4
169,0
170,-1
171,-5
172,-6
173,-3
174,-4
175,-4
176,-4
177,-5
178,-6
179,-5
180,-4
181,-2
182,-2
183,2
184,4
185,4
186,4
187,1
188,-2
189,-5
190,-4
191,0
192,0
193,3
194,5
195,1
196,3
197,3
198,2
199,4
200,9
201,7
202,10
203,7
204,2
205,-2
206,-7
207,-5
208,-3
209,0
210,0
211,5
212,3
213,3
214,8
215,2
216,3
217,2
218,-2
219,0
220,0
221,1
222,2
223,-1
224,2
225,2
226,3
227,2
228,-4
229,-4
230,-4
231,-2
232,3
233,3
234,2
235,0
236,-4
237,-4
238,-4
239,-1
240,-1
241,0
242,0
243,-1
244,1
245,1
246,1
247,4
248,1
249,5
250,5
251,4
252,5
253,3
254,2
255,1
256,-1
257,-1
258,1
259,1
260,2
261,2
262,0
263,3
264,2
265,2
266,3
267,-1
268,0
269,0
270,0
271,0
272,0
273,-1
274,-1
275,0
276,0
277,-1
278,-2
279,-4
280,-4
281,-2
282,-2
283,0
284,0
285,-1
286,0
287,2
288,3
289,2
290,1
291,-2
292,-5
293,-4
294,-2
295,-2
296,1
297,1
298,0
299,3
300,1
301,2
302,1
303,0
304,0
305,0
306,1
307,2
308,4
309,2
310,3
311,0
312,-1
313,0
314,0
315,3
316,3
317,2
318,3
319,0
320,0
321,0
322,0
323,-1
324,-3
325,-2
326,0
327,1
328,-1
329,-1
330,-3
331,0
332,2
333,3
334,3
335,0
336,0
337,0
338,0
339,1
340,1
341,0
342,0
343,-3
344,-5
345,-4
346,-3
347,-1
348,-1
349,1
350,2
351,2
352,3
353,-1
354,-3
355,-1
356,-1
357,-1
358,0
359,1
360,1
361,1
362,2
363,1
364,0
365,0
366,0
367,0
368,2
369,5
370,5
371,5
372,2
373,0
374,0
375,0
376,1
377,3
378,2
379,1
380,-1
381,-1
382,-1
383,-2
384,0
385,-1
386,-1
387,-2
388,-2
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,1
398,0
399,2
400,0
401,0
402,-1
403,-2
404,0
405,1
406,2
407,1
408,1
409,1
410,1
411,3
412,1
413,2
414,0
415,0
416,1
417,0
418,1
419,0
420,0
421,-2
422,-2
423,-1
424,-2
425,0
426,-2
427,-4
428,-4
429,-5
430,-3
431,-1
432,-1
433,1
434,0
435,0
436,2
437,2
438,2
439,2
440,1
441,1
442,1
443,1
444,2
445,0
446,-2
447,-3
448,-4
449,-1
450,1
451,-1
452,-1
453,-1
454,-1
455,3
456,6
457,5
458,4
459,3
460,0
461,-1
462,1
463,0
464,1
465,3
466,1
467,2
468,1
469,2
470,2
471,2
472,2
473,0
474,0
475,1
476,1
477,1
478,0
479,-1
480,0
481,1
482,1
483,2
484,3
485,1
486,1
487,0
488,-1
489,-1
490,1
491,0
492,0
493,1
494,0
495,1
