,0
0,4
1,7
2,4
3,3
4,5
5,2
6,3
7,4
8,0
9,0
10,2
11,1
12,4
13,3
14,1
15,9
16,7
17,6
18,7
19,2
20,0
21,0
22,-3
23,-2
24,-1
25,-1
26,0
27,-2
28,-2
29,-2
30,-2
31,-3
32,1
33,3
34,3
35,6
36,4
37,7
38,10
39,9
40,2
41,2
42,-3
43,-7
44,-7
45,-10
46,-7
47,-4
48,6
49,6
50,5
51,6
52,4
53,1
54,-1
55,0
56,-3
57,0
58,1
59,-1
60,1
61,2
62,4
63,1
64,2
65,2
66,1
67,6
68,3
69,1
70,-1
71,-4
72,-6
73,-6
74,-3
75,2
76,4
77,5
78,4
79,5
80,6
81,6
82,-4
83,-7
84,-4
85,-5
86,6
87,8
88,7
89,5
90,3
91,1
92,2
93,4
94,6
95,5
96,4
97,2
98,2
99,1
100,2
101,3
102,6
103,7
104,3
105,2
106,-7
107,-8
108,-7
109,-9
110,-10
111,-5
112,-7
113,-7
114,1
115,-3
116,4
117,3
118,-1
119,-2
120,-7
121,-5
122,0
123,-2
124,1
125,1
126,-1
127,-3
128,-1
129,2
130,4
131,7
132,4
133,1
134,2
135,0
136,4
137,6
138,8
139,5
140,3
141,-2
142,-10
143,-6
144,-5
145,0
146,5
147,6
148,7
149,3
150,1
151,-1
152,0
153,2
154,3
155,6
156,4
157,5
158,4
159,2
160,-2
161,-4
162,-4
163,-5
164,-1
165,-2
166,1
167,1
168,3
169,1
170,3
171,-2
172,-5
173,-2
174,-5
175,-4
176,-3
177,-8
178,-9
179,-6
180,-2
181,3
182,4
183,7
184,7
185,12
186,17
187,10
188,4
189,-1
190,-4
191,1
192,0
193,3
194,2
195,2
196,5
197,5
198,6
199,2
200,3
201,2
202,4
203,5
204,4
205,2
206,0
207,1
208,2
209,4
210,-2
211,-2
212,0
213,0
214,6
215,3
216,0
217,-1
218,-3
219,1
220,0
221,1
222,-1
223,-3
224,-2
225,-2
226,0
227,-3
228,-7
229,-6
230,-5
231,-3
232,2
233,3
234,2
235,2
236,-1
237,-2
238,0
239,2
240,1
241,3
242,3
243,0
244,3
245,1
246,-3
247,-1
248,0
249,0
250,2
251,3
252,2
253,2
254,4
255,3
256,-1
257,-2
258,0
259,0
260,3
261,2
262,4
263,3
264,0
265,2
266,-3
267,-4
268,-1
269,-4
270,0
271,2
272,2
273,7
274,3
275,3
276,2
277,-2
278,-6
279,-5
280,-5
281,-4
282,0
283,-1
284,0
285,0
286,1
287,2
288,4
289,1
290,-1
291,-3
292,-5
293,-5
294,-3
295,-7
296,-6
297,-6
298,-4
299,5
300,4
301,4
302,1
303,-1
304,2
305,5
306,6
307,4
308,8
309,6
310,7
311,5
312,-1
313,0
314,-2
315,1
316,1
317,-1
318,1
319,1
320,0
321,1
322,1
323,0
324,0
325,1
326,0
327,-2
328,-5
329,-8
330,-10
331,-5
332,-1
333,1
334,2
335,-3
336,-3
337,-3
338,-4
339,0
340,1
341,1
342,2
343,2
344,2
345,-1
346,0
347,-2
348,-5
349,-2
350,1
351,1
352,4
353,5
354,2
355,2
356,0
357,-2
358,-3
359,-1
360,-1
361,-3
362,-1
363,-2
364,-3
365,2
366,1
367,2
368,4
369,3
370,3
371,1
372,-4
373,-4
374,-3
375,-1
376,3
377,1
378,-4
379,-4
380,-5
381,-3
382,2
383,2
384,5
385,4
386,2
387,1
388,-1
389,1
390,1
391,0
392,3
393,0
394,1
395,2
396,2
397,3
398,4
399,4
400,0
401,-3
402,-2
403,-1
404,1
405,2
406,-1
407,-3
408,0
409,1
410,2
411,4
412,3
413,4
414,3
415,3
416,2
417,2
418,1
419,3
420,2
421,3
422,2
423,0
424,1
425,-2
426,-2
427,-2
428,-1
429,0
430,5
431,4
432,1
433,-1
434,-4
435,-7
436,-7
437,-7
438,-4
439,-1
440,-2
441,-1
442,-1
443,0
444,5
445,6
446,3
447,1
448,-2
449,-4
450,-4
451,-3
452,-4
453,-2
454,-3
455,-2
456,3
457,2
458,0
459,-1
460,-6
461,-4
462,-2
463,1
464,2
465,2
466,0
467,1
468,0
469,1
470,2
471,0
472,-1
473,-1
474,-2
475,-2
476,-1
477,-1
478,-2
479,-4
480,-4
481,-3
482,-1
483,-1
484,1
485,2
486,1
487,4
488,4
489,0
490,1
491,0
492,-1
493,0
494,-2
495,-2
