,0
0,-1.69864e-05
1,-1.38905e-05
2,-1.03481e-05
3,-1.0115e-06
4,2.2157e-06
5,-5.336e-07
6,3.533e-07
7,7.828e-07
8,-5.578e-07
9,2.6537e-06
10,1.16398e-05
11,1.66234e-05
12,1.07961e-05
13,7.2362e-06
14,1.06746e-05
15,2.10468e-05
16,2.18708e-05
17,-1.7531e-06
18,-8.6744e-06
19,-1.09255e-05
20,-1.7076e-05
21,-6.9643e-06
22,-8.1001e-06
23,-6.8065e-06
24,-1.37647e-05
25,-1.2054e-05
26,-7.6032e-06
27,-6.4487e-06
28,-9.8217e-06
29,-1.15747e-05
30,-1.03767e-05
31,-9.7207e-06
32,-1.28184e-05
33,-1.24526e-05
34,-5.2924e-06
35,-3.0401e-06
36,-5.528e-06
37,-9.068e-07
38,2.244e-06
39,2.7351e-06
40,4.0178e-06
41,1.19492e-05
42,1.89332e-05
43,1.98734e-05
44,1.57372e-05
45,2.05434e-05
46,1.90782e-05
47,2.97392e-05
48,3.01824e-05
49,2.08306e-05
50,1.24412e-05
51,1.04002e-05
52,6.0855e-06
53,-4.194e-06
54,-3.1792e-06
55,-5.1403e-06
56,-1.23856e-05
57,-1.50962e-05
58,-1.68774e-05
59,-1.53394e-05
60,-9.286e-06
61,-1.45849e-05
62,-1.60131e-05
63,-1.88762e-05
64,-1.71354e-05
65,-6.4585e-06
66,-9.336e-06
67,-6.2573e-06
68,-9.0933e-06
69,-3.9998e-06
70,-6.4509e-06
71,-6.4327e-06
72,-1.13621e-05
73,-1.0705e-05
74,-1.3652e-05
75,-1.02956e-05
76,-1.34923e-05
77,-1.26033e-05
78,-8.9741e-06
79,-2.03749e-05
80,-1.46e-05
81,-1.45096e-05
82,-1.35739e-05
83,-2.41615e-05
84,-1.71492e-05
85,-1.47569e-05
86,-2.627e-06
87,-5.4185e-06
88,2.948e-06
89,1.18317e-05
90,-1.9307e-06
91,8.24e-07
92,-7.669e-07
93,1.31047e-05
94,7.5425e-06
95,-5.031e-07
96,-9.0993e-06
97,-8.8814e-06
98,-5.5062e-06
99,-1.25597e-05
100,-1.3314e-05
101,-1.58518e-05
102,-1.80223e-05
103,-1.76851e-05
104,-4.1294e-06
105,-6.3098e-06
106,-1.6636e-05
107,-1.3043e-05
108,-5.9314e-06
109,2.5052e-06
110,1.30736e-05
111,1.35828e-05
112,1.63161e-05
113,2.60427e-05
114,2.08737e-05
115,1.27467e-05
116,1.4104e-05
117,1.29254e-05
118,1.10412e-05
119,6.5708e-06
120,1.61721e-05
121,2.10881e-05
122,2.83468e-05
123,2.25121e-05
124,2.10167e-05
125,1.5597e-05
126,1.31518e-05
127,1.25463e-05
128,1.71633e-05
129,2.28514e-05
130,2.39872e-05
131,2.1186e-05
132,2.79229e-05
133,3.23298e-05
134,2.31598e-05
135,1.89909e-05
136,1.99372e-05
137,2.53547e-05
138,2.82189e-05
139,3.99507e-05
140,2.89302e-05
141,2.17118e-05
142,1.88794e-05
143,1.44286e-05
144,1.11841e-05
145,2.4378e-06
146,3.5846e-06
147,9.0593e-06
148,-1.5704e-06
149,-4.7876e-06
150,-1.31568e-05
151,-1.26945e-05
152,-1.88873e-05
153,-2.23889e-05
154,-2.48797e-05
155,-2.1075e-05
156,-2.29853e-05
157,-2.06236e-05
158,-3.9064e-06
159,-1.08188e-05
160,-1.37781e-05
161,-1.93521e-05
162,-7.8938e-06
163,-8.3953e-06
164,-1.8479e-06
165,-3.4121e-06
166,-5.9664e-06
167,-5.5504e-06
168,-3.9962e-06
169,-4.9383e-06
170,-3.1222e-06
171,-1.15266e-05
172,-2.0028e-05
173,-9.8853e-06
174,-1.03951e-05
175,-7.4493e-06
176,-7.6313e-06
177,-1.66074e-05
178,-2.1816e-05
179,-1.89787e-05
180,-2.02744e-05
181,-6.5181e-06
182,-1.38604e-05
183,-1.08738e-05
184,-6.0926e-06
185,2.2183e-06
186,7.9818e-06
187,5.5229e-06
188,4.3695e-06
189,7.8815e-06
190,4.3994e-06
191,4.2773e-06
192,9.2193e-06
193,1.4539e-05
194,1.5178e-05
195,2.158e-06
196,5.004e-07
197,-2.6702e-06
198,-5.4693e-06
199,-4.5491e-06
200,-1.09854e-05
201,-1.262e-07
202,5.32e-07
203,-5.1517e-06
204,1.046e-06
205,6.5402e-06
206,-5.8839e-06
207,-2.3787e-06
208,-4.0358e-06
209,1.03274e-05
210,2.11659e-05
211,2.74464e-05
212,7.6105e-06
213,1.9818e-06
214,1.17345e-05
215,2.007e-06
216,-2.8725e-06
217,-2.3828e-06
218,-1.09537e-05
219,-1.11731e-05
220,-1.28927e-05
221,-1.1919e-05
222,-4.9672e-06
223,-4.9741e-06
224,-9.4907e-06
225,-1.16545e-05
226,-6.0253e-06
227,-1.09809e-05
228,-2.01723e-05
229,-1.48613e-05
230,-1.9871e-05
231,-2.29884e-05
232,-1.85341e-05
233,-1.73224e-05
234,-1.71062e-05
235,-1.57722e-05
236,-1.71962e-05
237,-2.12987e-05
238,-2.23066e-05
239,-7.7831e-06
240,-6.1166e-06
241,-2.551e-06
242,1.6988e-06
243,-2.8439e-06
244,4.3418e-06
245,6.3633e-06
246,7.3917e-06
247,1.57343e-05
248,1.02214e-05
249,1.35885e-05
250,2.61007e-05
251,2.33893e-05
252,3.47657e-05
253,2.29464e-05
254,1.99327e-05
255,2.0448e-05
256,1.5271e-05
257,1.46106e-05
258,1.27043e-05
259,2.24454e-05
260,2.3163e-05
261,2.57797e-05
262,2.30506e-05
263,1.75107e-05
264,1.84408e-05
265,1.86363e-05
266,1.75832e-05
267,1.16771e-05
268,1.64344e-05
269,7.4405e-06
270,7.2141e-06
271,-2.4383e-06
272,-1.3557e-05
273,-7.9114e-06
274,-1.37694e-05
275,-1.14277e-05
276,-8.9973e-06
277,2.83e-08
278,-2.28e-08
279,-2.8301e-06
280,-5.1902e-06
281,-5.7585e-06
282,-5.877e-06
283,2.3444e-06
284,4.9664e-06
285,4.6263e-06
286,1.19352e-05
287,7.1252e-06
288,1.34843e-05
289,1.87859e-05
290,1.56535e-05
291,1.16234e-05
292,1.07946e-05
293,1.26741e-05
294,1.03278e-05
295,1.97444e-05
296,2.78576e-05
297,2.08728e-05
298,2.37117e-05
299,2.71618e-05
300,1.52781e-05
301,2.1172e-05
302,9.6611e-06
303,3.1903e-06
304,4.508e-06
305,9.6281e-06
306,9.9825e-06
307,1.66441e-05
308,1.75871e-05
309,1.42916e-05
310,8.1401e-06
311,2.057e-07
312,-2.0024e-06
313,-3.7977e-06
314,0.0
315,5.7471e-06
316,1.37839e-05
317,1.66562e-05
318,1.73462e-05
319,2.8863e-06
320,7.14e-07
321,7.3246e-06
322,1.24904e-05
323,9.0895e-06
324,1.27875e-05
325,1.75503e-05
326,1.63524e-05
327,2.27817e-05
328,2.01851e-05
329,7.7478e-06
330,8.5195e-06
331,1.03635e-05
332,1.34493e-05
333,8.5325e-06
334,1.38447e-05
335,-6.065e-07
336,3.9391e-06
337,1.02565e-05
338,3.9247e-06
339,9.5063e-06
340,1.34795e-05
341,6.1338e-06
342,1.09795e-05
343,8.2493e-06
344,1.09529e-05
345,1.18271e-05
346,1.7614e-05
347,2.13002e-05
348,2.10049e-05
349,1.98217e-05
350,9.3347e-06
351,1.5422e-05
352,1.35109e-05
353,1.34256e-05
354,1.07575e-05
355,1.17907e-05
356,1.73662e-05
357,2.22388e-05
358,1.93755e-05
359,1.52346e-05
360,2.74332e-05
361,1.70289e-05
362,1.73636e-05
363,9.9406e-06
364,6.1413e-06
365,6.5612e-06
366,9.5144e-06
367,8.5385e-06
368,9.5974e-06
369,1.7201e-05
370,1.16847e-05
371,7.2292e-06
372,5.9247e-06
373,-2.8088e-06
374,6.391e-07
375,6.1154e-06
376,5.6244e-06
377,5.3308e-06
378,1.48888e-05
379,2.14815e-05
380,1.65458e-05
381,4.0286e-06
382,7.839e-07
383,-1.03282e-05
384,-1.51881e-05
385,-2.24703e-05
386,-2.46445e-05
387,-2.5454e-05
388,-2.81988e-05
389,-3.1734e-05
390,-3.83746e-05
391,-3.48132e-05
392,-3.25599e-05
393,-3.54091e-05
394,-4.20194e-05
395,-3.57616e-05
396,-1.85309e-05
397,-9.7369e-06
398,0.0
399,1.4377e-06
400,1.16029e-05
401,1.62627e-05
402,1.65311e-05
403,2.18006e-05
404,2.69876e-05
405,7.7426e-06
406,3.1559e-06
407,5.6139e-06
408,5.9708e-06
409,-1.0291e-06
410,-8.1763e-06
411,-1.0346e-06
412,-3.2874e-06
413,-3.2859e-06
414,-9.7054e-06
415,-2.07406e-05
416,-2.20467e-05
417,-2.57909e-05
418,-2.9433e-05
419,-1.69224e-05
420,-1.06243e-05
421,-1.32695e-05
422,-1.56907e-05
423,-4.8692e-06
424,-3.6496e-06
425,-3.923e-06
426,-2.061e-07
427,-8.388e-07
428,-1.887e-07
429,6.6136e-06
430,1.23026e-05
431,1.03977e-05
432,5.3863e-06
433,1.2853e-05
434,1.16422e-05
435,9.3674e-06
436,7.1497e-06
437,-1.3554e-06
438,1.0718e-06
439,-5.021e-07
440,-6.6484e-06
441,-1.49663e-05
442,-1.83764e-05
443,-1.58025e-05
444,-2.00687e-05
445,-1.1803e-05
446,-1.6551e-06
447,-2.5952e-06
448,3.2581e-06
449,8.4645e-06
450,1.50181e-05
451,1.76886e-05
452,2.05796e-05
453,2.652e-05
454,2.7517e-05
455,3.96167e-05
456,3.98619e-05
457,3.84897e-05
458,4.48983e-05
459,4.42644e-05
460,3.52368e-05
461,5.63034e-05
462,2.65828e-05
463,2.29335e-05
464,1.55995e-05
465,1.5924e-05
466,1.05956e-05
467,1.06708e-05
468,8.9601e-06
469,1.04649e-05
470,9.5834e-06
471,1.12595e-05
472,2.8223e-06
473,7.7044e-06
474,9.4313e-06
475,1.21649e-05
476,6.0582e-06
477,9.8293e-06
478,1.85685e-05
479,9.3219e-06
480,7.3791e-06
481,1.12061e-05
482,-1.2794e-06
