,0
0,-6.1186e-06
1,-2.8606e-06
2,2.22119e-05
3,5.11579e-05
4,1.70874e-05
5,1.79393e-05
6,2.23531e-05
7,6.50267e-05
8,6.40035e-05
9,5.55336e-05
10,0.000101594
11,0.0001572857
12,0.0001354079
13,0.0001408451
14,9.23288e-05
15,0.0001023074
16,0.0001142124
17,0.000118835
18,8.71353e-05
19,6.84127e-05
20,8.1221e-05
21,3.47964e-05
22,9.89099e-05
23,4.37307e-05
24,5.16696e-05
25,7.14182e-05
26,0.000131832
27,0.0001469524
28,8.36404e-05
29,2.50638e-05
30,5.12209e-05
31,8.3914e-05
32,9.0111e-05
33,7.00805e-05
34,0.0001007836
35,0.0001390185
36,0.0001159396
37,0.0001067307
38,0.0001965665
39,0.0001679811
40,0.0001177666
41,0.000194045
42,0.00021445
43,0.000303775
44,0.0002006792
45,0.0002620443
46,0.0001393294
47,0.000171655
48,8.06686e-05
49,0.0001023447
50,0.0001083897
51,0.0001745883
52,0.0001915549
53,0.0001113534
54,9.93997e-05
55,1.092e-07
56,1.97746e-05
57,-1.78456e-05
58,-4.45518e-05
59,-8.464e-05
60,-2.61916e-05
61,-7.43232e-05
62,-5.68329e-05
63,-8.08804e-05
64,-0.0001525062
65,-0.0001941058
66,-9.87442e-05
67,-0.0001978165
68,-0.0002469416
69,-0.0001186221
70,-0.0001377142
71,-9.90953e-05
72,-7.21768e-05
73,-6.60516e-05
74,-0.000108881
75,-9.4001e-06
76,-4.09471e-05
77,-1.00524e-05
78,-4.39309e-05
79,-5.57086e-05
80,7.53987e-05
81,4.35788e-05
82,-2.13464e-05
83,-3.64367e-05
84,-4.1645e-06
85,-3.18352e-05
86,-1.07079e-05
87,-3.91884e-05
88,-9.89657e-05
89,-0.0001173548
90,-0.0001208144
91,-0.000213424
92,-0.0001055858
93,-6.14246e-05
94,-0.0001040245
95,-0.0001335846
96,-0.000134067
97,-0.0001830496
98,-0.00021649
99,-0.0001530861
100,-0.0001048907
101,-5.08344e-05
102,1.78846e-05
103,3.23284e-05
104,5.66396e-05
105,0.0001147416
106,5.45705e-05
107,7.44191e-05
108,9.89094e-05
109,0.0002142857
110,0.0002473169
111,0.0002722153
112,0.0001993524
113,0.0003136034
114,0.0003108439
115,0.0001577216
116,8.2165e-05
117,2.95635e-05
118,5.19187e-05
119,-2.95391e-05
120,-2.23123e-05
121,-8.89817e-05
122,-9.2456e-05
