,0
0,-0.0012657041
1,-0.0003061018
2,-0.0003592253
3,0.000171929
4,0.0002120097
5,0.0002639334
6,2.88681e-05
7,-0.0001984503
8,-0.0002732515
9,-0.000199968
10,-0.0001644049
11,0.0004287625
12,-0.000103256
13,-0.000908892
14,-0.0008513982
15,-0.0005693142
16,-0.0004092788
17,-0.00150332
18,-0.0017662008
19,-0.0022758653
20,-0.0024311518
21,-0.0007289728
22,-0.0016726487
23,-0.0011937135
24,-0.0013311262
25,-0.0017151094
26,-0.0012366239
27,-0.00079372
28,-0.0009803868
29,-0.0012844061
30,-0.0009233575
31,-0.0006891232
32,-0.000590371
33,-0.000720909
34,-0.0002433082
35,-0.0005182073
36,-0.0005954958
37,-0.0002432987
38,-0.0003533826
39,-8.79673e-05
40,-0.000258802
41,-0.0003605505
42,-0.0001933853
43,0.0004131825
44,0.0003575559
45,0.0005427851
46,0.0009475286
47,0.0017175544
48,0.0015851404
49,0.0006535316
50,-7.843e-07
51,-2.21191e-05
52,-0.0003649312
53,-0.001091709
54,0.0001759891
55,-1.52652e-05
56,-0.0004304967
57,-0.0009457741
58,-0.0015249401
59,-0.0015254966
60,-0.0015957491
61,-0.0015480805
62,-0.001628473
63,-0.0021084359
64,-0.001507125
65,-0.0016265083
66,-0.0016283133
67,-0.0009019934
68,-0.0008738218
69,-0.0002498198
70,-0.0005681786
71,-0.0009783658
72,-0.0013755231
73,-0.0006576185
74,-0.0009981685
75,-0.0004984932
76,-0.0002515314
77,0.0001413882
78,0.0004493823
79,-0.0004338283
80,-5.61276e-05
81,-0.0002388999
82,-3.50802e-05
83,-0.0009480006
84,7.2982e-05
85,0.0007270097
86,0.0014411302
87,0.0002951839
88,0.0011387431
89,0.0015455104
90,0.0010321403
91,0.0017009848
92,0.0014752979
93,0.0017295123
94,0.0012455295
95,-0.000119153
96,-0.0007431002
97,-0.0008629426
98,-0.0006980488
99,-0.0007535539
100,-0.0007116548
101,-0.0010010293
102,-0.0016675084
103,-0.0025506057
104,-0.0012718967
105,-0.0021558407
106,-0.0025537766
107,-0.0029754919
108,-0.0023255635
109,-0.001026056
110,0.0001551033
111,0.0005256938
112,0.0005898248
113,0.0015119166
114,0.0012755158
115,0.0004754508
116,0.0003314945
117,-0.0001753717
118,-0.0003158783
119,-0.0003129018
120,0.0011225728
121,0.0012010339
122,0.0021319469
123,0.0013848831
124,0.0006609699
125,-0.0001507283
126,7.05751e-05
127,0.0005805839
128,0.0009723575
129,0.0018612565
130,0.0017557146
131,0.002146037
132,0.0018476836
133,0.0023454501
134,0.0021121708
135,0.0012683963
136,0.00111942
137,0.0018780599
138,0.0024976749
139,0.0028665016
140,0.0025604113
141,0.0018116554
142,0.0020616131
143,0.0006958211
144,6.70009e-05
145,-0.0010149404
146,-0.0013238495
147,-0.0009632968
148,-0.00148107
149,-0.0021287806
150,-0.0034512262
151,-0.0019239801
152,-0.0029187383
153,-0.0033821669
154,-0.0030907815
155,-0.0024355481
156,-0.0024332396
157,-0.0010097036
158,-0.0005250806
159,-0.001006443
160,-0.0011360005
161,-0.0003405148
162,-0.0005453536
163,-0.0012012012
164,-0.0012828304
165,-0.0017736256
166,-0.0014753606
167,-0.0017635516
168,-0.0013539474
169,-0.0015983664
170,-0.0020507111
171,-0.0022603922
172,-0.0026461082
173,-0.0022243921
174,-0.0016976404
175,-0.0003386558
176,-2.23178e-05
177,-0.00020853
178,-0.0001837388
179,-4.57972e-05
180,-2.98939e-05
181,0.0002148949
182,0.0003081413
183,0.0003462592
184,0.0002116228
185,0.0003902986
186,0.000750497
187,0.0005774328
188,0.0004411093
189,0.00069234
190,0.0005245146
191,0.0010410424
192,0.0013282808
193,0.0010349809
194,0.0012104389
195,0.0001862069
196,-4.10447e-05
197,-0.0001350574
198,0.0001647951
199,5.53113e-05
200,-0.0001263408
201,0.0004285013
202,0.0006065546
203,0.0004785683
204,0.0008641389
205,0.0009306707
206,0.0004433659
207,0.000361224
208,0.0001698811
209,0.0011523817
210,0.0022246519
211,0.0040532643
212,0.0012713841
213,0.0010285881
214,0.0009249367
215,0.0004207774
216,1.38595e-05
217,-0.0002470204
218,-0.0006786729
219,-0.000570553
220,-0.0002541388
221,-1.1172e-05
222,0.0005722716
223,0.0003378063
224,0.000127916
225,-0.0001016604
226,8.01461e-05
227,4.84546e-05
228,-0.0001732239
229,-0.0001056911
230,-0.0002160135
231,0.0002675175
232,0.0002690705
233,9.86783e-05
234,0.0002788467
235,0.0003383307
236,-5.60764e-05
237,-4.80154e-05
238,-0.0005514988
239,0.0001822611
240,0.0001097709
241,0.0005951383
242,0.0002009043
243,0.0001489302
244,0.000304427
245,0.0002360011
246,0.0002990672
247,0.0005755979
248,0.0005969391
249,0.000892661
250,0.0009892961
251,0.000748515
252,0.0015902999
253,0.0014512922
254,0.0008049257
255,0.0012299798
256,0.0012192148
257,0.0011863184
258,0.0012966536
259,0.0013019075
260,0.0017167434
261,0.0013429032
262,0.0008577609
263,0.0003255159
264,0.0007287061
265,0.0007956608
266,0.0004846279
267,-0.000190264
