,0
0,-3.91174e-05
1,-2.68489e-05
2,-2.67002e-05
3,-2.70989e-05
4,-1.82602e-05
5,-1.67636e-05
6,-8.1693e-06
7,-1.22201e-05
8,-1.54039e-05
9,-1.01136e-05
10,-4.71e-08
11,1.17914e-05
12,6.3888e-06
13,-2.0337e-06
14,2.3234e-06
15,7.4735e-06
16,1.2669e-05
17,7.2622e-06
18,-3.674e-07
19,-7.977e-07
20,-1.08064e-05
21,-2.4273e-06
22,-1.9872e-06
23,-2.647e-07
24,-1.13787e-05
25,-1.23105e-05
26,-1.11284e-05
27,-4.7411e-06
28,-1.22246e-05
29,-1.1777e-05
30,-6.4901e-06
31,-5.7626e-06
32,-1.08924e-05
33,-1.49334e-05
34,-3.825e-07
35,-1.0907e-06
36,-9.0793e-06
37,-9.3353e-06
38,2.0509e-06
39,-3.4424e-06
40,2.1418e-06
41,9.9376e-06
42,1.74435e-05
43,1.5823e-05
44,1.29378e-05
45,1.28271e-05
46,3.4353e-06
47,5.3099e-06
48,1.3315e-06
49,-1.07504e-05
50,-7.6195e-06
51,-1.0599e-05
52,-1.60868e-05
53,-1.82251e-05
54,-2.10877e-05
55,-2.932e-05
56,-3.62759e-05
57,-3.269e-05
58,-3.4125e-05
59,-4.03271e-05
60,-2.54171e-05
61,-2.6727e-05
62,-2.12236e-05
63,-2.43023e-05
64,-2.25684e-05
65,-1.53888e-05
66,-1.87301e-05
67,-7.6599e-06
68,-3.1413e-06
69,7.454e-07
70,5.29e-07
71,1.0049e-06
72,-7.3137e-06
73,-3.8547e-06
74,-1.4177e-06
75,-8.358e-07
76,3.2086e-06
77,6.9278e-06
78,1.06925e-05
79,4.6563e-06
80,7.8795e-06
81,2.23e-06
82,3.0596e-06
83,-6.6969e-06
84,-1.0915e-06
85,2.6477e-06
86,1.52374e-05
87,1.04954e-05
88,1.33868e-05
89,1.78002e-05
90,1.00862e-05
91,1.17961e-05
92,3.5559e-06
93,5.7557e-06
94,2.2351e-06
95,1.2924e-06
96,-8.2324e-06
97,-4.9604e-06
98,-3.4978e-06
99,-1.63033e-05
100,-1.9665e-05
101,-2.05854e-05
102,-2.01651e-05
103,-2.60002e-05
104,-2.17043e-05
105,-2.61038e-05
106,-2.56226e-05
107,-2.29593e-05
108,-2.11923e-05
109,-2.41069e-05
110,-1.23341e-05
111,-1.36206e-05
112,-1.19559e-05
113,-3.2372e-06
114,-6.0669e-06
115,-9.5412e-06
116,-7.8508e-06
117,-4.5872e-06
118,-7.85e-06
119,-5.2286e-06
120,5.9966e-06
121,1.29487e-05
122,1.61638e-05
123,1.87428e-05
124,1.76077e-05
125,1.43104e-05
126,1.34352e-05
127,1.55931e-05
128,2.28629e-05
129,2.11656e-05
130,1.86492e-05
131,1.48618e-05
132,1.8116e-05
133,2.22459e-05
134,1.53228e-05
135,6.8288e-06
136,9.5425e-06
137,1.29262e-05
138,1.83776e-05
139,2.56983e-05
140,1.72366e-05
141,1.03553e-05
142,7.8491e-06
143,-1.2347e-06
144,-1.04306e-05
145,-1.05806e-05
146,-1.97805e-05
147,-8.4076e-06
148,-1.35616e-05
149,-1.15304e-05
150,-1.75286e-05
151,-2.03872e-05
152,-1.95035e-05
153,-2.4457e-05
154,-3.1254e-05
155,-2.74852e-05
156,-1.98228e-05
157,-1.52378e-05
158,-1.14012e-05
159,-1.9105e-05
160,-2.13757e-05
161,-2.50801e-05
162,-1.9482e-05
163,-1.804e-05
164,-2.28637e-05
165,-1.266e-05
166,-1.26483e-05
167,-1.40039e-05
168,-1.49821e-05
169,-1.31124e-05
170,-1.992e-05
171,-2.07796e-05
172,-2.6058e-05
173,-1.30246e-05
174,-1.23768e-05
175,-1.00083e-05
176,-8.8074e-06
177,-1.11914e-05
178,-1.55379e-05
179,-1.47736e-05
180,-1.30511e-05
181,-6.8771e-06
182,-1.06849e-05
183,-1.19645e-05
184,-1.01296e-05
185,-9.1276e-06
186,-7.0268e-06
187,-7.6442e-06
188,-1.20568e-05
189,-7.5671e-06
190,-1.01803e-05
191,1.908e-07
192,5.3709e-06
193,3.3163e-06
194,2.1597e-06
195,-2.173e-07
196,4.3766e-06
197,4.9887e-06
198,8.2267e-06
199,8.7176e-06
200,3.4159e-06
201,8.9355e-06
202,1.22371e-05
203,1.10751e-05
204,1.52736e-05
205,1.76321e-05
206,1.44435e-05
207,1.84504e-05
208,2.48369e-05
209,2.99728e-05
210,1.99575e-05
211,4.97715e-05
212,2.22767e-05
213,1.84005e-05
214,2.00184e-05
215,1.50585e-05
216,4.0542e-06
217,1.914e-07
218,-9.3896e-06
219,-4.3258e-06
220,-6.0457e-06
221,-8.4323e-06
222,-2.936e-06
223,-4.9684e-06
224,-1.11032e-05
225,-1.47036e-05
226,-1.24602e-05
227,-1.90283e-05
228,-2.39933e-05
229,-2.21882e-05
230,-1.50438e-05
231,-1.98158e-05
232,-1.93981e-05
233,-1.91517e-05
234,-1.3638e-05
235,-1.0289e-05
236,-1.41937e-05
237,-1.47229e-05
238,-1.42982e-05
239,-3.663e-06
240,2.624e-06
241,8.4083e-06
242,9.0173e-06
243,4.4529e-06
244,1.5604e-05
245,1.6588e-05
246,1.83618e-05
247,1.08922e-05
248,1.0993e-05
249,1.39513e-05
