,0
0,-3.03114e-05
1,-2.66626e-05
2,-3.04582e-05
3,-2.49624e-05
4,-1.52219e-05
5,-2.39277e-05
6,-1.67182e-05
7,-9.9143e-06
8,-1.7755e-06
9,-9.549e-07
10,6.7201e-06
11,1.384e-05
12,2.39644e-05
13,1.13489e-05
14,1.82386e-05
15,3.12544e-05
16,3.50258e-05
17,1.66635e-05
18,4.7639e-06
19,-1.4971e-06
20,-8.9969e-06
21,1.24124e-05
22,-6.1703e-06
23,-7.5931e-06
24,-2.28863e-05
25,-1.93096e-05
26,-1.70251e-05
27,-1.25546e-05
28,-2.03833e-05
29,-2.23648e-05
30,-2.27691e-05
31,-5.7973e-06
32,-1.02758e-05
33,-1.12707e-05
34,3.3605e-06
35,2.0481e-06
36,4.7303e-06
37,7.4688e-06
38,1.5555e-05
39,2.00356e-05
40,2.77897e-05
41,3.17089e-05
42,5.57187e-05
43,5.51007e-05
44,4.54092e-05
45,3.46817e-05
46,2.91499e-05
47,3.80277e-05
48,4.20593e-05
49,2.03804e-05
50,1.9227e-06
51,-5.0928e-06
52,-1.52819e-05
53,-2.64239e-05
54,-2.28714e-05
55,-1.51901e-05
56,-2.53111e-05
57,-3.48282e-05
58,-2.03911e-05
59,-2.06272e-05
60,-2.29795e-05
61,-2.6287e-05
62,-3.60087e-05
63,-3.1807e-05
64,-2.88634e-05
65,-1.12346e-05
66,-1.10686e-05
67,-1.78912e-05
68,-3.3538e-05
69,-2.67369e-05
70,-2.44473e-05
71,-3.05971e-05
72,-3.85018e-05
73,-4.28135e-05
74,-3.91326e-05
75,-2.83429e-05
76,-3.52355e-05
77,-3.83285e-05
78,-2.98242e-05
79,-3.45913e-05
80,-1.92417e-05
81,-1.6995e-05
82,-1.54827e-05
83,-2.12078e-05
84,-1.03415e-05
85,-3.9677e-06
86,6.7905e-06
87,7.8474e-06
88,1.27893e-05
89,1.84765e-05
90,9.5181e-06
91,1.0335e-05
92,8.96e-06
93,2.16706e-05
94,1.31732e-05
95,2.3606e-06
96,-3.9183e-06
97,-2.5671e-06
98,1.0469e-06
99,-9.0283e-06
100,-8.9504e-06
101,-1.62621e-05
102,-2.12025e-05
103,-2.03123e-05
104,-8.4302e-06
105,-1.86213e-05
106,-2.08158e-05
107,-1.84707e-05
108,-1.01761e-05
109,-1.233e-07
110,1.28356e-05
111,1.79513e-05
112,1.4964e-05
113,2.59844e-05
114,1.03388e-05
115,9.948e-07
116,2.3633e-06
117,-3.5377e-06
118,-3.4512e-06
119,9.135e-07
120,1.77242e-05
121,1.94336e-05
122,3.05777e-05
123,2.49884e-05
124,1.52127e-05
125,7.156e-07
126,7.5347e-06
127,8.195e-06
128,1.55817e-05
129,3.40547e-05
130,3.83706e-05
131,4.02212e-05
132,4.11136e-05
133,5.33471e-05
134,4.05905e-05
135,3.72452e-05
136,3.2972e-05
137,4.06086e-05
138,4.70368e-05
139,7.27164e-05
140,4.02857e-05
141,4.11632e-05
142,1.96216e-05
143,5.9423e-06
144,-1.8628e-06
145,-1.62749e-05
146,-2.27043e-05
147,-9.3876e-06
148,-1.62407e-05
149,-1.67146e-05
150,-2.83723e-05
151,-2.58534e-05
152,-2.77738e-05
153,-2.72855e-05
154,-4.25395e-05
155,-2.63464e-05
156,-2.83711e-05
157,-1.0043e-05
158,6.0007e-06
159,-9.3543e-06
160,-1.15851e-05
161,-2.0799e-05
162,-6.242e-06
163,-1.08503e-05
164,-1.37112e-05
165,-1.40686e-05
166,-1.90298e-05
167,-2.1082e-05
168,-1.74736e-05
169,-2.50771e-05
170,-2.11786e-05
171,-3.13212e-05
172,-3.94253e-05
173,-2.14754e-05
174,-1.18766e-05
175,-1.10541e-05
176,-7.6443e-06
177,-1.84718e-05
178,-2.0123e-05
179,-1.1217e-05
180,-9.6438e-06
181,-1.439e-06
182,-1.21794e-05
183,-9.875e-07
184,-2.515e-06
185,5.721e-07
186,4.6111e-06
187,6.1803e-06
188,-2.564e-06
189,-6.872e-07
190,-6.744e-06
191,-2.7777e-06
192,-4.5981e-06
193,-9.8437e-06
194,-1.0504e-05
195,-1.50337e-05
196,-1.28765e-05
197,-1.76683e-05
198,-3.33309e-05
199,-2.82853e-05
200,-3.20608e-05
201,-1.30842e-05
202,-1.70534e-05
203,-2.22137e-05
204,-1.50176e-05
205,-1.57346e-05
206,-1.0361e-05
207,-1.14596e-05
208,-5.1346e-06
209,1.7366e-06
210,8.1293e-06
211,6.9253e-06
212,4.5635e-06
213,3.7214e-06
214,1.01162e-05
215,-1.6499e-06
216,-9.1867e-06
217,-1.04563e-05
218,-1.41583e-05
219,-1.2719e-05
220,-6.1387e-06
221,-7.4927e-06
222,-3.0807e-06
223,-7.085e-07
224,-3.6274e-06
225,-5.8489e-06
226,-4.1671e-06
227,-8.9786e-06
228,-1.5266e-05
229,-1.47299e-05
230,-1.26978e-05
231,-1.0029e-05
232,-9.095e-06
233,-1.14033e-05
234,-1.1219e-05
235,-8.1569e-06
236,-6.1664e-06
237,-1.06699e-05
238,-1.24539e-05
239,-2.845e-06
240,-7.661e-07
241,7.3056e-06
242,9.5999e-06
243,9.9701e-06
244,1.67506e-05
245,1.48443e-05
246,1.56088e-05
247,1.71877e-05
248,1.93683e-05
249,1.76729e-05
250,1.56881e-05
251,1.2773e-05
252,2.34956e-05
253,1.84106e-05
254,1.86584e-05
255,1.99317e-05
256,1.25046e-05
257,1.11537e-05
258,3.6502e-06
259,7.4806e-06
260,5.5648e-06
261,8.395e-06
262,1.532e-06
263,1.706e-07
264,6.0937e-06
265,4.4838e-06
266,4.0452e-06
267,-7.2596e-06
268,-5.5806e-06
269,-1.51112e-05
270,-1.57221e-05
271,-3.52611e-05
272,-1.73345e-05
273,-1.77374e-05
274,-1.79257e-05
275,-1.50671e-05
276,-1.10071e-05
277,-4.8601e-06
278,-1.11106e-05
279,-1.25253e-05
280,-1.6125e-05
281,-1.04947e-05
282,-9.2657e-06
283,-2.9697e-06
284,-1.4939e-06
285,5.372e-07
286,7.7445e-06
287,5.945e-06
288,5.5779e-06
289,1.44034e-05
290,1.1431e-05
291,6.6193e-06
292,7.8081e-06
293,9.6102e-06
294,8.5744e-06
295,1.60696e-05
296,2.1013e-05
297,1.91365e-05
298,1.83053e-05
299,1.5926e-05
300,2.3464e-06
301,7.0992e-06
302,1.19696e-05
303,-1.142e-06
304,-1.5334e-06
305,5.4325e-06
306,8.513e-06
307,1.17737e-05
308,1.27166e-05
309,6.9351e-06
310,3.1371e-06
311,4.2294e-06
312,5.4617e-06
313,-2.1222e-06
314,5.2572e-06
315,5.1747e-06
316,2.5122e-06
317,2.8503e-06
318,7.8944e-06
319,1.9215e-06
320,3.2859e-06
321,5.1306e-06
322,7.1413e-06
323,5.262e-06
324,8.1142e-06
325,6.967e-06
326,8.1309e-06
327,1.62796e-05
328,1.17807e-05
329,8.6513e-06
330,1.73559e-05
331,2.58228e-05
332,1.60868e-05
333,1.6781e-05
334,2.00826e-05
335,1.40458e-05
336,1.47551e-05
337,2.3385e-05
338,1.42718e-05
339,1.94758e-05
340,2.28539e-05
341,2.94056e-05
342,2.89089e-05
343,5.9898e-06
344,9.8135e-06
345,1.39879e-05
346,2.25174e-05
347,2.30793e-05
348,1.84463e-05
349,2.00303e-05
350,6.3905e-06
351,7.2369e-06
352,8.1515e-06
353,8.1678e-06
354,7.0698e-06
355,3.3839e-06
356,5.4913e-06
357,1.49762e-05
358,8.9546e-06
359,1.276e-05
360,1.29136e-05
361,1.03634e-05
362,4.7736e-06
363,6.368e-06
364,2.6499e-06
365,6.0058e-06
366,1.10509e-05
367,6.7843e-06
368,9.8367e-06
369,1.28586e-05
370,6.6401e-06
371,1.15897e-05
372,3.4436e-06
373,-2.701e-07
374,-3.1146e-06
375,-3.1858e-06
376,-3.895e-07
377,-2.9082e-06
378,1.09678e-05
379,1.16941e-05
380,2.1141e-06
381,-1.19347e-05
382,-6.5135e-06
383,3.9297e-06
384,1.31858e-05
385,8.857e-06
386,1.57745e-05
387,1.45261e-05
388,2.24364e-05
389,2.42637e-05
390,2.22526e-05
391,1.63644e-05
392,3.6605e-06
393,-9.491e-07
