,0
0,-0.0033956182
1,-0.0016363271
2,-0.002624989
3,-0.0018490117
4,-0.0008295274
5,-0.0010805241
6,-0.0007196334
7,-0.0005058493
8,-0.0002861592
9,0.0004991698
10,0.0023568977
11,0.0027390474
12,0.0022094703
13,0.0011055313
14,0.0021823648
15,0.0012612297
16,0.0022681087
17,0.0008359783
18,-0.0002831338
19,-0.0007152049
20,-0.0016162562
21,-2.29358e-05
22,-9.11528e-05
23,-7.1986e-06
24,-0.0011454735
25,-0.0011120298
26,-0.0004566417
27,0.0004776906
28,-0.0002819506
29,-0.0009409847
30,-7.9787e-06
31,0.0004279874
32,-0.0001019533
33,-0.000362606
34,0.0009242746
35,0.0008722075
36,0.0007642786
37,0.0005238577
38,0.0012943503
39,0.0014603883
40,0.0016995448
41,0.0012626845
42,0.004067272
43,0.0040188535
44,0.0020090431
45,0.0024218834
46,0.0024448944
47,0.0036927522
48,0.0026656151
49,0.0005344322
50,0.0001356246
51,-0.0001875415
52,-0.0006660477
53,-0.0012465975
54,-0.0007867435
55,-0.0015947893
56,-0.0019160124
57,-0.0020692398
58,-0.0025221639
59,-0.0022859195
60,-0.0017315252
61,-0.0018120965
62,-0.0016617827
63,-0.0014395822
64,-0.0020965153
65,-0.0010293723
66,-0.0011912058
67,-0.0001519177
68,-0.0002180028
69,0.0004435889
70,0.0001786259
71,-0.0002945288
72,-0.001100286
73,-0.0005322674
74,-0.0009163541
75,-0.0005748883
76,1.79958e-05
77,0.0015187822
78,0.0018783433
79,-0.0002278438
80,-0.0002235982
81,-0.0007852337
82,-0.0008921927
83,-0.0030239425
84,-0.002584912
85,-0.0007062879
86,0.0005206295
87,-3.9988e-05
88,0.0003379667
89,0.0001671867
90,-0.001156016
91,-0.0014041355
92,-0.0021094684
93,-0.0002070488
94,0.0005083302
95,-7.61929e-05
96,-0.0002634492
97,-0.0001575062
98,-0.0002450238
99,-0.0013696166
100,-0.0018552317
101,-0.0031432355
102,-0.0028316007
103,-0.0043406955
104,-0.0022494222
105,-0.0037063678
106,-0.0042854407
107,-0.0046808363
108,-0.0033515087
109,-0.0026605677
110,-0.0017208247
111,-0.0013932535
112,-0.0010755664
113,0.0004239755
114,-0.0005245
115,-0.0010180065
116,-0.000782338
117,-0.0005752368
118,-0.0007518435
119,-0.0007809555
120,0.0003720145
121,0.0007493069
122,0.002203134
123,0.0018665697
124,0.0023497776
125,0.0015252255
126,0.0010945951
127,0.0022586938
128,0.0027377989
129,0.0046051371
130,0.0036398409
131,0.0031053672
132,0.0034431965
133,0.0040440203
134,0.0025601224
135,0.0010078717
136,0.0016122752
137,0.0022175498
138,0.0023582803
139,0.0032123665
140,0.0015518874
141,0.000251288
142,0.0009416429
143,0.0006854577
144,-0.0001277284
145,-0.0018116183
146,-0.001777329
147,-7.26434e-05
148,-0.0009236041
149,-0.0010802171
150,-0.0023153922
151,-0.0013727847
152,-0.0019943627
153,-0.0013971207
154,-0.0020773708
155,-0.0015738748
156,-0.0019849124
157,-0.0010873626
158,1.65226e-05
159,-0.0007149362
160,-0.0009376365
161,-0.0013143216
162,-0.0002992612
163,-0.0006607979
164,-0.0007483073
165,-0.0006013837
166,-0.000424384
167,-0.0008954771
168,-0.0015928929
169,-0.0019652661
170,-0.0014653143
171,-0.0016468735
172,-0.0028747886
173,-0.0019269985
174,-0.0009469516
175,-0.0005861677
176,-0.001057971
177,-0.0012686016
178,-0.001485622
179,-0.0017763674
180,-0.0030320351
181,-0.0010643317
182,-0.0014941269
183,-0.0011811774
184,-0.0014837029
185,-0.0011321052
186,-0.0005683275
187,-0.0002535211
188,-0.0008949262
189,-0.0013142607
190,-0.0006063296
191,-0.0002663137
192,0.001477873
193,0.0019814113
194,0.0022175937
195,0.0008310394
196,0.0006907523
197,0.0010044651
198,0.0022140555
199,0.0021882081
200,0.0016028698
201,0.0016226082
202,0.0022336127
203,0.0023852277
204,0.0026300665
205,0.0021499705
206,0.0018660123
207,0.0030049532
208,0.0025797444
209,0.0037938689
210,0.0062167001
211,0.0084037559
212,0.001938311
213,0.0030006302
214,0.0016703626
215,0.0018621229
216,0.0011397516
217,0.0009106103
218,6.86848e-05
219,0.0003976035
220,0.0006687505
221,0.0007740089
222,0.001622822
223,0.0009833226
224,0.0011232892
225,0.0007386918
226,0.0006595491
227,0.0012685318
228,-8.04532e-05
229,0.0005737929
230,0.0005948536
231,0.0018603299
232,0.0018804341
233,0.0019461389
234,0.0016741857
235,0.001286867
236,7.03911e-05
237,-0.0003478974
238,-0.0008809977
239,0.0009718953
240,0.0006627097
241,0.0005542736
242,0.0014825349
243,0.0010377165
244,0.0012897643
245,0.0016551942
246,0.0012921098
247,0.0007901463
248,0.0005525054
249,0.0009390072
250,0.0022314647
251,0.0018073514
252,0.0017365953
253,0.000129239
254,0.0002626001
255,0.0004152789
256,0.0009064889
257,0.0009632876
258,0.0009532289
259,0.0011529211
260,0.0016345473
261,0.0024610857
262,0.0014859054
263,0.0005400523
264,0.0007925631
265,0.0009253884
266,0.0007025152
267,0.0005352742
268,0.0009729159
269,-0.0001490962
270,-0.0011071353
271,-0.0011341676
272,-0.0012655507
273,-0.0008460237
274,-0.0007084322
275,-0.000514079
276,-2.68847e-05
277,0.0008381791
278,0.0012448465
279,0.0011549602
280,0.0011486228
281,0.0009869116
282,0.0007207449
283,0.0015270077
284,0.002125671
285,0.0017985455
286,0.0018113886
287,0.000561265
288,0.0018687396
289,0.001868
290,0.0013950153
291,0.0003983506
292,0.0004440446
293,0.0004120487
294,-0.0002411769
295,0.0002769464
296,0.0010667658
297,0.001313753
298,0.0009118735
299,0.0009419912
300,-0.0001715164
301,-0.0002594356
302,-0.00075
303,-0.0009050733
304,-0.0009920635
305,-0.0008549088
306,-0.0009378758
307,3.86334e-05
308,0.0004468642
309,0.0004653725
310,-3.55749e-05
311,-0.0005747282
312,-0.0006321932
313,-0.0005154204
314,-0.0007352
315,-0.0002284932
316,-5.37601e-05
317,0.0009471521
318,-0.000151638
319,-0.0005485466
320,-0.0005219407
321,0.0001093951
322,-0.0002303718
323,-0.0009270159
324,-0.0003468238
325,-0.0003568954
326,-0.0002796851
327,0.0011981661
328,0.0016616556
329,0.0015940828
330,0.0019182235
331,0.0018999303
332,0.003654192
333,0.0020001108
334,0.0029672907
335,0.0019726773
336,0.0021923636
337,0.0015568975
338,0.0019881553
339,0.0019780424
340,0.0028359635
341,0.0061025093
342,0.0038680168
343,0.0045964706
344,0.0056766626
345,0.006263188
346,0.0034132968
347,0.0041579892
348,0.004675811
349,0.0045034601
350,0.0007986294
351,0.0023134193
352,0.0018743812
353,0.0023908967
354,0.0003825487
355,0.001092551
356,0.0024860571
357,0.0030300849
358,0.0026515864
359,0.0028696141
360,0.0028048241
361,0.0010457064
362,-0.0013847696
363,-0.0016329055
364,0.0004598001
365,0.0007230238
366,0.0014849097
367,0.0018311979
368,0.0035545587
369,0.003274917
370,0.0022220409
371,0.0021929679
372,0.0009024338
373,0.0003909185
374,0.0012454982
375,0.0027726774
376,0.0022458117
377,0.0021124897
378,0.0011622585
379,0.0010988497
380,0.0015114566
381,7.14365e-05
382,-0.0001947377
383,-0.0013428815
384,-0.0005652252
385,-0.0012797387
386,-0.0015089981
387,-0.0026409393
388,-0.0034989913
389,-0.0035758706
390,-0.0035675098
391,-0.0037449228
392,-0.003742979
393,-0.0040599302
394,-0.0018096095
395,-0.0021156773
396,-0.0004225066
397,-0.0008702399
398,-0.0018522807
399,-0.0015280302
400,0.0013949393
401,0.0021038134
402,0.0016701991
403,0.000280712
404,0.0011834892
405,0.0019302949
406,0.0010666091
407,0.0018673409
408,-0.0003781031
409,-0.0006690647
410,-0.0013443979
411,0.000865737
412,-2.794e-06
413,-0.0006632005
414,-0.0030725278
415,-0.0041378554
416,-0.0020320945
417,-0.0013877683
418,-0.0021350971
419,-0.0028977949
420,-0.0023071912
421,-0.0012861557
422,-0.0014445254
423,-0.0003386481
424,-0.0017765578
425,-0.002613754
426,-0.0020132473
427,-6.6357e-06
428,0.0007125635
429,0.0018827286
430,0.0045974606
431,0.0017359987
432,0.0017331873
433,0.004065721
434,0.0020382937
435,0.0026847677
436,0.0013929376
437,0.0006898983
438,0.0028664317
439,0.0038097783
440,0.0011968085
441,-0.000659813
442,-0.0009563501
443,-0.0008176552
444,-0.0022404557
445,-0.0028050739
446,-0.0006306306
447,-0.0010981088
448,-0.0002758353
449,0.0005546088
450,0.0028206806
451,0.0023478723
452,0.0026155161
453,0.0038785296
454,0.0051398309
455,0.0091912541
456,0.0046049317
457,0.006864925
458,0.0082269466
459,0.0029455057
460,0.0029706902
461,0.0041346403
462,0.0007125472
463,0.0012379244
464,0.000848377
465,0.0002880717
466,-0.0009255819
467,-0.0009140709
468,-0.0016071332
469,-0.0028791359
470,-0.000853
471,-0.0004777564
472,0.0003298941
473,0.001004632
474,0.0016349401
475,0.0018971388
476,0.0015079881
477,0.0036486363
478,0.0056374237
479,0.0054714248
480,0.008360989
481,0.010605139
482,0.0132763652
483,0.0113024183
484,0.0096187697
485,0.008578033
