,0
0,-0.0027187337
1,-0.0020800676
2,-0.0027298402
3,-0.002194944
4,-0.0005304954
5,-0.0005585378
6,-0.0001428796
7,0.0002052456
8,0.0007083019
9,0.0014772483
10,0.0020923393
11,0.0019967209
12,0.0014166243
13,0.0008826659
14,0.001650663
15,0.001514159
16,0.0016664784
17,0.0011118252
18,0.0003717455
19,-0.0002145363
20,-0.0012382507
21,-0.0005458424
22,-0.000109336
23,0.0001345012
24,7.4266e-05
25,-3.11102e-05
26,0.0003647645
27,0.000345413
28,0.0005432523
29,0.0002493356
30,0.0005269384
31,0.0009602295
32,0.0008195493
33,0.0011748718
34,0.0017802897
35,0.0012080737
36,0.0017237362
37,0.0011281894
38,0.0010019446
39,0.0017040788
40,0.0013065684
41,0.0019470945
42,0.0013271558
43,0.0019624532
44,0.0020350055
45,0.0020210879
46,0.0013573464
47,0.0024742695
48,0.0014365519
49,0.0016849135
50,0.0011654448
51,0.0009370967
52,0.0013284007
53,0.000871558
54,0.0012306256
55,0.001437743
56,0.0015152751
57,0.0007539664
58,0.0010069594
59,0.0014548598
60,0.0007549682
61,-0.0001295949
62,-0.000211444
63,-0.0010100126
64,-0.0013088079
65,-0.0020536178
66,-0.0021910377
67,-0.0016010777
68,-0.0021075897
69,-0.0017901184
70,-0.0017508172
71,-0.0021102
72,-0.0027712819
73,-0.0035762439
74,-0.0035283338
75,-0.0028867291
76,-0.0028910459
77,-0.0035652339
78,-0.0023263409
79,-0.0013461458
80,-0.0017989246
81,-0.0021239492
82,-0.002581905
83,-0.0029668337
84,-0.0023115562
85,-0.0006260984
86,-0.0004738094
87,-0.0007691265
88,-0.0013361214
89,2.78754e-05
90,-0.0007100861
91,-0.0009272965
92,-0.0007411209
93,0.0021956394
94,0.0015361943
95,0.0017749716
96,0.0007059806
97,0.0007421559
98,0.0008017065
99,-0.0004393449
100,-0.0006416625
101,-0.0001239362
102,0.0001570451
103,-0.0005999704
104,0.0002738769
105,0.0004403598
106,-0.0001743987
107,0.0001403261
108,0.0001811858
109,0.0008149151
110,0.0013967221
111,0.0016151704
112,0.0016426689
113,0.0018433162
114,0.0026661731
115,0.0014932687
116,0.0015509859
117,0.0009600065
118,0.0008733676
119,0.0013538412
120,0.0020844835
121,0.0030154536
122,0.0028238448
123,0.0023572857
124,0.0027176981
125,0.0005583543
126,0.001282462
127,0.0016483464
128,0.0019629369
129,0.002447695
130,0.0025390586
131,0.0020533869
132,0.0010267433
133,0.0014274029
134,0.0016241351
135,0.0006450754
136,0.0004664898
137,0.000140159
138,0.0004525076
139,0.0018160173
140,0.0012241793
141,0.0010614647
142,0.0011746542
143,0.0004619666
144,0.0001042506
145,-0.0003509934
146,-5.2365e-06
147,0.0006586665
148,-0.0005167479
149,-0.0002911577
150,-0.0008100603
151,-0.0004482063
152,-0.0003406998
153,-0.0013545775
154,-0.0017073549
155,-0.0014120028
156,-0.001924038
157,-0.0008995805
158,-0.0003776931
159,-0.0010664955
160,-0.0016973048
161,-0.0026131687
162,-0.0008909079
163,-0.001643655
164,-0.0012918453
165,-0.0013483146
166,-0.0012967987
167,-0.0009481572
168,-0.0009328069
169,-0.0020585309
170,-0.0016321554
171,-0.0028367025
172,-0.0026695941
173,-0.0013474449
174,-0.0009721456
175,-0.0014121056
176,-0.0008614802
177,-0.0014469842
178,-0.0019872548
179,-0.0008695652
180,-0.0009839033
181,4.54157e-05
182,-0.0010779458
183,-0.0006512515
184,-0.0007795064
185,-0.0006045048
186,-0.0004328751
187,1.75411e-05
188,0.0004429042
189,0.0008503449
190,0.0007851774
191,0.0017962705
192,0.0018566665
193,0.0013406623
194,0.002103007
195,0.0006435644
196,0.0015643653
197,0.0011251447
198,0.0007676817
199,0.0012567986
200,0.0015470893
201,0.001119969
202,0.0007854606
203,0.0006136688
204,0.0010814483
205,0.0014572426
206,0.0005324573
207,0.0013557183
208,0.0017882205
209,0.0025946603
210,0.0036259898
211,0.0061515722
212,0.002437808
213,0.0020810346
214,0.001325726
215,-0.0001288305
216,-0.00055863
217,-0.0008296339
218,-0.0014656697
219,-0.0019699894
220,-0.0013329886
221,-0.0009353851
222,-0.0015190652
223,-0.0016141927
224,-0.0023025641
225,-0.0019658493
226,-0.0013713029
227,-0.0035143358
228,-0.0039579676
229,-0.0027701039
230,-0.0018209958
231,-0.002050427
232,-0.0017842054
233,-0.002121441
234,-0.0016464164
235,-0.001425244
236,-0.0016854557
237,-0.0014618796
238,-0.0014889596
239,0.0003550101
240,0.0007032036
241,0.0013370507
242,0.0016283938
243,0.0012123818
244,0.0018287218
245,0.0015182804
246,0.0010553103
247,0.0008330294
248,0.0008827165
249,0.0012917989
250,0.002491723
251,0.002501128
252,0.0029573712
253,0.0009724202
254,0.0012802414
255,0.0014978431
256,0.0015652341
257,0.0017753782
258,0.0016002386
259,0.0016545026
260,0.0019083692
261,0.0016534975
262,0.0013662427
263,0.0005199115
264,0.0010154206
265,0.0010188499
266,0.0009447491
267,0.0001126374
268,0.0003678007
269,-0.0004559002
270,-0.0014294294
271,-0.0019013128
272,-0.0016017889
273,-0.001845908
274,-0.0016369513
275,-0.0013874837
276,-0.0006094486
277,-0.000448433
278,-0.0007305054
279,-0.0006599977
280,-0.0015821763
281,-0.0014643427
282,-0.0016613283
283,-0.0016042454
284,-0.0006199183
285,-0.0003261016
286,-6.6175e-05
287,5.051e-07
288,0.0003054563
289,0.0007109375
290,0.0001369547
291,0.000775273
292,0.0007234589
293,0.0005399077
294,5.04333e-05
295,0.0006707243
296,0.0012772566
297,0.0011594621
298,0.0008128775
299,0.0006125542
300,0.0004934329
301,-2.52752e-05
302,0.0002666909
303,0.0004892077
304,8.57683e-05
305,0.0006141831
306,-0.0002304065
307,4.95821e-05
308,0.0007338011
309,0.0004559519
310,0.0004662013
311,0.0006098369
312,0.0010159377
313,0.0002949885
314,-0.0001657535
315,0.0010898942
316,0.0007798871
317,-0.0002228577
318,0.0002730833
319,-0.0005328099
320,4.7075e-06
321,0.0003500761
322,0.0003064039
323,0.0003581881
324,-0.0003769084
325,-0.000316232
326,-0.0004151097
327,-7.0441e-06
328,0.0001993004
329,-0.0002454699
330,-0.0001726913
331,0.0002355605
332,-9.56889e-05
333,-0.0002255305
334,-0.0004610771
335,-0.0003556504
