,0
0,-0.0003611688
1,-0.000166208
2,-0.0001734287
3,-7.48646e-05
4,4.23478e-05
5,-4.25858e-05
6,-0.0001366898
7,-0.0001236493
8,-0.0001942848
9,-0.0002317518
10,-0.0001570523
11,-1.47355e-05
12,-1.80702e-05
13,-0.0001852895
14,-0.0001283204
15,5.11569e-05
16,-1.41389e-05
17,-0.0002505641
18,-0.0005348337
19,-0.0004385403
20,-0.0004428144
21,-7.19095e-05
22,-0.0001903102
23,-8.14705e-05
24,-6.78462e-05
25,-6.98856e-05
26,-0.0001969542
27,-7.17682e-05
28,-0.0001443884
29,-0.0002694131
30,-0.0001246857
31,2.1413e-06
32,2.03968e-05
33,-3.54779e-05
34,0.000106135
35,2.11801e-05
36,3.97083e-05
37,6.76726e-05
38,7.48988e-05
39,0.0001114151
40,7.56719e-05
41,0.0002643182
42,0.0004047586
43,0.0005406791
44,0.0003375912
45,0.0002987155
46,0.000201924
47,0.0003184141
48,0.0002895354
49,6.25633e-05
50,-0.0001337275
51,-0.0003553183
52,-0.0004246094
53,-0.0004399088
54,-0.0003373205
55,-0.000209092
56,-0.0004217138
57,-0.0005769977
58,-0.0004885302
59,-0.000477275
60,-0.0003847799
61,-0.0004615611
62,-0.000554269
63,-0.0004962035
64,-0.0002710325
65,-0.0001358481
66,-0.0002985599
67,-0.0002847859
68,-0.000325891
69,-0.0001353942
70,-0.0002041912
71,-0.0002393297
72,-0.0002779612
73,-0.000221894
74,-0.0002210496
75,-0.0001080736
76,-0.0001178516
77,-0.0001176517
78,-0.0001496372
79,-0.0003811172
80,-0.0002426571
81,-0.0001976027
82,-0.0002933906
83,-0.0004120721
84,-0.0001701
85,-0.0001080968
86,1.90268e-05
87,-3.8146e-05
88,3.99596e-05
89,0.0001454927
90,0.0001951431
91,0.000322625
92,0.0003699199
93,0.0005117086
94,0.0003721199
95,0.0002393136
96,5.32341e-05
97,8.76845e-05
98,0.0001149767
99,-3.22585e-05
100,-1.40731e-05
101,9.78209e-05
102,-0.0001469861
103,-0.0002114908
104,8.3422e-06
105,-2.52812e-05
106,-0.0002352818
107,-0.0003421479
108,-0.0002313563
109,-0.0002247019
110,0.0001337177
111,0.0002026878
112,0.0002022449
113,0.0005454482
114,0.0003008701
115,-7.0691e-06
116,-6.36053e-05
117,-0.0001970112
118,-0.0003070706
119,-0.0003514745
120,5.37339e-05
121,0.0002094093
122,0.0005226454
123,0.0003750624
124,0.0001154745
125,-5.84073e-05
126,7.37769e-05
127,0.0001269152
128,0.0002033085
129,0.000416552
130,0.0004701359
131,0.0004944438
132,0.000635423
133,0.0005447033
134,0.0004692652
135,-3.5887e-06
136,7.80054e-05
137,0.0001020335
138,0.0003275961
139,0.0007440852
140,0.0002421857
141,0.0002096627
142,0.000140063
143,1.81772e-05
144,-0.0001313936
145,-0.0002688702
146,-9.84369e-05
147,-6.76778e-05
148,-0.0002214055
149,-0.0002361226
150,-0.0003581949
151,-0.0003339479
152,-0.0003663845
153,-0.0005108192
154,-0.0005941604
155,-0.0005583282
156,-0.0004659719
157,-0.0003753788
158,-0.0001786445
159,-0.0003276468
160,-0.0003268017
161,-0.0002728102
162,-0.0001388341
163,-0.0001513908
164,-0.0001792688
165,-0.0001377263
166,-2.72469e-05
167,-7.28002e-05
168,-6.86813e-05
169,-6.22995e-05
170,-8.50994e-05
171,-0.000183435
172,-0.000287634
173,-0.0001495623
174,-5.6748e-05
175,3.40679e-05
176,0.0001024936
177,-4.26411e-05
178,-7.56666e-05
179,-6.82401e-05
180,-0.0001377232
181,-2.39746e-05
182,-7.14746e-05
183,-2.71938e-05
184,2.05444e-05
185,0.0001102805
186,0.0001484234
187,0.0001472017
