,0
0,5.18402e-05
1,5.6294e-05
2,5.44202e-05
3,2.08721e-05
4,3.524e-05
5,3.91473e-05
6,6.87651e-05
7,7.2822e-05
8,4.93299e-05
9,4.62478e-05
10,6.35116e-05
11,8.54962e-05
12,7.7002e-05
13,8.42355e-05
14,2.37692e-05
15,2.35809e-05
16,2.8197e-06
17,4.06e-05
18,3.03036e-05
19,-4.7353e-06
20,8.9871e-06
21,8.6843e-06
22,1.98016e-05
23,2.64816e-05
24,4.42556e-05
25,5.32725e-05
26,9.00729e-05
27,6.87805e-05
28,7.21901e-05
29,5.94783e-05
30,6.90767e-05
31,0.0001000183
32,0.0001237704
33,0.00012804
34,7.47519e-05
35,9.61896e-05
36,0.0001194868
37,7.16787e-05
38,0.0001062167
39,8.44187e-05
40,8.41469e-05
41,7.95585e-05
42,6.66036e-05
43,-3.92314e-05
44,-1.21171e-05
45,-5.05754e-05
46,-7.29134e-05
47,-2.67188e-05
48,6.56069e-05
49,5.5566e-05
50,4.42335e-05
51,6.28554e-05
52,4.60134e-05
53,1.35213e-05
54,3.09601e-05
55,6.8752e-05
56,2.2715e-05
57,9.25514e-05
58,0.0001011449
59,8.83256e-05
60,1.13054e-05
61,-2.52465e-05
62,-4.18128e-05
63,-6.53375e-05
64,-7.7333e-05
65,-5.31688e-05
66,-8.46179e-05
67,-4.72359e-05
68,-6.92179e-05
69,-4.17066e-05
70,-5.10828e-05
71,-2.8796e-05
72,-8.36954e-05
73,-9.4792e-05
74,-1.47164e-05
75,3.95014e-05
76,0.0001055266
77,0.0001163482
78,0.000130188
79,5.47778e-05
80,9.90081e-05
81,9.22517e-05
82,9.76861e-05
83,6.20483e-05
84,9.76952e-05
85,6.15308e-05
86,0.0001830237
87,6.99838e-05
88,0.0001554833
89,0.0001605773
90,0.0001245955
91,7.35054e-05
92,7.42633e-05
93,0.0001419359
94,0.0001033324
95,7.53434e-05
96,-2.83957e-05
97,-4.68386e-05
98,-9.12212e-05
99,-0.0001101738
100,-7.95219e-05
101,-0.0001379611
102,-0.0001959842
103,-0.0002021166
104,-0.0002797008
105,-0.0002995975
106,-0.0003118705
107,-0.0003558335
108,-0.0002899392
109,-0.0003557765
110,-0.0002027256
111,-0.0002039255
112,-0.0001539814
113,-0.0001519803
114,-9.21097e-05
115,-0.0001712523
116,-9.93138e-05
117,-6.04914e-05
118,-9.54353e-05
119,-9.51674e-05
120,-5.50693e-05
121,-5.4731e-06
122,8.7743e-06
123,-3.73546e-05
124,8.8554e-05
125,0.0001012629
126,8.7257e-05
127,0.0001096695
128,0.0001229023
129,0.0002548081
130,0.0003375335
131,0.0002099093
132,0.0001199248
133,0.0001856294
134,0.0001396035
135,0.0001439526
136,0.0001604348
137,0.0001850772
138,0.0001485224
139,0.0001000535
140,9.37881e-05
141,0.0001026539
142,-4.84755e-05
143,-1.93146e-05
144,-8.4181e-06
145,7.40719e-05
146,0.0001352964
147,0.0001465711
148,0.0001399727
149,0.0001198213
