,0
0,-3.72019e-05
1,-1.73825e-05
2,-2.73552e-05
3,-1.06804e-05
4,-8.4279e-06
5,-3.0593e-06
6,5.3328e-06
7,6.2921e-06
8,6.5692e-06
9,5.8209e-06
10,7.8845e-06
11,2.06257e-05
12,2.10272e-05
13,8.7091e-06
14,2.50714e-05
15,2.76612e-05
16,3.48893e-05
17,-2.0796e-06
18,-1.07409e-05
19,-1.74039e-05
20,-6.22522e-05
21,-1.9098e-05
22,-2.42542e-05
23,-1.06525e-05
24,-2.0154e-05
25,-2.98469e-05
26,-1.91839e-05
27,-7.7884e-06
28,-2.02829e-05
29,-2.35233e-05
30,-1.16675e-05
31,-4.059e-07
32,-1.6812e-06
33,-9.9454e-06
34,5.207e-06
35,1.6584e-06
36,-2.1936e-06
37,2.4009e-06
38,7.6029e-06
39,1.49313e-05
40,1.74127e-05
41,3.65965e-05
42,6.33756e-05
43,4.097e-05
44,2.64876e-05
45,4.78274e-05
46,2.45176e-05
47,5.47375e-05
48,5.30799e-05
49,3.41302e-05
50,8.3467e-06
51,-9.148e-07
52,-1.11765e-05
53,-2.99588e-05
54,-3.23143e-05
55,-4.18218e-05
56,-4.72815e-05
57,-6.62245e-05
58,-4.71876e-05
59,-4.38541e-05
60,-3.91264e-05
61,-3.60558e-05
62,-4.31408e-05
63,-3.00326e-05
64,-2.42431e-05
65,-3.55331e-05
66,-4.49433e-05
67,-3.44459e-05
68,-4.15732e-05
69,-1.52857e-05
70,-2.22949e-05
71,-3.00428e-05
72,-4.28901e-05
73,-3.42105e-05
74,-2.98663e-05
75,-1.2631e-05
76,-2.00354e-05
77,-1.61985e-05
78,9.4561e-06
79,-1.88464e-05
80,-1.09243e-05
81,-1.56652e-05
82,-1.57057e-05
83,-2.12165e-05
84,-2.65786e-05
85,-2.09761e-05
86,-5.011e-07
87,-1.2597e-06
88,7.922e-07
89,1.25816e-05
90,-5.7775e-06
91,7.0956e-06
92,2.1526e-06
93,2.0262e-05
94,1.72882e-05
95,5.428e-06
96,-1.07932e-05
97,2.2251e-06
98,9.9501e-06
99,-3.4053e-06
100,-1.00825e-05
101,-4.682e-06
102,-7.7988e-06
103,-1.8969e-05
104,8.3325e-06
105,-2.7183e-06
106,-1.43608e-05
107,-2.22123e-05
108,-1.36206e-05
109,-6.8215e-06
110,1.74623e-05
111,2.09714e-05
112,2.20344e-05
113,3.48345e-05
114,2.73753e-05
115,8.2777e-06
116,-3.202e-07
117,-5.0535e-06
118,-1.3235e-05
119,-1.57536e-05
120,4.9273e-06
121,6.1797e-06
122,1.64646e-05
123,-1.7177e-06
124,-1.6575e-05
125,-1.98996e-05
126,-9.5559e-06
127,-1.56323e-05
128,1.7193e-06
129,3.2265e-06
130,1.86796e-05
131,2.70536e-05
132,2.96719e-05
133,4.40513e-05
134,1.82357e-05
