,0
0,-4.91002e-05
1,-2.12213e-05
2,-2.78696e-05
3,-1.21568e-05
4,-8.4273e-06
5,-4.1794e-06
6,7.1198e-06
7,6.183e-06
8,6.5618e-06
9,5.9404e-06
10,1.03923e-05
11,2.77351e-05
12,2.57738e-05
13,9.6887e-06
14,3.19498e-05
15,2.70524e-05
16,3.26825e-05
17,-3.1646e-06
18,-1.64166e-05
19,-2.17961e-05
20,-7.74062e-05
21,-2.312e-05
22,-3.23982e-05
23,-1.36474e-05
24,-2.04545e-05
25,-2.79563e-05
26,-2.16886e-05
27,-8.2222e-06
28,-2.25637e-05
29,-2.59574e-05
30,-1.1222e-05
31,1.5248e-06
32,3.76e-08
33,-8.7922e-06
34,6.8665e-06
35,3.1817e-06
36,3.334e-07
37,4.1612e-06
38,8.6738e-06
39,1.8572e-05
40,1.656e-05
41,4.47333e-05
42,7.81526e-05
43,6.17061e-05
44,3.2708e-05
45,4.73249e-05
46,3.10679e-05
47,5.94549e-05
48,7.32858e-05
49,3.82738e-05
50,1.09443e-05
51,-1.7483e-06
52,-1.50298e-05
53,-4.33273e-05
54,-4.40358e-05
55,-5.63914e-05
56,-6.07648e-05
57,-9.37793e-05
58,-5.59859e-05
59,-6.36444e-05
60,-4.87764e-05
61,-4.54428e-05
62,-5.90638e-05
63,-4.36288e-05
64,-3.56053e-05
65,-4.63441e-05
66,-5.65086e-05
67,-4.17437e-05
68,-4.82655e-05
69,-2.32306e-05
70,-2.43676e-05
71,-3.48343e-05
72,-5.05504e-05
73,-4.38732e-05
74,-3.00805e-05
75,-1.55557e-05
76,-2.2631e-05
77,-2.02732e-05
78,7.7864e-06
79,-2.50518e-05
80,-1.4456e-05
81,-2.08854e-05
82,-2.04702e-05
83,-2.75561e-05
84,-2.87863e-05
85,-2.43001e-05
86,-9.357e-07
87,-1.0526e-06
88,6.287e-07
89,1.67079e-05
90,-7.8237e-06
91,9.3332e-06
92,2.0065e-06
93,2.14691e-05
94,1.80192e-05
95,6.768e-06
96,-1.30319e-05
97,4.9451e-06
98,1.37081e-05
99,-4.7007e-06
100,-1.13292e-05
101,-5.2038e-06
102,-8.8203e-06
103,-2.0518e-05
104,1.01733e-05
105,-1.1876e-06
106,-1.65061e-05
107,-2.67339e-05
108,-1.45876e-05
109,-7.5738e-06
110,1.92593e-05
111,2.7797e-05
112,2.77156e-05
113,4.65236e-05
114,3.23752e-05
115,1.13736e-05
116,4.107e-07
117,-3.8312e-06
118,-1.68075e-05
119,-2.01175e-05
120,6.6145e-06
121,9.1112e-06
122,2.07938e-05
123,-1.6196e-06
124,-2.00778e-05
125,-2.66746e-05
126,-1.37675e-05
127,-2.39446e-05
128,3.829e-07
129,2.7564e-06
130,2.07135e-05
131,2.90086e-05
132,3.87112e-05
133,5.32157e-05
134,2.06317e-05
135,1.81532e-05
136,2.73699e-05
137,6.87397e-05
138,8.95721e-05
139,0.0001123349
140,5.70196e-05
141,3.25768e-05
142,2.69614e-05
143,1.30777e-05
144,-4.297e-06
145,-2.78652e-05
146,-2.59794e-05
147,-3.4959e-06
148,-2.15782e-05
149,-3.5122e-05
150,-5.22674e-05
151,-4.12001e-05
152,-5.31065e-05
153,-6.88715e-05
154,-7.3085e-05
155,-4.28064e-05
156,-5.28145e-05
157,-2.91724e-05
158,-1.62166e-05
159,-2.86536e-05
160,-3.99262e-05
161,-5.20855e-05
162,-1.18841e-05
163,-3.28797e-05
164,-3.36643e-05
165,-3.4365e-05
166,-4.69146e-05
167,-3.70659e-05
168,-3.864e-05
169,-5.11455e-05
170,-3.52602e-05
171,-6.24501e-05
172,-5.98224e-05
173,-2.41948e-05
174,-1.53227e-05
175,-9.0931e-06
176,-8.102e-06
177,-1.76496e-05
178,-1.88749e-05
179,-9.0666e-06
180,-1.30886e-05
181,1.6457e-06
182,-7.2045e-06
183,1.15393e-05
184,3.0078e-06
185,1.01976e-05
186,1.74328e-05
187,7.5202e-06
188,2.269e-06
189,9.0605e-06
190,-1.0377e-05
191,-1.28987e-05
192,-5.9669e-06
193,-1.13497e-05
194,-1.80469e-05
195,-2.90217e-05
196,-2.82208e-05
197,-3.50482e-05
198,-4.73608e-05
199,-3.77171e-05
200,-4.90953e-05
201,-1.72523e-05
202,-2.04128e-05
203,-3.68224e-05
204,1.22522e-05
205,2.59122e-05
206,8.7998e-06
207,1.25751e-05
208,2.85074e-05
209,5.43752e-05
210,8.72565e-05
211,0.0001272205
212,3.80485e-05
213,3.22948e-05
214,3.52235e-05
215,3.26574e-05
216,2.17836e-05
217,1.92428e-05
218,-6.7536e-06
219,-1.44101e-05
220,-1.77782e-05
221,-2.16127e-05
222,-8.2905e-06
223,-4.2543e-06
224,-1.32689e-05
225,-2.26158e-05
226,-1.11167e-05
227,-2.73235e-05
228,-5.3784e-05
229,-5.42377e-05
230,-5.31364e-05
231,-5.64693e-05
232,-6.063e-05
233,-4.86029e-05
234,-2.73513e-05
235,-2.26156e-05
236,-1.86127e-05
237,-2.6399e-05
238,-3.6912e-05
239,-1.14232e-05
240,-8.9578e-06
241,3.938e-07
242,1.01159e-05
243,7.2954e-06
244,2.43684e-05
245,1.0246e-05
246,1.96013e-05
247,2.59512e-05
248,1.92348e-05
249,3.92554e-05
250,3.47189e-05
251,2.58702e-05
252,5.04847e-05
253,4.32454e-05
254,3.75537e-05
255,4.76536e-05
256,3.47446e-05
257,3.62271e-05
258,3.37286e-05
259,4.42263e-05
260,4.81938e-05
261,8.2805e-06
262,-3.906e-06
263,-1.28737e-05
264,-9.7642e-06
265,-4.1869e-06
266,-5.5729e-06
267,-1.3832e-05
268,-1.08056e-05
269,-2.7567e-05
270,-3.22169e-05
271,-5.46822e-05
272,-5.071e-05
273,-5.88357e-05
274,-5.80746e-05
275,-3.60509e-05
276,-1.35027e-05
277,-2.7775e-06
278,2.0503e-06
279,-3.2363e-06
280,-9.6475e-06
281,-1.27665e-05
282,-1.0898e-05
283,-1.2378e-06
284,7.5842e-06
285,1.4283e-05
286,2.15048e-05
287,1.62332e-05
288,4.46725e-05
289,4.62823e-05
290,3.6831e-05
291,3.89985e-05
292,4.15276e-05
293,3.50091e-05
294,2.69332e-05
295,3.53369e-05
296,4.12238e-05
297,4.39021e-05
298,5.14481e-05
299,4.20568e-05
300,1.77459e-05
301,1.85675e-05
302,2.54287e-05
303,1.4956e-06
304,4.3934e-06
305,8.9143e-06
306,1.63787e-05
307,1.15689e-05
308,2.13135e-05
309,1.86469e-05
310,2.03417e-05
311,8.5348e-06
312,8.7339e-06
313,-1.6238e-06
314,-1.3489e-06
315,-1.3862e-06
316,5.301e-06
317,7.5981e-06
318,3.7359e-06
319,-1.20937e-05
320,-2.14857e-05
321,-1.0142e-06
322,1.80702e-05
323,1.17826e-05
324,1.34221e-05
325,1.92418e-05
326,3.56224e-05
327,5.58624e-05
328,4.83162e-05
329,4.91755e-05
330,5.66363e-05
331,5.13697e-05
332,6.68342e-05
333,7.01449e-05
334,7.11628e-05
335,5.36485e-05
336,6.83371e-05
337,6.13278e-05
338,2.66915e-05
339,2.98589e-05
340,3.77536e-05
341,4.26508e-05
342,4.02054e-05
343,4.2716e-06
344,-3.4253e-06
345,-1.8715e-06
346,-6.8297e-06
347,5.9105e-06
348,1.11113e-05
349,5.8735e-06
350,-2.4168e-06
351,-3.4805e-06
352,-9.3313e-06
353,-2.4059e-06
354,-7.4806e-06
355,-3.2521e-05
356,-3.26945e-05
357,-9.4162e-06
358,-1.43648e-05
359,-7.9612e-06
360,-2.72892e-05
361,-1.00952e-05
362,-1.94558e-05
363,-2.69273e-05
364,-2.18143e-05
365,-3.35765e-05
366,-7.4344e-06
367,3.0441e-06
368,1.30841e-05
369,2.8875e-05
370,2.40613e-05
371,7.6186e-06
372,-1.7428e-06
373,-1.1682e-06
374,5.9256e-06
375,5.028e-07
376,1.88892e-05
377,2.70792e-05
378,5.98421e-05
379,8.37781e-05
380,5.53843e-05
381,1.67799e-05
382,2.0442e-05
383,1.69677e-05
384,4.46059e-05
385,5.38133e-05
386,5.98472e-05
387,5.54445e-05
388,5.457e-05
389,5.15799e-05
390,4.1302e-06
391,-4.3309e-06
392,-1.07751e-05
393,-2.1169e-05
394,-1.35462e-05
395,6.744e-06
396,1.67566e-05
397,1.0064e-05
398,-6.045e-06
399,-2.991e-07
400,1.73358e-05
401,3.08633e-05
402,2.55081e-05
403,2.98217e-05
404,3.63222e-05
405,3.95844e-05
406,3.38124e-05
407,5.10367e-05
408,5.12782e-05
409,4.19381e-05
410,2.61667e-05
411,4.49524e-05
412,1.55472e-05
413,4.41677e-05
414,2.15775e-05
415,-1.08972e-05
416,-2.71745e-05
417,-3.19909e-05
418,-3.09898e-05
419,-2.90498e-05
420,-2.52609e-05
421,-2.23609e-05
422,-2.53615e-05
423,-4.685e-06
424,-2.13972e-05
425,-1.19048e-05
426,-1.45074e-05
427,-1.1047e-06
428,4.0364e-06
429,2.35747e-05
430,5.13246e-05
431,4.97439e-05
432,3.29755e-05
433,6.36473e-05
434,5.46947e-05
435,3.35976e-05
436,3.26597e-05
437,6.2916e-06
438,2.21359e-05
439,1.4509e-05
440,-1.58514e-05
441,-4.50934e-05
442,-4.30853e-05
443,-5.56576e-05
444,-7.7639e-05
445,-4.79338e-05
446,-4.15081e-05
447,-5.18498e-05
448,-6.21078e-05
449,-3.5789e-05
450,-3.78969e-05
451,-2.80922e-05
452,-1.83971e-05
453,-3.94884e-05
454,3.92521e-05
455,8.16873e-05
456,8.68573e-05
457,4.37703e-05
458,6.44884e-05
459,6.2613e-05
460,6.61027e-05
461,8.89156e-05
462,3.68995e-05
463,3.64876e-05
464,1.49419e-05
465,7.4548e-06
466,-3.0505e-06
467,-1.24808e-05
468,-1.58044e-05
469,-3.02556e-05
470,-6.507e-07
471,-1.3049e-06
472,-1.31413e-05
473,-1.87331e-05
474,-2.38053e-05
475,-1.69485e-05
476,-7.1881e-06
477,-5.5642e-06
478,8.2281e-06
479,1.71306e-05
480,4.68469e-05
481,6.53701e-05
482,9.33743e-05
483,5.79001e-05
484,2.3211e-05
485,2.88448e-05
