,0
0,-0.0009232937
1,-0.0007767929
2,-0.0011880233
3,-0.0005646738
4,-0.000475934
5,-0.0005007632
6,-0.0003873102
7,-0.0005247275
8,-0.000314101
9,-0.0003168049
10,5.14713e-05
11,0.0005054905
12,0.0001325784
13,-0.0003877656
14,-0.0001926498
15,-0.0001075299
16,-0.0001674595
17,-0.0004494525
18,-0.0003452706
19,-0.0002523693
20,-0.0005619445
21,-0.000581463
22,-0.0006269775
23,-0.0006869976
24,-0.0006929745
25,-0.0006220774
26,-0.0007560129
27,-0.0006802721
28,-0.0005852248
29,-0.0006806087
30,-0.0006614007
31,-0.0006841754
32,-0.0008993374
33,0.0001082071
34,0.0005549228
35,0.0004735694
36,0.0006605405
37,0.0002719563
38,0.0002331239
39,8.51055e-05
40,-9.8316e-05
41,-0.0001356551
42,-0.0001871921
43,-1.34634e-05
44,9.0462e-06
45,-0.0001252803
46,-0.0001509335
47,-0.0002830087
48,-0.0004704367
49,-0.0005685428
50,-0.000555547
51,-0.0006920435
52,-0.0003035581
53,-0.0005357753
54,-0.0002491146
55,-0.0001607384
56,-0.0001286877
57,-0.0004209999
58,-0.0002790807
59,0.0001351466
60,0.0003493464
61,-4.20459e-05
62,-1.38734e-05
63,-0.0001370344
64,8.4731e-05
65,0.0002072539
66,-0.0002095035
67,5.6685e-06
68,-3.80627e-05
69,0.0001161316
70,-0.0001042423
71,-0.0001301644
72,-0.0001960485
73,-0.0005212957
74,-0.0006741399
75,-0.0002237111
76,-0.0002154921
77,-8.88025e-05
78,-4.9896e-06
79,-0.0003254055
80,-0.0002316032
81,-0.0003360134
82,-0.0004199182
83,-0.000616469
84,-0.0001146784
85,0.0001946869
86,0.0002797938
87,0.0001855328
88,0.000499221
89,0.0004231108
90,0.0003544612
91,0.0003661202
92,7.32849e-05
93,0.0004525324
94,0.0003205067
95,8.0019e-05
96,-2.18935e-05
97,-0.0001793328
98,-0.0002844164
99,-0.0004267918
100,-0.000319147
101,-0.00055307
102,-0.0005792579
103,-0.0007805203
104,-0.0002057086
105,-0.0008024108
106,-0.0007497347
107,-0.000923796
108,-0.0006059635
109,-0.0003463081
110,1.69685e-05
111,0.0002139522
112,0.0002131529
113,0.0006610259
114,0.0006134844
115,0.0005674864
116,0.0005942344
117,0.0004783502
118,0.0003414929
119,0.0003734985
120,0.0010906727
121,0.0010779979
122,0.001502799
123,0.0011051641
124,0.0011274535
125,0.0005211508
126,0.0003630516
127,0.0003168758
128,0.0004320148
129,0.0006017131
130,0.0004205759
131,0.0004874752
132,0.0005216304
133,0.0007880341
134,0.0004654505
135,0.0001074031
136,0.0001635865
137,0.0001612045
138,0.0003694256
139,0.0004030838
140,0.0002711649
141,0.0007936508
142,0.000803904
143,0.0004270442
144,0.0003514407
145,1.5373e-05
146,3.60635e-05
147,3.5577e-06
148,-0.0004017494
149,-0.00031492
150,-0.000614023
151,-0.0004476486
152,-0.0005034068
153,-0.0007259587
154,-0.0008403893
155,-0.000839191
156,-0.0008297573
157,-0.0006799798
158,-0.0003366457
159,-0.0005438589
160,-0.0006863914
161,-0.0008993609
162,-0.0002049271
163,-0.000443686
164,-0.0005600707
165,-0.0005133134
166,-0.0006664202
167,-0.0005745628
168,-0.000531111
169,-0.0007522291
170,-0.0002945019
171,-0.0004587704
172,-0.0004361989
173,0.0001558659
174,0.0003512482
175,0.0006491935
176,0.000528109
177,0.0001566916
178,0.0003791245
179,0.0003950359
180,0.0004871136
181,0.0002962696
182,0.0003424239
183,0.0003548604
184,8.74783e-05
185,-6.36132e-05
186,-0.0001581008
187,-0.0002303811
188,-0.0002076879
189,1.39705e-05
190,-8.7954e-06
191,0.0002143679
192,0.0004828713
193,0.000303973
194,0.000454202
195,0.0001287728
196,0.0001015776
197,6.0887e-05
198,0.0001545917
199,0.0004487218
200,0.0005443772
201,0.0004488068
202,0.0006195657
203,0.0002519234
204,0.0002266856
205,0.0004392799
206,0.0003396392
207,0.0004632933
208,0.0004925043
209,0.0005774027
210,0.0009117689
211,0.0012067187
212,0.0005853772
213,0.0006849042
214,0.0002509516
215,0.0004381087
216,0.0003990011
217,0.0002886916
218,0.0002154721
219,0.0001718587
220,0.0004056149
221,0.0002388467
222,0.0002601935
223,0.0001675968
224,0.0002965244
225,6.13024e-05
226,6.41706e-05
227,0.0001059788
228,-0.0003381202
229,-0.0002876954
230,-0.000376909
231,-6.34413e-05
232,0.0001266923
233,-0.0002741997
234,-0.0002296197
235,-0.0001739231
236,-0.000415958
237,-0.0003597405
238,-0.0005952097
239,-0.0002436296
240,-0.0001552087
241,0.000152039
242,0.0004806618
243,0.0004122008
244,0.000524548
245,0.0002145955
246,0.0001365084
247,-8.80712e-05
248,-0.0001414727
249,-1.14272e-05
250,8.13008e-05
251,-0.0001164822
252,-4.55658e-05
253,-2.93351e-05
254,-0.0001316636
255,9.75388e-05
256,-2.86039e-05
257,0.0002020265
258,8.5553e-06
259,7.62434e-05
260,3.80287e-05
261,0.0003474723
262,1.7628e-05
263,3.72002e-05
264,0.0002335046
265,3.37198e-05
266,0.0002591375
267,0.0001394674
268,7.241e-05
269,-0.0002560642
270,-0.0005222809
271,-0.0009043518
272,-0.0009129346
273,-0.0009992898
274,-0.0007061653
275,-0.0004943185
276,-0.0005341521
277,-0.0004359997
278,-0.0006544962
279,-0.000597908
280,-0.0005632118
281,-0.0009331897
282,-0.0006079182
283,-0.0001726574
284,-0.0001647772
285,-0.0001863303
286,-0.0001736285
287,-6.46128e-05
288,-0.0001370384
289,1.48281e-05
290,-0.0002186174
291,-0.0002023044
292,-0.0003321215
293,-0.0001683959
294,-0.0002876173
295,-0.0001261261
296,-2.73829e-05
297,0.0001453298
298,0.0002974349
299,0.0002309741
300,4.74715e-05
301,6.8892e-06
302,6.67881e-05
303,0.0001706047
304,0.0002295445
305,0.0002304752
306,0.0003388361
307,0.0005278615
308,0.0006236393
309,0.0004596269
310,0.0003840679
311,0.0001374512
312,0.0001522621
313,2.98046e-05
314,-1.46134e-05
315,0.0001662624
316,0.0002259804
317,0.0001296296
318,0.0001104535
319,3.31705e-05
320,-0.0001426795
321,-0.0001487008
322,-0.0002890405
323,-0.0002412451
324,-0.0002618314
325,-0.0003134959
326,-0.0003186752
327,-0.0001427077
328,-4.54615e-05
329,-1.89772e-05
330,-0.0001159006
331,-0.0001496678
332,-9.50163e-05
333,3.40047e-05
334,0.0001052589
335,-5.24655e-05
336,0.0001039753
337,3.42749e-05
338,-1.89734e-05
339,6.31809e-05
340,0.0001650202
341,0.0002159271
342,0.0005421307
343,0.0002325149
344,0.0002110558
345,0.0002421252
346,0.0002719562
347,0.0001770787
348,0.0002526341
349,0.0004158454
350,8.79871e-05
351,0.0003251164
352,0.000627649
353,0.0004134993
354,5.64163e-05
355,0.0003288214
356,0.0003277492
357,0.0001177464
358,0.0002027624
359,0.0004062045
360,0.0006094519
361,0.0004238782
362,4.72216e-05
363,2.64308e-05
364,0.0003009209
365,0.0004149221
366,0.000313178
367,0.0004095067
368,0.0005263516
369,0.0004019975
370,0.0001286146
371,0.0005424748
372,0.0005290451
373,0.0002640965
374,0.0005679088
375,0.000489138
376,0.0007891302
377,0.0010177873
378,0.0009179085
379,0.0007405204
380,0.0005637563
381,0.0004984378
382,0.0005376739
383,0.0002854358
384,0.0005802937
385,0.0002511764
386,0.0003334692
387,0.0002868199
388,0.0001907831
389,0.0001197545
390,4.29968e-05
391,8.73758e-05
392,-0.000103987
393,-0.0001840703
394,-0.0002540438
395,-0.0001537449
396,-0.0001359971
397,-0.0001522088
398,-0.0002576403
399,-8.95281e-05
400,4.41367e-05
401,0.0001458204
402,4.42584e-05
403,0.0002239869
404,-7.13058e-05
405,-0.0001525143
406,0.0001303993
407,0.0001538253
408,0.000302711
409,0.0001748459
410,7.21444e-05
411,0.0003331364
412,8.2951e-06
413,-0.0002386513
414,-0.0004538088
415,-0.0008461207
