,0
0,-2.31514e-05
1,-3.64341e-05
2,-1.08088e-05
3,-2.08523e-05
4,-9.4354e-06
5,-4.292e-06
6,3.81969e-05
7,6.0573e-05
8,5.60058e-05
9,6.16582e-05
10,7.41729e-05
11,0.0001095128
12,4.15246e-05
13,3.41326e-05
14,-2.14104e-05
15,-1.52306e-05
16,-3.77252e-05
17,-8.49444e-05
18,-0.0001159858
19,-0.0001198154
20,-0.0001241128
21,-9.9896e-05
22,-3.80939e-05
23,-5.48354e-05
24,-6.99261e-05
25,-6.10896e-05
26,1.7726e-06
27,4.29988e-05
28,6.25032e-05
29,2.11706e-05
30,4.22174e-05
31,6.98383e-05
32,0.0001098689
33,0.000129892
34,0.0001346358
35,0.00016234
36,0.0001375785
37,7.08208e-05
38,0.0001486488
39,0.0001010412
40,0.0001062008
41,0.000109331
42,9.33569e-05
43,0.0001547054
44,0.0001344929
45,0.0001505352
46,6.52719e-05
47,9.48572e-05
48,4.5186e-06
49,3.94838e-05
50,5.0044e-05
51,8.90971e-05
52,8.38407e-05
53,7.77141e-05
54,8.87956e-05
55,9.14391e-05
56,4.57322e-05
57,-2.5322e-06
58,3.53249e-05
59,5.08397e-05
60,8.37973e-05
61,3.97321e-05
62,8.12419e-05
63,6.60451e-05
64,-1.082e-06
65,1.72269e-05
66,-1.86693e-05
67,-1.60943e-05
68,-2.59379e-05
69,-7.4287e-06
70,-4.20358e-05
71,-1.91172e-05
72,-6.96354e-05
73,-7.90306e-05
74,-0.0001120722
75,-5.059e-05
76,-0.0001127751
77,-0.0001138362
78,-5.42505e-05
79,-8.79333e-05
80,-9.03338e-05
81,-2.10048e-05
82,3.11044e-05
83,3.50478e-05
84,5.82415e-05
85,5.85711e-05
86,7.99508e-05
87,2.08646e-05
88,5.00444e-05
89,4.6155e-06
90,1.58235e-05
91,-9.6538e-06
92,1.15643e-05
93,6.39265e-05
94,1.52461e-05
95,-4.75381e-05
96,-0.0001032887
97,-0.0001777484
98,-0.0001183925
99,-0.0001272549
100,-8.92156e-05
101,-7.60368e-05
102,-1.78418e-05
103,2.34753e-05
104,5.99505e-05
105,9.27462e-05
106,-1.44932e-05
107,-3.8039e-06
108,3.3775e-05
109,0.0001214899
110,0.0001236699
111,0.0001814229
112,0.0001423382
113,0.0002050519
114,0.000233732
115,5.77642e-05
116,-5.4803e-06
117,-7.10874e-05
118,-6.83523e-05
119,-9.93991e-05
120,-3.79439e-05
121,-8.07425e-05
122,-0.0001035049
123,-0.0001665492
124,-0.0001225971
125,-9.76688e-05
126,-0.0001090674
127,-7.09233e-05
128,-5.68869e-05
129,-3.38741e-05
130,-4.15933e-05
131,-2.07585e-05
132,-0.0001089957
133,-5.71101e-05
134,-3.08869e-05
135,-9.2183e-06
136,-1.10647e-05
137,-5.11325e-05
138,-4.69641e-05
139,-7.21803e-05
140,-7.24482e-05
141,-8.55993e-05
142,-8.92675e-05
143,-5.42536e-05
144,-7.37744e-05
145,-0.0001264754
146,-8.60264e-05
147,-4.80744e-05
148,-8.15232e-05
149,-0.0001108534
150,-9.80884e-05
151,-5.17062e-05
152,1.46479e-05
153,-3.73899e-05
154,-4.25987e-05
155,-5.01024e-05
156,-4.4533e-06
157,-4.3268e-05
158,-2.95351e-05
159,-6.88333e-05
160,-9.2092e-06
161,-2.75977e-05
162,1.58899e-05
163,4.29487e-05
164,3.41574e-05
165,2.31688e-05
166,1.09443e-05
167,4.00058e-05
168,2.78175e-05
169,9.67e-06
170,1.07379e-05
171,-1.62669e-05
172,-2.44847e-05
173,2.09079e-05
174,1.47528e-05
175,6.609e-07
176,-9.31978e-05
177,-9.22448e-05
178,-8.25871e-05
179,-8.5316e-06
180,-7.7389e-05
181,-2.33562e-05
182,-2.11097e-05
183,2.36932e-05
184,-3.0321e-06
185,1.4933e-06
186,2.98592e-05
187,6.25619e-05
188,7.54139e-05
189,9.53743e-05
190,0.0001623175
191,0.0002166614
192,0.0002295066
193,0.0001387964
194,0.0001434503
195,7.40116e-05
196,0.0001253138
197,8.88528e-05
198,0.0001014952
199,0.0001715096
200,0.000115122
201,7.05808e-05
202,-1.50794e-05
203,1.76252e-05
204,1.818e-06
205,2.01785e-05
206,-2.24e-07
207,3.27959e-05
208,6.79914e-05
209,0.0001542089
210,0.0001330439
211,0.0002177467
212,8.57175e-05
213,4.86531e-05
214,4.86153e-05
215,8.32458e-05
216,0.0001785745
217,0.0001509589
218,5.87902e-05
219,8.20678e-05
220,7.00219e-05
221,1.42513e-05
222,3.70719e-05
223,2.52792e-05
224,2.80062e-05
225,3.1569e-06
226,-8.5448e-06
227,-1.02859e-05
228,-3.6601e-05
229,-1.88231e-05
230,-3.13535e-05
231,-3.42075e-05
232,4.20565e-05
233,-1.85227e-05
234,1.23727e-05
235,2.11071e-05
236,5.3586e-06
237,9.092e-06
238,-1.50273e-05
239,4.69681e-05
240,-1.1356e-06
241,-6.1417e-06
242,-1.18556e-05
243,-8.36183e-05
244,-5.74901e-05
245,-8.2104e-05
246,-0.0001055649
247,-9.9719e-05
248,-9.9297e-05
249,-9.61379e-05
250,-9.09712e-05
251,-0.0001450745
252,-0.000138351
253,-0.0001924696
254,-5.6666e-05
255,-9.8084e-05
256,-9.80203e-05
257,-8.13942e-05
258,-0.0001246269
259,-0.0001243413
260,-8.43957e-05
261,-9.49675e-05
262,-8.95654e-05
263,-8.50882e-05
264,-8.40258e-05
265,-0.0001147878
266,-7.32067e-05
267,-8.67854e-05
268,-3.5478e-06
269,-4.41431e-05
270,-5.93674e-05
271,-6.89391e-05
272,-8.38924e-05
273,-8.83434e-05
274,-9.67745e-05
275,-0.0001426038
276,-8.70756e-05
277,-0.0001184925
278,-7.24086e-05
279,-8.90355e-05
280,-8.28184e-05
281,-7.71568e-05
282,-0.0001010077
283,-4.47239e-05
284,-4.4768e-05
285,-4.26673e-05
286,-2.49819e-05
287,-1.54328e-05
288,8.5566e-06
289,1.53997e-05
290,-1.71209e-05
291,-3.12655e-05
292,-4.98578e-05
293,-1.13698e-05
294,-1.81512e-05
295,3.35995e-05
296,3.90719e-05
297,1.92113e-05
298,4.19474e-05
299,4.87101e-05
300,6.77674e-05
301,0.0001297918
302,0.0001905118
303,0.0001719232
304,0.0002182474
305,0.0002597241
306,0.0001784058
307,0.0001502535
308,6.16271e-05
309,0.00013359
310,0.0001044342
311,0.0001070685
312,0.0001263521
313,0.0001044211
314,-5.29158e-05
315,-3.65873e-05
316,-1.01272e-05
317,-1.34876e-05
318,1.43204e-05
319,-5.33922e-05
320,-7.05928e-05
321,-5.64145e-05
322,2.54259e-05
323,-2.62657e-05
324,-2.78246e-05
325,-2.8291e-05
326,-7.2486e-05
327,-0.000107944
328,-5.73296e-05
329,-5.73041e-05
330,-9.85888e-05
331,-7.02023e-05
332,-0.0001201572
333,-8.23408e-05
334,-8.35477e-05
335,-0.0001007827
336,-9.69994e-05
337,-9.63687e-05
338,-4.68008e-05
339,-6.53057e-05
340,-3.35632e-05
341,-4.665e-07
342,5.913e-07
343,1.09159e-05
344,5.01856e-05
345,3.59172e-05
346,4.59251e-05
347,6.37898e-05
348,7.195e-05
349,0.000128602
350,7.24762e-05
351,0.0001201881
352,0.0001210728
353,0.0001988735
354,8.86707e-05
355,7.49413e-05
356,0.0001022831
357,6.44505e-05
358,8.31226e-05
359,7.16359e-05
360,8.40419e-05
361,2.82369e-05
362,6.317e-07
363,-6.28053e-05
364,-8.10217e-05
365,-8.18829e-05
366,-8.2416e-05
367,-0.0001048159
368,-0.0001029524
369,-8.18328e-05
370,-6.58508e-05
371,-5.53e-05
372,1.92757e-05
373,3.80905e-05
374,5.02791e-05
