,0
0,-0.0001010261
1,-7.20939e-05
2,-0.0001084576
3,-0.0001369979
4,-0.0001259858
5,-0.0001054515
6,-0.0001399394
7,-0.0001473359
8,-3.00821e-05
9,1.35218e-05
10,3.23839e-05
11,9.22123e-05
12,6.21673e-05
13,5.0208e-05
14,3.29486e-05
15,6.73684e-05
16,0.0001004793
17,3.98505e-05
18,2.83808e-05
19,5.9999e-06
20,-1.00008e-05
21,-1.52017e-05
22,-2.35195e-05
23,-3.38812e-05
24,-4.98366e-05
25,-8.39964e-05
26,-9.9875e-05
27,-8.74572e-05
28,-7.9499e-05
29,-0.0001294786
30,-0.0001157035
31,-0.0001180451
32,-0.000109063
33,-0.0001294111
34,-0.0001010161
35,-2.84452e-05
36,-4.31659e-05
37,-6.7635e-06
38,2.38244e-05
39,2.31758e-05
40,1.15768e-05
41,5.9096e-05
42,0.0001426612
43,0.0001093538
44,6.44192e-05
45,9.31479e-05
46,4.02791e-05
47,3.07863e-05
48,1.85457e-05
49,-3.1626e-05
50,-5.60601e-05
51,-5.82568e-05
52,-3.70994e-05
53,-7.75816e-05
54,-5.26563e-05
55,-3.79726e-05
56,-7.42758e-05
57,-9.10904e-05
58,-5.70081e-05
59,-5.59188e-05
60,-3.70456e-05
61,-4.9655e-05
62,-4.50172e-05
63,-5.68872e-05
64,-5.54161e-05
65,-5.63939e-05
66,-9.00852e-05
67,-6.41682e-05
68,-5.13329e-05
69,-1.1093e-06
70,-1.38156e-05
71,-3.11418e-05
72,-6.13458e-05
73,-7.34325e-05
74,-8.04495e-05
75,-5.09841e-05
76,-6.97104e-05
77,-4.39186e-05
78,6.4515e-06
79,-2.43981e-05
80,-7.7551e-06
81,-2.24333e-05
82,6.1124e-06
83,-3.6223e-06
84,2.45689e-05
85,3.38943e-05
86,7.9801e-05
87,7.42874e-05
88,0.0001036404
89,0.0001580933
90,0.0001220335
91,9.59951e-05
92,0.0001112731
93,8.90514e-05
94,4.88934e-05
95,1.6145e-05
