,0
0,-0.0010581759
1,-0.0007641082
2,-0.0010135414
3,-0.0004566551
4,-0.0004442248
5,-0.0005601372
6,-0.0001921367
7,-0.0001367457
8,-5.07102e-05
9,-8.71261e-05
10,-0.0001919694
11,7.955e-06
12,-0.0001462923
13,-0.0002224602
14,-0.0001438569
15,0.00020061
16,0.0003924359
17,-0.000148123
18,-0.0001584654
19,-0.0002710525
20,-0.000490354
21,-2.13917e-05
22,0.0003848989
23,0.0002279854
24,0.0003616177
25,0.0004763458
26,0.0006221264
27,0.0007883675
28,0.0008598933
29,0.0004531097
30,0.000569473
31,0.0008783784
32,0.0010325559
33,0.0010796669
34,0.0008289932
35,0.0010395096
36,0.0010397236
37,0.0008111192
38,0.0011265269
39,0.00079808
40,0.0007957577
41,0.0010093683
42,0.0011192599
43,0.0014182232
44,0.0008973947
45,0.0010549074
46,0.0006100508
47,0.0007572892
48,0.0005192263
49,0.0006772223
50,0.0004269297
51,0.0004776623
52,0.0007151122
53,0.0010784629
54,0.0008716194
55,0.0005813264
56,0.0006632949
57,0.0004439105
58,0.0004179651
59,0.0001138542
60,0.0001170495
61,-0.0004933997
62,-0.000253091
63,-0.0004375519
64,-0.0008656095
65,-0.0001860062
66,-0.0004906799
67,-0.0006821033
68,-0.0009305523
69,-0.0002781018
70,-0.0002983783
71,-6.41376e-05
72,-0.0002204884
73,-0.0002254203
74,-0.000109325
75,0.0005409283
76,0.0003109894
77,0.0003366352
78,0.0006658833
79,-4.90423e-05
80,-0.0001520238
81,0.0003227765
82,0.0005310412
83,0.000423188
84,0.0004812717
85,0.0005261555
86,0.0009384728
87,0.000448491
88,0.0009137836
89,0.0003086436
90,0.0003959839
91,0.00010497
92,0.000288272
93,0.0006708884
94,0.000851118
95,-7.32853e-05
96,-0.000384297
97,-0.0006166928
98,-0.0007004721
99,-0.0009506962
100,-0.0004647826
101,-0.0005617978
102,-9.54649e-05
103,0.0002716327
104,0.0004330355
105,0.0007309951
106,0.0001979657
107,0.0003652683
108,0.0007556076
109,0.0014996149
110,0.0016762348
111,0.0017203108
112,0.0014367432
113,0.0021983985
114,0.002945032
115,0.0012554659
116,0.000605647
117,0.000533318
118,0.0001760321
119,-0.0002556348
120,0.0005190099
121,-4.68064e-05
122,0.0001566101
123,0.0002150421
124,0.0002468852
125,7.61463e-05
126,5.90383e-05
127,1.36118e-05
128,-4.00012e-05
129,2.23187e-05
130,-6.54785e-05
131,-0.0002496021
132,-0.0005408513
133,-0.0007152756
134,-0.0007247818
135,-0.0008813416
136,-0.0009340706
137,-0.0012347644
138,-0.0009591775
139,-0.0005840904
140,-0.0007713523
141,-0.0004637449
142,-0.0005195437
143,-9.4309e-06
144,0.0001563505
145,7.62998e-05
146,0.0007608101
147,0.0011380757
148,0.0007465016
149,0.0004725987
150,0.0001706812
151,3.23543e-05
152,3.53838e-05
153,-0.0004929912
154,-0.0001481354
155,-0.0002311386
156,-5.42373e-05
157,-0.0002301332
158,-0.0003745066
159,-0.0003744939
160,-0.0004568376
161,-0.0005749329
162,-0.0001504498
163,-0.0001987834
164,-0.0002889696
165,-0.0002092629
166,2.90624e-05
167,0.000218694
168,1.78191e-05
169,-1.65585e-05
170,0.0001975351
171,0.0003248644
172,0.0001794774
173,0.0004454423
174,0.000763775
175,0.0010081881
176,0.000552661
177,0.0008187269
178,0.001118495
179,0.0011824233
180,0.0007667026
181,0.000766915
182,0.0010571838
183,0.0009591928
184,3.06646e-05
185,-2.9351e-05
186,0.000320804
187,0.0005795951
188,0.0005266744
189,0.00076718
190,0.0010364441
191,0.0012480831
192,0.0012086605
193,0.0007998685
194,0.0003944104
195,0.0005982408
196,0.0011492795
197,0.0008100912
198,0.0011588486
199,0.0011254804
200,0.0014532857
201,0.0009218437
202,6.54499e-05
203,0.0001201933
204,-0.0001638482
205,-6.70632e-05
206,6.34877e-05
207,2.3958e-05
208,0.0004736895
209,0.0002780036
210,5.21826e-05
211,0.0008420749
212,6.85125e-05
213,-7.56683e-05
214,0.0001572961
215,0.000103732
216,0.0012053386
217,0.0005704333
218,0.0009340436
219,0.0011576944
220,0.0005217849
221,-2.43972e-05
222,0.0002280994
223,-4.3715e-05
224,3.45403e-05
225,-0.0001509994
226,-8.83216e-05
227,-0.0002298375
228,-0.0004978032
229,-0.0001035637
230,-0.0004780144
231,-0.000132971
232,-0.0002638292
233,-0.0006716867
234,-0.0004378885
235,0.0003465418
236,-0.0001111277
237,0.0002327431
238,-0.0002260393
239,0.0001365364
240,-0.0003338254
241,-0.0002024177
242,2.91993e-05
243,-0.0004362034
244,-0.0002158614
245,-0.0004131078
246,-0.000553794
247,-0.0005266524
248,-0.0003848365
249,-0.0006876084
250,-0.0008214047
251,-0.0005289018
252,-0.0004192221
253,-0.0008732442
254,-0.0003489821
255,-0.0003535962
256,-0.0005907921
257,-0.0002158538
258,-0.0003936022
259,-0.0006509147
260,-0.0004955156
261,-0.0004271901
262,-0.0001379849
263,0.0001454545
264,0.0001732414
265,-5.07664e-05
266,-0.0003277141
267,-0.0004058344
268,-0.0002957571
269,-0.0006133726
270,-0.0005172704
271,-9.41915e-05
272,-0.0006259154
273,-0.0006512239
274,-0.0006851698
275,-0.0007062668
276,-0.0008827811
277,-0.0008462102
278,-0.0011261548
279,-0.0013999542
280,-0.0009648971
281,-0.0002336556
282,-0.0002890827
283,-5.68656e-05
284,-4.72202e-05
285,4.08981e-05
286,0.0002241153
287,0.0001437821
288,0.0006278065
289,0.0005184545
290,0.0006399159
291,0.0005223052
292,0.0006106952
293,0.0007674951
294,0.0010249877
295,0.0006888257
296,0.0011877591
297,0.0006411917
298,0.000773786
299,0.0006966173
300,0.000943736
301,0.0011000368
302,0.0017762313
303,0.0016151949
304,0.0014154756
305,0.0014870242
306,0.0016762096
307,0.001821139
308,0.0016646756
309,0.0015816843
310,0.001225375
311,0.001128038
312,0.0015725591
313,0.001133429
314,0.0004409718
315,0.0004400458
316,0.000535988
317,0.0010143971
318,0.0008989343
319,0.0005495666
320,0.0013108311
321,0.0020011624
322,0.0025175502
323,0.0022113315
324,0.0021946282
325,0.0019253438
326,0.0013170323
327,0.0022583676
328,0.0028706313
329,0.002107994
330,0.0018910101
331,0.0010883583
332,0.0006982719
333,-0.0001520447
334,-4.94733e-05
335,2.11644e-05
336,-0.0002471776
337,-1.1558e-06
338,-0.0001343998
339,7.06835e-05
340,0.0003149638
341,0.0004593623
342,0.0004280078
343,-4.47464e-05
344,0.000379356
345,0.0001753122
346,0.0004394919
347,0.00126932
348,0.0010104932
349,0.0011591098
350,0.0005082536
351,0.0009819255
352,0.000998935
353,0.0007248069
354,0.0003402247
355,0.0002634772
356,0.0005156208
357,0.0007790661
358,0.000887616
359,0.0007199823
360,0.0007590384
361,0.0009341846
362,0.0007040197
363,-6.31434e-05
364,0.0002699612
365,-0.0003501161
366,-0.0003973872
367,-0.000798925
368,-0.0003161279
369,-0.000238511
370,-0.0005920729
371,-0.0002309291
372,-2.55316e-05
373,-0.0003103247
374,-9.54033e-05
375,-0.0004678329
376,-0.0004888254
377,0.0001539687
378,0.00036867
379,0.000715572
380,0.0007156829
381,0.0008324178
382,-1.2427e-05
383,0.0001251471
384,0.0001173152
385,0.0004489052
386,0.001156307
387,0.001437751
388,0.0027220131
389,0.002041898
390,0.0033189472
391,0.0035443379
392,0.0031377701
393,0.00313341
394,0.0042400451
395,0.0051608074
396,0.0049483807
397,0.0055884505
398,0.0054319117
399,0.0024299338
400,0.0016893957
401,0.0012646616
402,0.0008871657
403,0.0009394089
404,0.0005116959
405,0.0005646991
406,0.0009576219
407,0.000927512
408,0.0011716755
409,0.0014180754
410,0.0014533359
411,0.0013415311
412,0.0003699712
413,0.0006362902
414,0.0009619697
415,0.0011556768
416,-0.0001002494
417,-0.0002786983
418,-0.000349244
419,-0.0005321032
420,-0.0011685461
421,-0.0019244538
422,-0.0019655556
423,-0.0021668268
424,-0.0022522274
425,-0.0027040173
426,-0.0011563358
427,-0.0001275537
428,-7.58062e-05
429,0.0002736269
430,0.0009407582
431,0.0014728682
432,0.0014332206
433,0.0022607513
434,0.0020070749
435,0.0030584159
436,0.0015333314
437,0.0012616937
438,0.0018465797
439,0.0023114318
440,0.0019664521
441,0.0001008256
442,-0.0004235666
443,-0.0005923436
444,-0.0013997378
445,-0.0019050376
446,-0.0005570031
447,-0.0015952085
448,-0.0003292698
449,-0.0002304147
450,0.0003636644
451,0.0001062136
452,0.000576538
453,0.0003523186
454,0.0006646463
455,0.0005012829
456,0.0009750866
457,0.001028841
458,0.0015807159
459,0.0021149276
460,0.0007733164
461,0.0025594395
462,-9.73125e-05
463,-0.0004024751
464,-0.0013690663
465,1.4315e-05
466,-0.0003457191
467,-0.0010050056
468,-0.0010508506
469,3.3921e-05
470,-2.29117e-05
471,0.0002593471
472,-0.0002415347
473,-0.0002754647
474,7.74297e-05
475,-0.0005199113
476,-0.0003666359
477,-0.0003902568
478,-0.0005495508
479,-0.0007868989
480,-0.0006739435
481,-0.0006870058
482,-0.0010412819
483,-0.0003577702
484,-0.0003759818
485,-0.0007572573
