,0
0,-0.0005104083
1,-0.0003819267
2,-0.0002286095
3,0.0001442122
4,0.0003498708
5,0.0004358768
6,0.0004755519
7,0.0004822769
8,0.0001644225
9,0.0002036707
10,0.0002312327
11,0.000312409
12,0.0004773467
13,0.0004625368
14,0.0009506851
15,0.0006282325
16,0.0009346531
17,-0.0002192574
18,-0.000397424
19,-0.0006023756
20,-0.0009228139
21,-0.0002751515
22,-0.0003391917
23,-0.0003053065
24,-0.0005008313
25,-0.0007369095
26,-0.0008297492
27,-0.0008251087
28,-0.0008800896
29,-0.0013153203
30,-0.0013481411
31,-0.0012862939
32,-0.0014931218
33,-0.0009513183
34,-0.0006929846
35,-0.0005623387
36,-0.0006898465
37,-0.0001560935
38,1.784e-05
39,0.0001152059
40,4.62853e-05
41,0.0007399202
42,0.0016404453
43,0.0011395393
44,0.0007065888
45,0.0014226149
46,0.0007859462
47,0.0009180939
48,0.0010415566
49,0.0008312649
50,0.0001819123
51,-2.1064e-06
52,0.0003176592
53,-9.17533e-05
54,0.0001002848
55,0.0002033787
56,0.0002736015
57,0.0003596238
58,-0.0001046911
59,0.0001042253
60,0.000207195
61,-0.0004092563
62,-0.0003455212
63,-0.0005939546
64,0.0001476597
65,0.0004233338
66,0.0002317685
67,0.0002956094
68,0.000441773
69,0.0003956254
70,-0.0001287666
71,-0.0002635343
72,-0.0006142902
73,-0.0007902468
74,-0.0008947208
75,-0.0007611461
76,-0.0006100113
77,-0.0006895214
78,-0.0008018413
79,-0.0009393108
80,-0.0007037688
81,-0.0006594336
82,-0.0002706969
83,-0.0010747609
84,-0.0002805433
85,9.72528e-05
86,0.0011084365
87,0.0008312252
88,0.0014086758
89,0.0016661299
90,0.0011923336
91,0.0013697008
92,0.0011529553
93,0.0015295976
94,0.0007375811
95,-4.30238e-05
96,-0.0005883816
97,-0.0006580835
98,-0.0008130461
99,-0.0008980899
100,-0.0007471974
101,-0.0012537183
102,-0.0015148793
103,-0.0019190819
104,-0.0006258538
105,-0.0011018215
106,-0.0013328619
107,-0.0010403493
108,-0.0009720064
109,-0.0007138174
110,-2.22527e-05
111,-8.78695e-05
112,-3.67831e-05
113,0.0008796101
114,0.0006678561
115,0.0002132899
116,0.0003127815
117,0.0003159736
118,7.5279e-05
119,0.0001077577
120,0.0008316603
121,0.0007411453
122,0.001417877
123,0.0011491345
124,0.0011559103
125,0.000949339
126,0.0004152566
127,0.0008009902
128,0.0009232561
129,0.0011981305
130,0.0008823121
131,0.0009869232
132,0.0009950844
133,0.0014199167
134,0.0004710203
135,0.0002115587
136,0.0002618979
137,0.0002544646
138,0.0003965476
139,0.0007322962
140,0.0006468739
141,0.0001168081
142,0.0001824384
143,0.0002125582
144,-0.0001500605
145,-0.0005855313
146,-0.000730256
147,-0.0005707875
148,-0.0010394805
149,-0.0007378043
150,-0.0009672
151,-0.0008299776
152,-0.0011531365
153,-0.0019129492
154,-0.0017054908
155,-0.0013241255
156,-0.0012790918
157,-0.0010056727
158,-0.0003346363
159,-0.0006603651
160,-0.0005169495
161,-0.0011038282
162,-0.0004568736
163,-0.0006405874
164,-0.0005202917
165,-0.0008321007
166,-0.0008386589
167,-0.0008845004
168,-0.0009258444
169,-0.0010249675
170,-0.0007042806
171,-0.0014137861
172,-0.0014084433
173,-0.0006554151
174,-0.0006165806
175,-0.0004446085
176,-0.0006121713
177,-0.0008327302
178,-0.0011679282
