,0
0,-0.0001448912
1,-0.0001042019
2,-0.0001748506
3,-0.0001375299
4,-6.86299e-05
5,-8.52761e-05
6,-1.7551e-05
7,-4.71614e-05
8,-0.0001061201
9,-0.0001052206
10,-0.0001049407
11,-9.76857e-05
12,-0.0001523005
13,-0.0001931672
14,-0.0002159281
15,-0.0001724942
16,-0.0001704589
17,-0.0002425963
18,-0.0002884584
19,-0.0002933826
20,-0.0002800047
21,-6.03717e-05
22,-7.07194e-05
23,-4.05376e-05
24,-6.15983e-05
25,-8.11148e-05
26,-9.20645e-05
27,-6.06581e-05
28,-7.83961e-05
29,-8.18756e-05
30,-5.65611e-05
31,-5.02957e-05
32,-5.34667e-05
33,-4.98218e-05
34,-2.02385e-05
35,-9.7686e-06
36,-8.9492e-06
37,1.04742e-05
38,2.65408e-05
39,2.66885e-05
40,4.42293e-05
41,6.1932e-05
42,8.57914e-05
43,0.0001269824
44,9.98157e-05
45,0.0001275598
46,0.0001436407
47,0.0001955507
48,0.000149208
49,9.48963e-05
50,5.33194e-05
51,3.07075e-05
52,5.8991e-05
53,-9.261e-07
54,3.3782e-06
55,-2.38147e-05
56,-6.33314e-05
57,-7.73183e-05
58,-6.24692e-05
59,-6.37366e-05
60,-6.8643e-05
61,-0.0001118407
62,-0.0001601716
63,-0.0001602966
64,-6.80383e-05
65,-1.7068e-05
66,-4.44369e-05
67,-1.06781e-05
68,-5.0774e-06
69,2.035e-05
70,-4.6196e-06
71,-2.01455e-05
72,-5.81216e-05
73,-8.0401e-06
74,2.1506e-06
75,1.86346e-05
76,4.73731e-05
77,7.04101e-05
78,0.0001112465
79,-5.63022e-05
80,-3.75508e-05
81,-5.59023e-05
82,-6.30507e-05
83,-8.35808e-05
84,-8.72273e-05
85,-5.26533e-05
86,-4.7867e-06
87,-1.53457e-05
88,-2.73e-07
89,2.38486e-05
90,-4.02774e-05
91,-1.89375e-05
92,-3.7018e-05
93,1.976e-05
94,-3.10192e-05
95,-6.54626e-05
96,-0.0001006951
97,-6.44171e-05
98,-4.82533e-05
99,-0.0001141623
100,-0.0001000504
101,-7.21342e-05
102,-6.93707e-05
103,-9.9039e-05
104,-2.99988e-05
105,-8.48683e-05
106,-0.000126043
107,-0.0001143549
108,-6.45379e-05
109,-4.94528e-05
110,1.37323e-05
