,0
0,1.69077e-05
1,1.9162e-06
2,8.1735e-06
3,4.0962e-06
4,-6.4442e-06
5,2.2215e-06
6,5.4332e-06
7,-1.1313e-05
8,-2.48222e-05
9,-1.57948e-05
10,-2.3561e-05
11,-2.62134e-05
12,-2.58892e-05
13,-2.21573e-05
14,-2.85393e-05
15,-1.10279e-05
16,-3.17594e-05
17,-4.81478e-05
18,-5.47805e-05
19,-6.21928e-05
20,-6.01505e-05
21,-2.45557e-05
22,-1.54399e-05
23,-6.6543e-06
24,-5.5061e-06
25,1.3406e-06
26,6.7146e-06
27,9.1681e-06
28,8.4949e-06
29,-7.9536e-06
30,5.5407e-06
31,1.60496e-05
32,1.88869e-05
33,2.35985e-05
34,2.89398e-05
35,4.56871e-05
36,3.04492e-05
37,1.44317e-05
38,3.08256e-05
39,3.1348e-05
40,3.6598e-05
41,4.08941e-05
42,5.72583e-05
43,6.64602e-05
44,5.73074e-05
45,5.29668e-05
46,3.41708e-05
47,5.41307e-05
48,5.09978e-05
49,4.42658e-05
50,4.12229e-05
51,5.58595e-05
52,7.17835e-05
53,4.84667e-05
54,4.47261e-05
55,4.26874e-05
56,2.39861e-05
57,5.77854e-05
58,4.72059e-05
59,4.42691e-05
60,4.63655e-05
61,1.27622e-05
62,1.74967e-05
63,7.9915e-06
64,-5.0087e-06
65,8.0124e-06
66,6.0323e-06
67,8.0001e-06
68,1.6616e-05
69,2.10898e-05
70,1.09967e-05
71,1.80742e-05
72,1.47881e-05
73,1.04278e-05
74,1.72597e-05
75,4.1801e-05
76,4.58862e-05
77,5.32181e-05
78,4.64659e-05
79,2.62628e-05
80,2.91325e-05
81,4.77158e-05
82,7.05856e-05
83,6.45161e-05
84,4.87578e-05
85,2.15658e-05
86,5.28464e-05
87,1.75409e-05
88,1.76316e-05
89,-7.1389e-06
90,-6.807e-06
91,-2.81879e-05
92,-2.34299e-05
93,-2.42548e-05
94,-5.27022e-05
95,-6.82721e-05
96,-6.99062e-05
97,-7.99865e-05
98,-7.05286e-05
99,-4.94383e-05
100,-2.24013e-05
101,-2.64887e-05
102,-9.9703e-06
103,1.78008e-05
104,1.50109e-05
105,4.2514e-05
106,1.5233e-05
107,4.15844e-05
108,2.00524e-05
109,4.99395e-05
110,8.34517e-05
111,7.90986e-05
112,9.86474e-05
113,0.0001055645
114,9.76051e-05
115,6.82297e-05
116,6.88946e-05
117,2.87036e-05
118,1.79821e-05
119,-2.29959e-05
120,5.4654e-06
121,-2.31341e-05
122,-1.20776e-05
123,-3.49359e-05
124,-3.17385e-05
125,-2.74395e-05
126,-2.44032e-05
127,-1.95546e-05
128,-3.17968e-05
129,-6.61828e-05
130,-7.92691e-05
131,-7.32815e-05
132,-9.75756e-05
133,-5.36291e-05
134,-4.55248e-05
135,-9.08e-07
136,-1.11791e-05
137,-1.52769e-05
138,3.8158e-06
139,-1.05682e-05
140,-1.09517e-05
141,1.63429e-05
142,3.22338e-05
143,3.85108e-05
144,5.11117e-05
145,4.74198e-05
146,5.51024e-05
147,4.65646e-05
148,1.29932e-05
149,-2.35663e-05
150,-3.27214e-05
151,-2.94777e-05
152,-4.92788e-05
153,-5.98785e-05
154,-4.83971e-05
155,-6.53413e-05
156,-4.69837e-05
157,-6.06944e-05
158,-4.53436e-05
159,-4.91503e-05
160,-2.39948e-05
161,-3.38462e-05
162,-5.3899e-06
163,-3.0973e-06
164,-3.2998e-06
165,-1.9469e-06
166,8.2727e-06
167,1.32765e-05
168,4.8637e-06
169,-5.052e-06
170,7.31e-07
171,0.0
172,-1.42769e-05
173,2.06816e-05
174,1.88526e-05
175,2.6213e-05
176,-3.3517e-06
177,1.04103e-05
178,2.9893e-05
179,6.46585e-05
180,3.29727e-05
181,5.88311e-05
182,5.88976e-05
183,6.59819e-05
184,7.943e-05
185,7.47709e-05
186,8.6546e-05
187,7.61372e-05
188,7.6041e-05
189,0.0001028818
190,0.0001021716
191,9.60846e-05
192,8.85287e-05
193,8.88281e-05
194,8.15033e-05
195,7.02899e-05
196,6.40592e-05
197,5.51951e-05
198,6.10793e-05
199,9.37217e-05
200,7.8752e-05
201,6.28924e-05
202,4.272e-06
203,2.85772e-05
204,1.44365e-05
205,2.0553e-06
206,1.7536e-05
207,2.52015e-05
208,6.34881e-05
209,8.73947e-05
210,0.0001356616
211,0.0002538167
212,8.49388e-05
213,7.58094e-05
214,4.06288e-05
215,7.56639e-05
216,0.0001680684
217,0.0001340151
218,0.0001209326
219,0.0001187367
220,0.0001121716
221,4.54085e-05
222,2.96625e-05
223,2.44366e-05
224,4.89419e-05
225,2.79596e-05
226,4.8531e-06
227,1.84186e-05
228,3.7397e-06
229,2.98152e-05
230,2.23318e-05
231,5.51964e-05
232,7.41348e-05
233,3.26951e-05
234,1.52221e-05
235,5.11039e-05
236,3.47287e-05
237,2.12678e-05
238,2.12968e-05
239,5.86171e-05
240,8.9433e-06
241,1.09711e-05
242,1.54176e-05
243,7.1791e-06
244,1.70204e-05
245,-1.34751e-05
246,-3.68203e-05
247,-1.69794e-05
248,-9.2226e-06
249,-1.15571e-05
250,-3.42124e-05
251,-5.51232e-05
252,-6.81299e-05
253,-0.0001181775
254,-6.454e-05
255,-4.15675e-05
256,-3.93935e-05
257,-4.98463e-05
258,-8.07257e-05
259,-6.8916e-05
260,-3.83316e-05
261,-3.68763e-05
262,-3.92388e-05
263,-1.68209e-05
264,1.35444e-05
265,2.1478e-06
266,1.23118e-05
267,1.84585e-05
268,3.52521e-05
269,2.38819e-05
270,2.93877e-05
271,0.0001002485
272,0.0001167954
273,9.16036e-05
274,5.3869e-06
275,1.64e-07
276,5.4929e-06
277,-2.67786e-05
278,8.4943e-06
279,1.78192e-05
280,6.8714e-06
281,1.81429e-05
282,-1.8278e-05
283,-3.04105e-05
284,-1.43776e-05
285,-1.96478e-05
286,-1.86411e-05
287,-1.67032e-05
288,2.5649e-06
289,-3.1974e-06
290,-3.22479e-05
291,-2.74931e-05
292,-8.13594e-05
293,-4.62773e-05
294,-2.93435e-05
295,-3.011e-05
296,-2.01299e-05
297,1.89302e-05
298,2.67084e-05
299,1.91546e-05
300,5.59573e-05
301,0.0001169048
302,0.0001028465
303,0.000120749
304,0.0001492659
305,0.0001516577
306,0.0002055903
307,0.0001204471
308,0.0001670181
309,0.0001928086
310,0.0001734687
311,0.0001342569
312,0.0001611965
313,0.0001333263
314,2.25488e-05
315,2.77689e-05
316,3.4783e-05
317,7.19617e-05
318,4.966e-05
319,3.82869e-05
320,3.11238e-05
321,5.75651e-05
322,6.74772e-05
323,6.54761e-05
324,6.52942e-05
325,3.82368e-05
326,2.23577e-05
327,-2.8084e-06
328,6.07732e-05
329,-5.4089e-06
330,-2.23703e-05
331,-1.08539e-05
332,-5.93858e-05
333,-6.27182e-05
334,-8.18273e-05
335,-7.48845e-05
336,-0.0001122574
337,-0.0001041439
338,-5.04e-05
339,-9.32485e-05
340,-7.80454e-05
341,-6.15177e-05
342,-8.5486e-05
343,-4.84683e-05
344,-4.32196e-05
345,-7.17582e-05
346,-6.07886e-05
347,-4.39473e-05
348,-6.72934e-05
349,-2.90184e-05
350,-6.3114e-06
351,2.27261e-05
352,2.12989e-05
353,4.41395e-05
354,1.7004e-05
355,9.2387e-06
356,5.61045e-05
357,5.49316e-05
358,6.20841e-05
359,6.58789e-05
360,0.0001809779
361,7.47249e-05
362,4.20261e-05
363,-3.5352e-06
364,1.05897e-05
365,-2.48155e-05
366,-4.34539e-05
367,-7.47614e-05
368,-9.93162e-05
369,-0.0001004555
370,-9.68116e-05
371,-9.68435e-05
372,-6.20587e-05
373,-6.01696e-05
374,-9.03151e-05
375,-9.3711e-05
376,-6.46059e-05
377,-3.7399e-05
378,-5.17107e-05
379,-2.73065e-05
380,-2.14802e-05
381,-5.61e-06
382,-2.63276e-05
383,-8.3573e-06
384,1.574e-06
385,4.4325e-06
386,-3.59596e-05
387,-7.27891e-05
388,-2.2526e-05
389,1.61382e-05
390,2.93043e-05
391,6.39427e-05
392,3.93323e-05
393,3.74046e-05
394,7.13514e-05
395,2.50581e-05
396,5.18502e-05
397,6.76665e-05
398,8.41065e-05
399,5.72008e-05
400,6.76879e-05
401,9.57158e-05
402,1.63917e-05
403,1.86186e-05
404,-1.78686e-05
405,-2.78826e-05
406,-1.1251e-05
407,-2.2035e-06
408,-2.01211e-05
409,3.8216e-05
410,-5.08763e-05
411,-6.839e-06
412,-2.00228e-05
413,-9.4598e-06
414,-3.214e-05
415,-4.65866e-05
416,-2.56121e-05
417,-5.43046e-05
418,-1.53663e-05
419,-7.0364e-06
420,-5.76701e-05
421,-8.36345e-05
422,-6.74713e-05
423,-8.03706e-05
424,-8.89602e-05
425,-8.95767e-05
426,-6.03185e-05
427,-5.70395e-05
428,-5.61143e-05
429,-5.11341e-05
430,-6.02779e-05
431,-5.32787e-05
432,-3.14471e-05
433,-1.9155e-05
434,3.947e-06
435,-3.2089e-05
436,-3.269e-05
437,9.626e-07
438,1.84858e-05
439,1.33903e-05
440,3.822e-07
441,1.4644e-05
442,-1.86931e-05
443,-1.34481e-05
444,-1.01029e-05
445,-1.26754e-05
446,-2.1379e-05
447,-1.24877e-05
448,2.8566e-06
449,3.00768e-05
450,4.83311e-05
451,-3.9311e-06
452,-2.55667e-05
453,-9.5267e-06
454,-2.08801e-05
455,-5.64078e-05
456,-1.03933e-05
457,-1.35954e-05
458,-2.685e-07
459,-8.5095e-06
460,-2.02655e-05
461,-4.73485e-05
462,-3.9285e-05
463,-4.33713e-05
464,-3.15939e-05
465,3.413e-07
466,3.00449e-05
467,2.52707e-05
468,3.73525e-05
469,4.2693e-05
470,1.94747e-05
471,2.62948e-05
472,2.26119e-05
473,2.68482e-05
474,4.90223e-05
475,4.4204e-05
476,1.6709e-05
477,5.13838e-05
478,7.57171e-05
479,4.28829e-05
480,6.19995e-05
481,5.64025e-05
482,4.56882e-05
483,5.77316e-05
484,0.0001019818
485,0.0001022749
