,0
0,-5.46201e-05
1,-2.13649e-05
2,-2.5766e-05
3,-1.14185e-05
4,-6.9545e-06
5,-1.48961e-05
6,-1.28835e-05
7,-7.9808e-06
8,-1.191e-05
9,-5.8528e-06
10,3.7321e-06
11,3.01745e-05
12,1.37487e-05
13,-3.3439e-06
14,1.75745e-05
15,1.36372e-05
16,9.005e-07
17,-5.1199e-05
18,-6.43824e-05
19,-4.81118e-05
20,-8.46839e-05
21,-1.04229e-05
22,-2.42114e-05
23,-4.3896e-06
24,-2.83172e-05
25,-3.20334e-05
26,-2.10145e-05
27,-1.39076e-05
28,-3.52896e-05
29,-4.90246e-05
30,-3.07347e-05
31,-1.65208e-05
32,-2.84094e-05
33,-3.62027e-05
34,1.97693e-05
35,-5.287e-07
36,-6.6523e-06
37,3.7335e-06
38,1.46378e-05
39,1.38045e-05
40,1.36494e-05
41,5.72607e-05
42,0.0001079919
43,0.00011593
44,8.71242e-05
45,9.878e-05
46,8.31486e-05
47,0.0001196953
48,0.000112682
49,7.00877e-05
50,1.0496e-05
51,2.9289e-06
52,-8.8663e-06
53,-5.35157e-05
54,-5.53821e-05
55,-7.40396e-05
56,-8.31633e-05
57,-0.0001429396
58,-0.0001328837
59,-0.0001181314
60,-9.18702e-05
61,-0.000118412
62,-9.44536e-05
63,-8.6009e-05
64,-2.52372e-05
65,-3.43274e-05
66,-5.16266e-05
67,-2.219e-06
68,-1.0778e-06
69,6.9049e-06
70,-5.6403e-06
71,-1.50608e-05
72,-4.2723e-05
73,-4.21747e-05
74,-4.07139e-05
75,-3.60349e-05
76,-5.52325e-05
77,-2.63587e-05
78,-5.59857e-05
79,-0.0001097079
80,-7.16071e-05
81,-7.86239e-05
82,-6.08583e-05
83,-0.0001008129
84,-4.90054e-05
85,-3.23173e-05
86,3.40012e-05
87,7.7985e-06
88,4.86711e-05
89,4.44463e-05
90,3.34296e-05
91,3.45978e-05
92,2.72083e-05
93,9.26763e-05
94,4.34574e-05
95,1.3366e-06
96,-3.93187e-05
97,-5.20741e-05
98,-3.20431e-05
99,-6.22566e-05
100,-5.85821e-05
101,-5.97428e-05
102,-7.33619e-05
103,-5.99736e-05
104,-6.7505e-06
105,-1.54783e-05
106,-5.79216e-05
107,-4.98759e-05
108,-2.47393e-05
109,2.84617e-05
110,8.85315e-05
111,8.99078e-05
112,7.86677e-05
113,0.0001138421
114,8.5427e-05
115,-1.952e-07
116,-1.3561e-06
117,-1.87628e-05
118,-3.63739e-05
119,-5.00596e-05
120,1.20339e-05
121,8.7326e-06
122,3.52605e-05
123,3.519e-06
124,-1.88545e-05
125,-3.58595e-05
126,7.392e-07
127,2.57925e-05
128,4.97935e-05
129,0.0001114691
130,9.57625e-05
131,0.0001190532
132,0.0001467509
133,0.0001685286
134,0.0001094497
135,8.4383e-05
136,9.71735e-05
137,0.0001310681
138,0.0001442548
139,0.0002266984
140,0.0001305868
141,8.39296e-05
142,5.76625e-05
143,4.19543e-05
144,1.38861e-05
145,-3.06377e-05
146,-3.95324e-05
147,-2.0623e-05
148,-4.17433e-05
149,-8.00452e-05
150,-0.0001110374
151,-9.94684e-05
152,-0.0001312362
153,-0.0001590871
154,-0.0001799964
155,-0.0001361562
156,-0.0001539378
157,-9.70808e-05
158,-5.85672e-05
159,-7.24666e-05
160,-9.74365e-05
161,-0.000104913
162,-5.80019e-05
163,-7.6304e-05
164,-7.61057e-05
165,-7.77626e-05
