,0
0,-0.000104677
1,-6.38262e-05
2,-0.0001085719
3,-8.0916e-05
4,-5.15336e-05
5,-6.11842e-05
6,-5.06607e-05
7,-6.39478e-05
8,-7.38102e-05
9,-3.1125e-05
10,9.991e-07
11,4.8657e-05
12,4.76617e-05
13,9.5132e-06
14,4.40712e-05
15,5.31242e-05
16,6.22376e-05
17,2.05281e-05
18,-1.10738e-05
19,-1.96709e-05
20,-5.03256e-05
21,-2.7181e-06
22,-3.0632e-06
23,-7.186e-06
24,-3.95092e-05
25,-6.35712e-05
26,-5.76014e-05
27,-2.3365e-05
28,-6.45045e-05
29,-8.91712e-05
30,-7.07876e-05
31,-4.30307e-05
32,-4.1829e-05
33,-5.33016e-05
34,1.19716e-05
35,1.11852e-05
36,1.29677e-05
37,2.83283e-05
38,5.50423e-05
39,4.20653e-05
40,3.8198e-05
41,5.93586e-05
42,0.0001093752
43,0.0001573935
44,0.0001152389
45,0.0001084389
46,9.89607e-05
47,0.0001039373
48,0.0001103445
49,3.28436e-05
50,-5.0864e-06
51,-4.01798e-05
52,-6.88097e-05
53,-7.99886e-05
54,-6.22869e-05
55,-0.0001149063
56,-0.0001129333
57,-0.0001222748
58,-0.0001257847
59,-0.0001322248
60,-0.0001081058
61,-0.0001150768
62,-0.0001161065
63,-0.000109241
64,-0.0001198294
65,-7.75169e-05
66,-9.12406e-05
67,-4.16398e-05
68,-3.99369e-05
69,-2.87738e-05
70,-3.8494e-05
71,-4.90291e-05
72,-8.13245e-05
73,-5.09801e-05
74,-5.29569e-05
75,-4.70702e-05
76,-3.271e-05
77,-2.91881e-05
78,-4.0626e-06
79,-5.20947e-05
80,-2.28871e-05
81,-3.83572e-05
82,-4.21948e-05
83,-7.0937e-05
84,-2.38884e-05
85,-8.2583e-06
86,2.51632e-05
87,1.61873e-05
88,3.10001e-05
89,5.26165e-05
90,1.69011e-05
91,3.59843e-05
92,1.9233e-05
93,4.71023e-05
94,2.34343e-05
95,6.0828e-06
96,-2.06405e-05
97,-6.6854e-06
