,0
0,-3.09512e-05
1,-4.59508e-05
2,-2.96158e-05
3,-1.35872e-05
4,8.3798e-06
5,2.91211e-05
6,5.5829e-05
7,6.08144e-05
8,2.73441e-05
9,6.54692e-05
10,-2.19859e-05
11,-2.82269e-05
12,-7.36528e-05
13,-5.1063e-05
14,-2.80822e-05
15,-1.89212e-05
16,-1.13786e-05
17,-8.2014e-06
18,-6.4491e-06
19,-2.10282e-05
20,-0.0001005898
21,-8.95391e-05
22,-3.51004e-05
23,-4.85627e-05
24,-7.60356e-05
25,-9.03245e-05
26,-3.58332e-05
27,-1.26171e-05
28,-4.43012e-05
29,-0.0001002396
30,-0.0001247853
31,-0.0001534541
32,-0.0002238185
33,-0.00015368
34,-5.48215e-05
35,-2.76455e-05
36,-0.0001269196
37,-3.50025e-05
38,-3.54595e-05
39,-2.49585e-05
40,-6.09194e-05
41,-9.1837e-05
42,-1.981e-07
43,0.0001591875
44,0.000112698
45,0.0001555552
46,0.0001207121
47,0.0001661268
48,6.04139e-05
49,6.04992e-05
50,7.06833e-05
51,0.0001201794
52,0.0001475502
53,0.000117563
54,0.0001078723
55,0.0001518761
56,6.99417e-05
57,5.02113e-05
58,4.7613e-05
59,8.63075e-05
60,0.000108908
61,7.15305e-05
62,0.0001276693
63,7.4136e-05
64,4.81132e-05
65,5.57657e-05
66,1.20335e-05
67,-2.1253e-06
68,-1.76914e-05
69,-1.49273e-05
70,-3.74828e-05
71,-2.4641e-06
72,-3.25496e-05
73,-0.000102049
74,-0.0001242817
75,-9.21798e-05
76,-0.0001504713
77,-7.46944e-05
78,-6.86731e-05
79,-0.0001815794
80,-0.0001858863
81,-0.0002036754
82,-0.000149555
83,-0.000129034
84,-0.0001076931
85,-0.0001595763
86,-0.0001093087
87,-5.31542e-05
88,-9.47982e-05
89,-7.05269e-05
90,-0.0001565446
91,-0.0001972175
92,-0.0001504493
93,1.602e-06
94,1.62138e-05
95,2.413e-06
96,-7.71975e-05
97,-0.0001321617
98,-9.96871e-05
99,-0.0001299144
100,-9.13909e-05
