,0
0,-8.89996e-05
1,-4.79081e-05
2,-5.3382e-05
3,-4.46624e-05
4,-3.8751e-05
5,-6.06796e-05
6,-0.0001000855
7,-5.9349e-05
8,-5.71814e-05
9,-6.73012e-05
10,-4.83943e-05
11,-4.09878e-05
12,-1.98255e-05
13,-2.92922e-05
14,-2.09722e-05
15,-8.7106e-06
16,6.12739e-05
17,1.8123e-05
18,-3.8802e-05
19,-4.39198e-05
20,-4.95607e-05
21,-2.22654e-05
22,-4.97057e-05
23,-1.24335e-05
24,-2.56932e-05
25,-2.32707e-05
26,-3.53111e-05
27,-1.0806e-05
28,-3.27337e-05
29,-4.06472e-05
30,-3.62936e-05
31,-2.16374e-05
32,-3.06398e-05
33,-2.58319e-05
34,1.88806e-05
35,1.56613e-05
36,3.08938e-05
37,1.16119e-05
38,2.30905e-05
39,3.59219e-05
40,4.41512e-05
41,8.49381e-05
42,0.0001107339
43,8.69704e-05
44,0.0001089453
45,0.0001423703
46,0.0001920286
47,0.0001954735
48,0.0001395974
49,0.0001044894
50,6.49816e-05
51,6.37153e-05
52,6.32206e-05
53,-1.0142e-05
54,-6.1538e-06
55,5.116e-06
56,-1.46348e-05
57,-5.64438e-05
58,-4.77454e-05
59,-5.50549e-05
60,-2.17613e-05
61,-3.80363e-05
62,-7.19185e-05
63,-5.26027e-05
64,-7.11443e-05
65,-4.79558e-05
66,-5.85251e-05
67,-3.21055e-05
68,-4.06533e-05
69,-2.84774e-05
70,-4.02511e-05
71,-6.33856e-05
72,-8.84812e-05
73,-6.9963e-05
74,-9.42046e-05
75,-6.58171e-05
76,-8.26255e-05
77,-5.88628e-05
78,-4.98154e-05
79,-6.36589e-05
80,-5.95592e-05
81,-5.49619e-05
82,-8.78593e-05
83,-0.0001213907
84,-7.7589e-05
85,-4.96589e-05
86,-1.02581e-05
87,-1.36683e-05
88,2.7444e-06
89,1.67535e-05
90,-1.95829e-05
91,-3.7765e-06
92,-2.05745e-05
93,6.9151e-06
94,3.3578e-06
95,1.1206e-05
96,-8.9814e-06
97,1.1736e-05
98,1.1248e-05
99,-2.12402e-05
100,-3.93451e-05
101,-1.27939e-05
102,-1.05828e-05
103,-2.23219e-05
104,1.16841e-05
105,7.4458e-06
106,-6.8923e-06
107,-1.61405e-05
108,-1.61099e-05
109,-6.6747e-06
110,2.04892e-05
111,1.50862e-05
112,1.40851e-05
113,3.69744e-05
114,1.77144e-05
115,-4.5149e-06
116,9.698e-07
117,4.1244e-06
118,-8.0938e-06
119,-5.2946e-06
120,1.59105e-05
121,2.13922e-05
122,3.326e-05
123,4.34704e-05
124,5.51867e-05
125,4.06011e-05
126,3.43661e-05
127,3.55748e-05
128,6.58987e-05
129,5.48602e-05
130,6.64905e-05
131,8.62644e-05
132,9.48846e-05
133,4.20772e-05
134,4.53462e-05
135,4.15446e-05
136,2.38625e-05
137,2.05117e-05
138,3.967e-05
139,5.64687e-05
140,3.60124e-05
141,3.35922e-05
142,1.2042e-05
143,-9.936e-07
144,-1.9125e-05
145,-1.71134e-05
146,-2.01363e-05
147,1.48413e-05
148,-4.076e-06
149,3.5591e-06
150,-3.29628e-05
151,-2.11487e-05
152,-4.21279e-05
153,-7.68519e-05
154,-5.75367e-05
155,-4.05765e-05
156,-2.53383e-05
157,5.5394e-06
158,2.98102e-05
159,-6.3316e-06
160,7.5865e-06
161,1.18527e-05
162,1.75225e-05
163,4.02615e-05
164,5.03384e-05
165,4.02681e-05
166,1.62023e-05
167,8.0316e-06
168,2.7377e-06
169,-1.2273e-06
170,-2.6525e-06
171,-4.05434e-05
172,-5.78355e-05
173,-5.05574e-05
174,-4.85223e-05
175,-7.23592e-05
176,-9.41147e-05
177,-0.0001024825
178,-0.0001262716
179,-0.0001094618
180,-0.0001067144
181,-5.86011e-05
182,-7.54533e-05
183,-8.00591e-05
184,-8.91004e-05
185,-6.9354e-05
186,-4.92113e-05
187,-3.69285e-05
188,-3.80201e-05
189,-1.90554e-05
190,-1.58683e-05
191,3.2772e-06
192,8.0402e-06
193,1.79354e-05
194,1.6877e-05
195,-1.06865e-05
196,1.8253e-05
197,-1.2046e-05
198,-2.4607e-05
199,-2.38658e-05
200,-2.33664e-05
201,-1.78745e-05
202,-1.33562e-05
203,-3.41225e-05
204,-3.31019e-05
205,-5.73402e-05
206,-7.04893e-05
207,-6.22626e-05
208,-6.45438e-05
209,-5.74489e-05
210,-2.93144e-05
211,-4.85666e-05
212,-1.52413e-05
213,-1.25604e-05
214,1.56704e-05
215,4.9721e-06
216,-1.5072e-06
217,-9.1277e-06
218,-1.58436e-05
219,-1.52945e-05
220,-9.9668e-06
221,-1.087e-06
222,-4.55e-08
223,-5.0949e-06
224,-1.87657e-05
225,-2.05911e-05
226,-2.35125e-05
227,-2.2211e-05
228,-3.56598e-05
229,-3.92869e-05
230,-3.30858e-05
231,-3.55112e-05
232,-3.38952e-05
233,-2.77423e-05
234,-2.32603e-05
235,-3.54107e-05
236,-2.58078e-05
237,-2.62267e-05
238,-2.94076e-05
239,-2.01936e-05
240,-1.60077e-05
241,-1.85037e-05
242,-7.9321e-06
243,-8.2703e-06
244,-1.6324e-06
245,4.4724e-06
246,1.00572e-05
247,8.4913e-06
248,8.3539e-06
249,1.01271e-05
250,2.25521e-05
251,1.59754e-05
252,2.12635e-05
253,2.11487e-05
254,2.03094e-05
255,2.76251e-05
256,2.72162e-05
257,2.97588e-05
258,2.90464e-05
259,3.39818e-05
260,3.65732e-05
261,4.10243e-05
262,3.43033e-05
263,2.59531e-05
264,2.94245e-05
265,2.99461e-05
266,2.98166e-05
267,1.05146e-05
268,1.94864e-05
269,1.34153e-05
270,1.01393e-05
271,9.4288e-06
272,4.8514e-06
273,7.9924e-06
274,5.8115e-06
275,9.436e-07
276,-9.0468e-06
277,5.837e-07
278,-6.479e-07
279,-1.45417e-05
280,-2.12248e-05
281,-1.7127e-05
282,-1.82099e-05
283,-1.3642e-05
284,-1.22462e-05
285,-1.48087e-05
286,-1.05253e-05
287,-2.06461e-05
288,-1.7319e-05
289,-3.3835e-06
290,1.662e-07
291,-3.8629e-06
292,-2.9232e-06
293,3.3926e-06
294,7.2881e-06
295,1.69497e-05
296,1.98091e-05
297,1.93747e-05
298,6.7887e-06
299,9.5917e-06
300,1.0382e-06
301,3.9804e-06
302,8.864e-07
303,-9.3201e-06
304,-7.0613e-06
305,-5.5962e-06
306,-5.6098e-06
307,-4.0887e-06
308,-5.3005e-06
309,-1.057e-05
310,-1.53054e-05
311,-3.4305e-05
312,-2.30132e-05
313,-2.61559e-05
314,-2.07154e-05
315,-1.95803e-05
316,-1.64877e-05
317,-2.28959e-05
318,-1.57727e-05
319,-2.11229e-05
320,-2.50241e-05
321,-1.5804e-05
322,-1.11537e-05
323,-1.2859e-05
324,4.6311e-06
325,6.7379e-06
326,3.4459e-06
327,5.3792e-06
328,1.29923e-05
329,1.08947e-05
330,1.14865e-05
331,1.34608e-05
332,2.16361e-05
333,1.60304e-05
334,1.57698e-05
335,1.48755e-05
336,1.31925e-05
337,2.48489e-05
338,2.34819e-05
339,2.39411e-05
340,2.80206e-05
341,3.39149e-05
342,3.72945e-05
343,2.73059e-05
