,0
0,-0.0009661991
1,-0.000685543
2,-0.0002231977
3,0.0002154916
4,0.0002102557
5,-1.81033e-05
6,0.0001949253
7,0.0004749594
8,0.0004591704
9,0.0007520768
10,0.0008501429
11,0.0012114545
12,0.0009462701
13,0.0006183335
14,0.0006699353
15,0.0006417861
16,0.0006768987
17,0.0001731097
18,-0.0001547305
19,-0.0001894514
20,-0.00069042
21,-0.0008131198
22,-0.0002175356
23,-0.0001944721
24,-0.0005723883
25,-0.0003367883
26,-4.1409e-06
27,0.0004786456
28,0.0002941818
29,-0.0001205351
30,0.000172364
31,0.0007242133
32,0.0006133843
33,0.0009659406
34,0.001271114
35,0.0012195819
36,0.0013520278
37,0.0006097994
38,0.0012232112
39,0.0007574932
40,0.000640709
41,0.0005696974
42,0.0010556231
43,0.0015183504
44,0.0007457452
45,0.0009890833
46,0.0006643717
47,0.0010268333
48,0.0004444026
49,0.0005819005
50,0.0006100212
51,0.0010488315
52,0.0009371159
53,0.0008768886
54,0.0008314456
55,0.0007622842
56,0.0005045948
57,0.0009759954
58,0.001191792
59,0.0008227573
60,0.0010551597
61,0.0002357166
62,0.0004586853
63,-0.0001340103
64,-0.0005218117
65,-0.0004731483
66,-0.0012700125
67,-0.0011117043
68,-0.0012035898
69,-0.0007160346
70,-0.0011643897
71,-0.0010311934
72,-0.0012949491
73,-0.001323354
74,-0.0012712446
75,-0.001028367
76,-0.0015456102
77,-0.001024457
78,-0.0009069463
79,-0.0015969758
80,-0.000767476
81,-0.0004905156
82,-0.0003223967
83,-0.0003694368
84,0.0001040612
85,9.4242e-05
86,0.0006025499
87,0.0002135845
88,0.0003539272
89,0.0006271794
90,1.19529e-05
91,5.22032e-05
92,0.0001904437
93,0.0006612405
94,0.0003369538
95,-4.11554e-05
96,-0.0005801413
97,-0.0009157884
98,-0.0012910182
99,-0.0013850619
100,-0.000987797
101,-0.0002511001
102,-2.17348e-05
103,0.0001943384
104,7.25675e-05
105,0.000431778
106,0.0002577237
107,0.0006130669
108,0.0007117039
109,0.0013916591
110,0.001202469
111,0.0021550245
112,0.0021216567
113,0.0019802076
114,0.0036436109
115,0.0012333272
116,0.0003264412
117,6.79857e-05
118,0.0005814541
119,0.0004178082
120,0.0008288471
121,8.50376e-05
122,0.0003238866
123,0.000212398
124,0.0010153175
125,0.0006050497
126,0.0008734183
127,0.0009550011
128,0.000843942
129,0.0008788009
130,0.0015845237
131,0.002075545
132,0.0001655405
133,0.0006471728
134,0.0001865491
135,0.0008108234
136,0.0006520031
137,0.000372896
138,0.0007031802
139,0.0008830236
140,0.0006356458
141,0.0002330638
142,0.0001897201
143,0.000561116
144,0.0005332058
145,-0.0002328888
146,0.0001504656
147,0.0003240411
148,-0.0003776158
149,-0.0004598494
150,-0.0007231549
151,-0.0004582714
152,-0.0009250468
153,-0.0014247505
154,-0.0010269553
155,-0.0009115956
156,-0.0011133226
157,-0.0008759768
158,-0.0004086676
159,-0.0006241135
160,-0.0009274574
161,-0.0005447827
162,-0.0001622423
163,-0.0002102497
164,6.44176e-05
165,-0.0002277876
166,-0.000210448
167,-4.336e-05
168,-0.0002636535
169,-0.0004439885
170,-0.0003868133
171,-0.0006371237
172,-0.0008260591
173,5.93194e-05
174,0.0004125651
175,0.0001792445
176,-8.45792e-05
177,-0.0005611388
178,-0.0009560408
179,-0.0004236245
180,-0.0007625427
181,-9.10068e-05
182,8.332e-05
183,0.0004042897
184,0.0003461948
185,0.0004515097
186,0.0006508282
187,0.0006180939
188,0.0006889726
189,0.0005352627
190,0.0008245155
191,0.0016405226
192,0.001862848
193,0.0019621715
194,0.0013929737
195,0.0012209777
196,0.0013330067
197,0.0004554382
198,0.0008821793
199,0.0011490883
200,0.0007266332
201,0.0002991478
202,-0.0002725218
203,-0.0004963348
204,-0.0007727576
205,-0.0008668532
206,-0.0008310765
207,-0.0006929333
208,-0.0008833891
209,-0.0007778297
210,-0.0006098378
211,-3.80496e-05
212,-0.0004640913
213,-0.0006558251
214,7.20412e-05
215,-0.0002378411
216,0.0006585116
217,0.0009291488
218,0.0012037964
219,0.0011400091
220,0.0014821987
221,0.000374071
222,0.0010983383
223,0.0004893611
224,0.0003816017
225,-0.0002756596
226,-9.6074e-05
227,-0.0001515403
228,-0.0012218973
229,-0.0003483043
230,-0.0004828257
231,-0.0002839898
232,-0.0004521826
233,-0.0008411049
234,-0.0012879612
235,-0.0004801038
236,-0.0007604379
237,-0.0006551751
238,-0.0008675483
239,-0.0007667362
240,-0.0008949984
241,-0.00117067
242,-0.0006178934
243,-0.0008425459
244,-0.0006857016
245,-0.0010129905
246,-0.0012486926
247,-0.0009545894
248,-0.0012059332
249,-0.0012788487
250,-0.0008773837
251,-0.0003891614
252,8.28619e-05
253,-0.0001224387
254,-0.0001167207
255,0.000233519
256,0.0001028628
257,-0.0002190709
258,-0.000317825
259,-0.0002323799
260,1.85589e-05
261,-3.25987e-05
262,-2.64695e-05
263,0.0002434101
264,0.0001425261
265,1.54395e-05
266,-5.44036e-05
267,4.9014e-05
268,0.0003366311
269,-0.0002700448
270,-0.0002678691
271,0.0008181384
272,0.0004125289
273,0.0002647861
274,-2.38333e-05
275,-0.0002629384
276,-0.0003618421
277,-0.0005399364
278,-0.0003763737
279,-0.0007210721
280,-0.0006698281
281,-0.0007952093
282,-0.0009652805
283,-0.0008611522
284,-0.0006850408
285,-0.0006429367
286,-0.0003560619
287,-0.000226276
288,8.5914e-05
289,0.0002051655
290,-1.78558e-05
291,-0.0002091388
292,-0.0001204011
293,0.0004221322
294,0.0001523528
295,8.8396e-05
296,0.0002893581
297,0.0002204319
298,0.0006189338
299,0.0010477388
300,0.0007408153
301,0.0012330818
302,0.0013921533
303,0.0013183049
304,0.0013192496
305,0.001318057
306,0.000726601
307,0.0006334508
308,0.0009758663
309,0.0003336145
310,0.0005239111
311,0.0003506777
312,-0.0002234757
313,-4.45988e-05
314,-0.0008866894
315,-0.0008927705
316,-0.0009518846
317,-0.0011863602
318,-0.0012772383
319,-0.0020786421
320,-0.0009484681
321,-0.0004702598
322,-0.0006747196
323,0.0002030805
324,0.000127805
325,0.0002051002
326,0.0001477384
327,-0.0002304466
328,-0.0001464041
329,-0.0002087994
330,-0.0004184073
331,-0.0007200483
332,-0.0005626895
333,-0.0003440957
334,-0.0003344359
335,-0.000610633
336,-0.0003498979
337,-0.0003272762
338,-5.66332e-05
339,0.000142451
340,0.0002692119
341,0.0004165427
342,0.0002033223
343,-6.04788e-05
344,0.0003991342
345,0.0004609181
346,0.0005358518
347,0.0003891799
348,-0.0001413538
349,-0.0001438637
350,-0.0002717737
351,-0.00018357
352,-0.0001725161
353,-0.0003922617
354,-0.0004193747
355,-0.0005717077
356,-8.12304e-05
357,-0.0001544917
358,-0.0003927097
359,-0.0002740485
360,-0.000657723
361,-0.0003552275
362,0.0002887367
363,-0.0001036797
364,0.0001043971
365,-0.0002089069
366,-0.0003412646
367,-0.0004269734
368,2.76891e-05
369,0.0001086862
370,0.0001964186
371,0.0005858973
372,0.0009314569
373,0.0008902591
374,0.0013413778
375,0.0014436388
376,0.0010375419
377,0.0014308358
378,0.0013505119
379,0.0017676933
380,0.0024361466
381,0.0017584226
382,0.0010033157
383,0.0007683053
384,0.0004385207
385,8.87476e-05
386,-0.0001105952
387,-0.00013901
388,-3.25235e-05
389,0.0
390,-7.15268e-05
391,-0.00011416
392,-0.0002953979
393,-0.000332854
394,-0.0004571242
395,-0.0005947973
396,-0.0007611614
397,-0.0006287049
398,-0.0011156746
399,-0.0010769803
400,-0.0004357288
401,-0.0005194009
402,-0.0006331554
403,-0.0010881517
404,-0.0007460866
405,-0.0010176804
406,-0.0003101093
407,-0.0008437365
408,-0.0007920552
409,-0.0004778608
410,-0.0003489853
411,-0.000110954
412,-9.7607e-06
413,-0.0001652065
414,-0.0003163401
415,6.71177e-05
416,0.0005595357
417,0.0006932105
418,0.001132137
419,0.0012498967
420,0.0007992443
421,0.0010003422
422,0.0008226332
423,0.0009731298
424,0.0009394884
