,0
0,-0.0001658488
1,-0.0001283094
2,-0.0001113258
3,4.10591e-05
4,0.0001127571
5,0.0001442779
6,0.0001828998
7,0.000163122
8,0.0001242614
9,0.0001879856
10,0.0001727658
11,0.0002089337
12,0.0002896418
13,0.0003025799
14,0.0002813738
15,0.0002317765
16,0.0002368925
17,-3.6649e-05
18,-3.78023e-05
19,-0.0001056522
20,-0.0002167268
21,-0.000101386
22,-0.0001017298
23,-0.0001248603
24,-0.0001965056
25,-0.0002444251
26,-0.0002098722
27,-0.0002201186
28,-0.0002542423
29,-0.0003210218
30,-0.0003382756
31,-0.000371304
32,-0.0004707203
33,-0.0002585463
34,-0.0001166991
35,-5.79487e-05
36,-8.59264e-05
37,2.01083e-05
38,0.0001301319
39,0.0001570313
40,0.000122004
41,0.0003054492
42,0.0005404442
43,0.0006625278
44,0.0003475879
45,0.0003610954
46,0.0002292857
47,0.000390725
48,0.0002496127
49,0.0003005582
50,7.36205e-05
51,-4.16005e-05
52,-1.1032e-06
53,-5.27172e-05
54,-4.33755e-05
55,-4.94232e-05
56,-6.77523e-05
57,-0.0001576596
58,-0.0002431992
59,-8.45604e-05
60,-5.9207e-05
61,-0.0002888197
62,-0.0002561628
63,-0.0003016443
64,-3.02085e-05
65,4.11145e-05
66,-4.75832e-05
67,-3.60076e-05
68,-4.23159e-05
69,1.71045e-05
70,-9.58759e-05
71,-0.0001154635
72,-0.0002165967
73,-0.0002163119
74,-0.0002059975
75,-0.0001462089
76,-0.0001522926
77,-5.56061e-05
78,-0.0001317166
79,-0.0002283898
80,-0.0001679908
81,-0.0001712457
82,-4.8411e-06
83,-0.0001517731
84,-1.83244e-05
85,6.55645e-05
86,0.000407784
87,0.000195068
88,0.0002554278
89,0.0003895301
90,0.000304193
91,0.0003765353
92,0.0002305655
93,0.0003655761
94,0.00016775
95,9.1041e-06
96,-0.000211962
97,-0.0001395703
98,-0.000116641
99,-0.000194595
100,-0.0001495099
101,-0.0002810177
102,-0.0003092342
103,-0.0003820906
104,-9.07825e-05
105,-0.0001511142
106,-0.0003711359
107,-0.0003193359
108,-0.000129024
109,-7.7448e-06
110,0.0001987738
111,0.0001824285
112,0.000140839
113,0.0003956596
114,0.0002771967
115,0.0001517811
116,0.0001341266
117,0.0001630541
118,6.16918e-05
119,7.74377e-05
120,0.0003111364
121,0.0003067058
122,0.000396351
123,0.0002823622
124,0.00031075
125,0.0001825436
126,4.3368e-05
127,0.0001025799
128,0.0001148572
129,8.03398e-05
130,2.09268e-05
131,2.66804e-05
132,4.97813e-05
133,0.0001537714
134,-8.3674e-06
135,-6.67856e-05
136,-7.01309e-05
137,-3.34357e-05
138,-3.92632e-05
139,8.05202e-05
140,0.0001060264
141,7.13921e-05
142,7.68311e-05
143,4.33139e-05
144,5.21452e-05
145,-3.68742e-05
146,-0.0001500898
147,-0.0001245829
148,-0.0001962373
149,-0.0001666592
150,-0.0002608341
151,-0.0001863089
152,-0.000197386
153,-0.0004090415
154,-0.0004019526
155,-0.000339897
156,-0.0003282621
157,-0.0001541264
158,-5.14125e-05
159,-0.0001349202
160,-0.000154766
161,-0.0002341252
162,-0.0001008704
163,-0.0001117586
164,-0.0001738309
165,-0.0001722364
166,-0.0002145442
167,-0.0001268153
168,-0.0001799367
169,-0.0002273562
170,-0.0002181315
171,-0.0002728111
172,-0.0003022497
173,-0.0002014182
174,-0.0001920524
175,-0.0001243484
176,-0.0001473949
177,-0.0001638059
178,-0.000205953
179,-0.0001237588
180,-0.0001527343
181,8.3072e-06
182,3.11657e-05
183,5.22502e-05
184,0.0001516548
185,0.0001274609
186,0.0001657701
187,0.0001136828
188,6.85007e-05
189,5.56806e-05
190,0.0001133981
191,0.0002543194
192,0.0003173045
193,0.0003192262
194,0.0004789256
195,0.000230331
196,0.0001455768
197,0.0001197302
198,0.0001632721
199,0.0002186154
200,9.63088e-05
201,0.0001922002
202,0.0001518592
203,0.0002206656
204,9.63628e-05
205,0.0001020358
206,3.89929e-05
207,5.05698e-05
208,-1.4353e-06
209,0.0001845214
210,0.0004528143
211,0.0008567845
212,0.0001124211
213,8.52352e-05
214,0.0001641747
215,0.0001005195
216,0.0002441163
217,7.49475e-05
218,-1.50351e-05
219,-2.91527e-05
220,-3.81905e-05
221,-4.22044e-05
222,0.0001378393
223,1.84436e-05
224,2.25659e-05
225,-5.37307e-05
226,-3.47153e-05
227,-8.58264e-05
228,-0.0002294573
229,-0.0002468864
230,-0.0002191449
231,-0.0002393715
232,-9.53561e-05
233,-8.88761e-05
234,-2.80234e-05
235,-2.2359e-05
236,-0.0001696488
237,-6.509e-06
238,-4.17461e-05
239,0.0001426124
240,0.000184129
241,0.0001483835
242,0.0003065715
243,0.0003904418
244,0.0004160441
245,0.0002786383
246,0.0001989936
247,0.0003146442
248,0.0003087699
249,0.0002955558
250,0.0003097689
251,0.0002573156
252,0.0001911009
253,0.0001191292
254,0.0001831824
255,7.99525e-05
256,0.0001503617
257,8.17803e-05
258,0.0001334961
259,0.0001875147
260,0.0002904072
261,0.000194633
262,0.0001036576
263,7.60583e-05
264,0.0001089615
265,0.0001012548
266,0.0001048261
267,-0.0001324401
268,-0.0001117207
269,-0.0001246547
270,-0.0002237224
271,-0.0001431205
272,-0.000227664
273,-0.0002016309
274,-0.000201285
275,-0.0002357752
276,-0.0001843193
277,-5.61482e-05
278,-3.69492e-05
279,-0.0001406492
280,-0.000159241
281,-0.0001138808
282,-0.0001108617
283,-8.95636e-05
284,-1.69054e-05
285,-5.63771e-05
286,-1.52107e-05
287,-1.55841e-05
288,-1.81311e-05
289,3.96817e-05
