,0
0,2.13094e-05
1,1.95731e-05
2,2.16969e-05
3,1.94799e-05
4,1.93152e-05
5,1.44512e-05
6,2.90766e-05
7,2.95134e-05
8,2.75487e-05
9,2.47788e-05
10,1.9356e-05
11,1.53094e-05
12,2.26447e-05
13,1.84038e-05
14,1.32168e-05
15,1.73878e-05
16,1.75303e-05
17,1.49544e-05
18,8.9764e-06
19,-9.1243e-06
20,-1.09907e-05
21,-6.1256e-06
22,-8.9014e-06
23,-8.9428e-06
24,-5e-07
25,3.249e-06
26,8.7096e-06
27,8.5276e-06
28,1.38748e-05
29,1.27771e-05
30,6.3849e-06
31,1.50075e-05
32,2.01397e-05
33,1.36136e-05
34,8.966e-07
35,2.8033e-06
36,3.1432e-06
37,5.547e-07
38,8.6131e-06
39,5.3173e-06
40,7.1077e-06
41,-3.3716e-06
42,-8.081e-06
43,-2.17145e-05
44,-1.4795e-06
45,-6.7032e-06
46,-7.8603e-06
47,6.2664e-06
48,2.67377e-05
49,2.50999e-05
50,1.77243e-05
51,2.29691e-05
52,1.75336e-05
53,8.6697e-06
54,1.03367e-05
55,1.67299e-05
56,1.00951e-05
57,2.83728e-05
58,2.48742e-05
59,1.89952e-05
60,1.43739e-05
61,8.0113e-06
62,-2.2282e-06
63,-1.4167e-06
64,2.8682e-06
65,5.9969e-06
66,-4.2993e-06
67,6.6327e-06
68,7.1664e-06
69,9.9376e-06
70,5.6811e-06
71,9.9935e-06
72,-6.7609e-06
73,-8.0329e-06
74,-6.663e-07
75,6.5443e-06
76,2.7366e-05
77,3.45578e-05
78,3.42118e-05
79,1.61878e-05
80,2.63251e-05
81,2.08717e-05
82,2.30182e-05
83,1.42014e-05
84,2.19048e-05
85,2.2949e-05
86,5.18977e-05
87,2.50623e-05
88,4.38885e-05
89,5.65768e-05
90,4.62017e-05
91,3.62149e-05
92,2.82728e-05
93,4.18812e-05
94,3.99519e-05
95,2.6397e-05
96,5.5654e-06
97,5.1817e-06
98,-4.5238e-06
99,-1.39789e-05
100,-1.68549e-05
101,-1.19327e-05
102,-3.189e-05
103,-3.31122e-05
104,-4.34701e-05
105,-3.65796e-05
106,-3.40515e-05
107,-6.15726e-05
108,-3.97015e-05
109,-4.65666e-05
110,-3.03257e-05
111,-3.64936e-05
112,-3.56882e-05
113,-2.85168e-05
114,-2.948e-06
115,-3.15519e-05
116,-1.44014e-05
117,-7.4403e-06
118,-1.29903e-05
119,-1.4333e-05
120,-1.68229e-05
121,6.3915e-06
122,9.4032e-06
123,-2.9071e-06
124,2.79989e-05
125,3.98251e-05
126,2.95894e-05
127,3.06096e-05
128,3.59756e-05
129,4.55918e-05
130,5.24443e-05
131,3.17207e-05
132,7.8877e-06
133,1.28102e-05
134,4.4956e-06
135,6.7074e-06
136,1.91782e-05
137,3.54295e-05
138,3.11458e-05
139,1.64296e-05
140,5.2713e-06
141,3.1437e-06
142,-8.7224e-06
143,3.0381e-06
144,5.0562e-06
145,3.17277e-05
146,6.87964e-05
147,7.19993e-05
148,6.03294e-05
149,4.32799e-05
150,3.22471e-05
151,1.25948e-05
152,-7.307e-07
153,1.72463e-05
154,1.74466e-05
155,1.14902e-05
156,2.6654e-06
157,1.35214e-05
158,2.14034e-05
159,-1.40435e-05
160,-3.8401e-06
161,-1.93436e-05
162,-1.18021e-05
163,-4.32796e-05
164,-2.52846e-05
165,-2.57322e-05
166,-1.96414e-05
167,-3.40318e-05
168,-4.7724e-05
169,-4.65699e-05
170,-2.96777e-05
171,-4.19088e-05
172,-4.62599e-05
173,-1.36927e-05
174,-1.03914e-05
175,1.17908e-05
176,2.91505e-05
177,3.06436e-05
178,3.65779e-05
179,3.80249e-05
180,5.96717e-05
181,7.02118e-05
182,9.58481e-05
183,9.99076e-05
