,0
0,-4
1,0
2,2
3,0
4,1
5,-3
6,-5
7,-4
8,-6
9,-5
10,-4
11,-3
12,-2
13,5
14,9
15,9
16,10
17,2
18,-1
19,-2
20,0
21,2
22,0
23,-2
24,-3
25,-2
26,0
27,0
28,-1
29,-5
30,-7
31,-4
32,-1
33,0
34,2
35,2
36,1
37,-1
38,-2
39,-5
40,-2
41,-3
42,-3
43,-4
44,-5
45,1
46,4
47,9
48,7
49,6
50,6
51,6
52,6
53,4
54,5
55,2
56,0
57,-1
58,0
59,-2
60,-2
61,-1
62,-5
63,-5
64,-2
65,-1
66,-3
67,0
68,0
69,-2
70,1
71,-2
72,-3
73,-6
74,-6
75,1
76,-3
77,1
78,2
79,1
80,-1
81,0
82,-5
83,-7
84,-6
85,-9
86,-3
87,-6
88,2
89,-1
90,-7
91,-5
92,-4
93,0
94,2
95,4
96,5
97,6
98,6
99,5
100,-3
101,-2
102,0
103,-2
104,-2
105,-6
106,-11
107,-10
108,-5
109,-5
110,0
111,2
112,0
113,6
114,8
115,4
116,2
117,1
118,-3
119,-2
120,3
121,3
122,7
123,6
124,2
125,2
126,-1
127,1
128,4
129,1
130,4
131,3
132,3
133,5
134,1
135,-1
136,1
137,2
138,6
139,7
140,2
141,6
142,2
143,3
144,3
145,-1
146,2
147,2
148,4
149,5
150,2
151,4
152,1
153,-1
154,-3
155,-4
156,-4
157,-1
158,-2
159,-3
160,-5
161,-8
162,-3
163,-3
164,-3
165,-1
166,-2
167,1
168,6
169,-1
170,1
171,-3
172,-8
173,0
174,1
175,1
176,1
177,-3
178,-4
179,-1
180,-2
181,-5
182,-8
183,-6
184,-2
185,3
186,5
187,-2
188,-4
189,-5
190,-5
191,2
192,-1
193,2
194,4
195,1
196,4
197,3
198,4
199,6
200,4
201,-2
202,4
203,1
204,1
205,0
206,-11
207,-10
208,-8
209,-4
210,-3
211,6
212,8
213,6
214,11
215,1
216,1
217,2
218,-1
219,1
220,0
221,-2
222,-3
223,-6
224,-2
225,0
226,2
227,4
228,-3
229,-5
230,-3
231,-3
232,1
233,3
234,0
235,-4
236,-7
237,-9
238,-8
239,-1
240,-2
241,0
242,-2
243,-7
244,-2
245,-1
246,-4
247,0
248,-4
249,0
250,4
251,3
252,7
253,3
254,4
255,4
256,1
257,1
258,2
259,4
260,5
261,5
262,4
263,3
264,0
265,2
266,1
267,3
268,8
269,5
270,6
271,1
272,-2
273,0
274,0
275,1
276,3
277,2
278,-1
279,-3
280,-4
281,-3
282,-4
283,0
284,-1
285,-3
286,-1
287,2
288,4
289,4
290,5
291,0
292,-3
293,-1
294,0
295,2
296,5
297,3
298,3
299,4
300,1
301,3
302,2
303,-1
304,0
305,1
306,1
307,4
308,5
309,3
310,1
311,0
312,-2
313,-3
314,-2
315,1
316,2
317,3
318,4
319,1
320,1
321,0
322,-1
323,-2
324,-2
325,2
326,3
327,4
328,3
329,-1
330,-2
331,2
332,3
333,3
334,5
335,0
336,0
337,0
338,-1
339,0
340,1
341,2
342,1
343,-1
344,-2
345,-1
346,1
347,3
348,3
349,4
350,3
351,1
352,1
353,-1
354,0
355,1
356,3
357,3
358,2
359,3
360,1
361,1
362,0
363,1
364,1
365,0
366,2
367,1
368,2
369,5
370,2
371,1
372,1
373,-2
374,-2
375,-2
376,-1
377,0
378,1
379,3
380,2
381,2
382,1
383,-1
384,-1
385,-1
386,1
387,1
388,2
389,1
390,1
391,0
392,-2
393,-7
394,-9
395,-7
396,-7
397,-2
398,0
399,0
400,0
401,-1
402,-2
403,-3
404,-1
405,0
406,4
407,1
408,2
409,2
410,2
411,6
412,5
413,5
414,3
415,-3
416,-5
417,-6
418,-5
419,-4
420,-2
421,-1
422,-2
423,1
424,3
425,0
426,-1
427,-2
428,-2
429,-2
430,-2
431,-2
432,-3
433,1
434,1
435,2
436,2
437,2
438,4
439,3
440,3
441,2
442,0
443,0
444,-1
445,-3
446,-2
447,-3
448,-2
449,-1
450,-2
451,-3
452,-3
453,-2
454,0
455,4
456,6
457,4
458,5
459,5
460,3
461,3
462,4
463,2
464,3
465,3
466,2
467,3
468,2
469,1
470,1
471,0
472,-1
473,0
474,-1
475,0
476,1
477,-1
478,2
479,1
480,2
481,3
482,0
483,1
484,2
485,1
486,2
487,1
488,-1
489,-2
490,-1
491,-1
492,-2
493,-1
494,-1
495,-1
