,0
0,1
1,1
2,2
3,0
4,1
5,1
6,0
7,0
8,-3
9,-3
10,-2
11,1
12,3
13,4
14,3
15,2
16,2
17,2
18,3
19,4
20,4
21,2
22,1
23,0
24,0
25,1
26,2
27,2
28,1
29,1
30,1
31,0
32,4
33,2
34,1
35,3
36,1
37,2
38,1
39,-2
40,-1
41,-1
42,0
43,3
44,5
45,5
46,6
47,5
48,3
49,3
50,0
51,1
52,1
53,1
54,2
55,2
56,0
57,0
58,0
59,0
60,4
61,7
62,8
63,4
64,-1
65,-7
66,-6
67,-5
68,-6
69,-1
70,-2
71,-3
72,0
73,0
74,-1
75,1
76,-6
77,-5
78,-5
79,-3
80,4
81,3
82,1
83,0
84,0
85,1
86,2
87,2
88,2
89,-1
90,-1
91,-3
92,-4
93,-2
94,0
95,0
96,1
97,-1
98,-4
99,-3
100,-2
101,-1
102,2
103,2
104,-1
105,-2
106,-7
107,-8
108,-5
109,-3
110,-1
111,4
112,7
113,7
114,10
115,7
116,3
117,3
118,1
119,0
120,1
121,-1
122,-1
123,-1
124,0
125,0
126,0
127,-1
128,1
129,-1
130,-1
131,-2
132,-4
133,-1
134,0
135,2
136,2
137,1
138,-4
139,-7
140,-7
141,-6
142,-3
143,-2
144,0
145,-1
146,1
147,3
148,2
149,1
150,1
151,0
152,-1
153,0
154,-2
155,-2
156,-2
157,-2
158,-3
159,-2
160,-2
161,-3
162,2
163,0
164,2
165,3
166,1
167,4
168,3
169,0
170,-1
171,1
172,1
173,3
174,2
175,-2
176,-1
177,0
178,0
179,1
180,1
181,0
182,-5
183,-2
184,-2
185,0
186,5
187,0
188,-3
189,-1
190,0
191,4
192,4
193,3
194,4
195,0
196,0
197,2
198,4
199,5
200,7
201,4
202,-2
203,-2
204,-4
205,-6
206,-2
207,-1
208,1
209,3
210,2
211,3
212,1
213,2
214,4
215,1
216,1
217,2
218,3
219,5
220,5
221,3
222,1
223,-1
224,1
225,1
226,3
227,4
228,2
229,2
230,1
231,-1
232,1
233,0
234,-1
235,0
236,-3
237,-2
238,-3
239,-1
240,2
241,1
242,2
243,0
244,0
245,-1
246,0
247,1
248,1
249,3
250,0
251,-2
252,-4
253,-8
254,-4
255,-3
256,-4
257,-2
258,-3
259,-3
260,-1
261,-1
262,-1
263,-2
264,-1
265,0
266,-1
267,-1
268,0
269,-2
270,-1
271,0
272,2
273,5
274,6
275,6
276,2
277,-2
278,-2
279,0
280,0
281,2
282,1
283,1
284,2
285,2
286,1
287,1
288,1
289,-2
290,-3
291,-6
292,-4
293,-1
294,3
295,5
296,4
297,1
298,1
299,2
300,-1
301,1
302,1
303,0
304,3
305,2
306,0
307,1
308,1
309,1
310,2
311,1
312,1
313,1
314,1
315,2
316,1
317,1
318,-1
319,-1
320,0
321,1
322,3
323,2
324,0
325,-8
326,-8
327,-7
328,-6
329,0
330,-2
331,-4
332,-3
333,-2
334,-1
335,-1
336,0
337,0
338,-2
339,-2
340,-3
341,-1
342,1
343,-1
344,-2
345,-4
346,-5
347,-4
348,-2
349,-4
350,-1
351,0
352,-2
353,2
354,1
355,1
356,2
357,1
358,-1
359,-2
360,1
361,0
362,0
363,1
364,-2
365,-2
366,-3
367,-4
368,-2
369,0
370,2
371,4
372,3
373,1
374,0
375,-1
376,-2
377,0
378,2
379,1
380,2
381,3
382,5
383,7
384,5
385,3
386,0
387,4
388,5
389,6
390,5
391,0
392,-1
393,-1
394,1
395,0
396,1
397,3
398,1
399,2
400,1
401,0
402,-1
403,-1
404,-1
405,-2
406,-2
407,-2
408,-2
409,-1
410,0
411,1
412,0
413,1
414,-1
415,-2
416,1
417,1
418,2
419,3
420,2
421,3
422,2
423,3
424,2
425,0
426,1
427,-1
428,1
429,0
430,0
431,0
432,-4
433,-4
434,-4
435,-3
436,-1
437,0
438,1
439,1
440,1
441,1
442,0
443,0
444,1
445,1
446,-2
447,-1
448,-3
449,-2
450,0
451,-1
452,-4
453,-3
454,-3
455,-2
456,3
457,0
458,0
459,0
460,-1
461,-2
462,-2
463,-2
464,-3
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,3
476,3
477,4
478,4
479,3
480,3
481,4
482,5
483,5
484,4
485,4
486,2
487,0
488,0
489,-2
490,-1
491,1
492,1
493,2
494,1
495,0
